n,id,voti,voti_nona,idComune
1,1,3,0,100
1,2,0,0,100
1,3,0,0,100
1,4,0,0,100
1,5,0,0,100
1,6,0,0,100
1,7,0,0,100
1,8,0,0,100
1,9,0,0,100
2,1,1,0,100
2,2,0,0,100
2,3,0,0,100
2,4,0,0,100
3,1,107,0,100
3,2,12,0,100
3,3,54,0,100
3,4,1,0,100
3,5,7,0,100
3,6,0,0,100
3,7,51,0,100
3,8,0,0,100
3,9,48,0,100
4,1,16,0,100
4,2,0,0,100
4,3,0,0,100
4,4,0,0,100
4,5,2,0,100
4,6,38,0,100
4,7,0,0,100
4,8,0,0,100
4,9,1,0,100
5,1,1,0,100
5,2,1,0,100
5,3,1,0,100
5,4,2,0,100
5,5,1,0,100
5,6,0,0,100
5,7,0,0,100
5,8,0,0,100
5,9,0,0,100
6,1,1,0,100
6,2,0,0,100
6,3,2,0,100
6,4,29,0,100
6,5,0,0,100
6,6,0,0,100
6,7,1,0,100
6,8,0,0,100
6,9,0,0,100
7,1,3,0,100
7,2,0,0,100
7,3,29,0,100
7,4,0,0,100
7,5,1,0,100
7,6,0,0,100
7,7,0,0,100
7,8,0,0,100
7,9,0,0,100
8,1,6,0,100
8,2,0,0,100
8,3,0,0,100
8,4,0,0,100
8,5,0,0,100
8,6,1,0,100
8,7,3,0,100
8,8,0,0,100
8,9,0,0,100
9,1,7,0,100
9,2,1,0,100
9,3,1,0,100
9,4,0,0,100
9,5,0,0,100
9,6,2,0,100
9,7,1,0,100
9,8,0,0,100
9,9,0,0,100
10,1,20,0,100
10,2,0,0,100
10,3,1,0,100
10,4,0,0,100
10,5,0,0,100
10,6,0,0,100
10,7,3,0,100
10,8,3,0,100
10,9,23,0,100
11,1,2,0,100
11,2,0,0,100
11,3,0,0,100
11,4,0,0,100
11,5,0,0,100
11,6,0,0,100
11,7,0,0,100
11,8,0,0,100
11,9,0,0,100
12,1,0,0,100
12,2,0,0,100
12,3,0,0,100
12,4,0,0,100
12,5,0,0,100
12,6,0,0,100
12,7,2,0,100
12,8,0,0,100
12,9,0,0,100
13,1,0,0,100
13,2,0,0,100
13,3,0,0,100
13,4,4,0,100
13,5,0,0,100
13,6,28,0,100
13,7,2,0,100
13,8,0,0,100
13,9,1,0,100
14,1,1,0,100
14,2,9,0,100
14,3,5,0,100
14,4,8,0,100
14,5,0,0,100
14,6,3,0,100
14,7,0,0,100
14,8,2,0,100
14,9,15,0,100
15,1,2,0,100
15,2,66,0,100
15,3,0,0,100
15,4,0,0,100
15,5,1,0,100
15,6,0,0,100
15,7,0,0,100
15,8,0,0,100
15,9,0,0,100
16,1,0,0,100
16,2,1,0,100
16,3,0,0,100
16,4,0,0,100
16,5,0,0,100
16,6,0,0,100
16,7,0,0,100
16,8,0,0,100
16,9,1,0,100
17,1,7,0,100
17,2,4,0,100
17,3,0,0,100
17,4,71,0,100
17,5,4,0,100
17,6,7,0,100
17,7,8,0,100
17,8,1,0,100
17,9,4,0,100
1,1,0,0,101
1,2,0,0,101
1,3,0,0,101
1,4,0,0,101
2,1,0,0,101
2,2,0,0,101
2,3,0,0,101
2,4,0,0,101
2,5,0,0,101
2,6,0,0,101
3,1,10,0,101
3,2,0,0,101
3,3,14,0,101
3,4,0,0,101
3,5,25,0,101
3,6,0,0,101
4,1,3,0,101
4,2,0,0,101
4,3,1,0,101
4,4,0,0,101
4,5,0,0,101
4,6,0,0,101
5,1,11,0,101
5,2,2,0,101
5,3,0,0,101
5,4,1,0,101
5,5,1,0,101
5,6,4,0,101
6,1,0,0,101
6,2,0,0,101
6,3,0,0,101
6,4,0,0,101
6,5,0,0,101
6,6,0,0,101
7,1,0,0,101
7,2,0,0,101
7,3,0,0,101
7,4,0,0,101
8,1,1,0,101
8,2,0,0,101
8,3,0,0,101
8,4,0,0,101
8,5,0,0,101
8,6,0,0,101
9,1,4,0,101
9,2,0,0,101
9,3,1,0,101
9,4,0,0,101
9,5,3,0,101
9,6,119,0,101
10,1,0,0,101
10,2,0,0,101
10,3,0,0,101
10,4,0,0,101
10,5,0,0,101
10,6,0,0,101
11,1,8,0,101
11,2,3,0,101
11,3,0,0,101
11,4,0,0,101
11,5,1,0,101
11,6,0,0,101
12,1,2,0,101
12,2,0,0,101
12,3,0,0,101
12,4,1,0,101
12,5,5,0,101
12,6,16,0,101
13,1,0,0,101
13,2,2,0,101
13,3,0,0,101
13,4,4,0,101
13,5,0,0,101
13,6,0,0,101
14,1,2,0,101
14,2,0,0,101
14,3,0,0,101
14,4,0,0,101
14,5,1,0,101
14,6,0,0,101
15,1,0,0,101
15,2,0,0,101
15,3,0,0,101
15,4,0,0,101
15,5,0,0,101
15,6,0,0,101
16,1,0,0,101
16,2,0,0,101
16,3,0,0,101
16,4,1,0,101
16,5,1,0,101
16,6,4,0,101
17,1,0,0,101
17,2,0,0,101
17,3,0,0,101
17,4,0,0,101
17,5,0,0,101
17,6,0,0,101
18,1,0,0,101
18,2,0,0,101
1,1,0,0,102
1,2,0,0,102
1,3,0,0,102
1,4,0,0,102
2,1,0,0,102
2,2,0,0,102
2,3,1,0,102
2,4,0,0,102
2,5,0,0,102
2,6,0,0,102
3,1,19,0,102
3,2,0,0,102
3,3,10,0,102
3,4,4,0,102
3,5,8,0,102
3,6,0,0,102
4,1,7,0,102
4,2,1,0,102
4,3,0,0,102
4,4,1,0,102
4,5,1,0,102
4,6,0,0,102
5,1,2,0,102
5,2,7,0,102
5,3,1,0,102
5,4,16,0,102
5,5,14,0,102
5,6,57,0,102
6,1,2,0,102
6,2,0,0,102
6,3,0,0,102
6,4,0,0,102
6,5,0,0,102
6,6,0,0,102
7,1,6,0,102
7,2,0,0,102
7,3,0,0,102
7,4,0,0,102
8,1,5,0,102
8,2,3,0,102
8,3,0,0,102
8,4,2,0,102
8,5,0,0,102
8,6,5,0,102
9,1,33,0,102
9,2,22,0,102
9,3,8,0,102
9,4,20,0,102
9,5,100,0,102
9,6,54,0,102
10,1,4,0,102
10,2,2,0,102
10,3,1,0,102
10,4,0,0,102
10,5,4,0,102
10,6,1,0,102
11,1,4,0,102
11,2,1,0,102
11,3,0,0,102
11,4,0,0,102
11,5,0,0,102
11,6,0,0,102
12,1,24,0,102
12,2,10,0,102
12,3,2,0,102
12,4,39,0,102
12,5,6,0,102
12,6,12,0,102
13,1,1,0,102
13,2,0,0,102
13,3,1,0,102
13,4,43,0,102
13,5,1,0,102
13,6,2,0,102
14,1,7,0,102
14,2,0,0,102
14,3,0,0,102
14,4,0,0,102
14,5,1,0,102
14,6,1,0,102
15,1,0,0,102
15,2,0,0,102
15,3,0,0,102
15,4,0,0,102
15,5,0,0,102
15,6,0,0,102
16,1,5,0,102
16,2,0,0,102
16,3,0,0,102
16,4,1,0,102
16,5,1,0,102
16,6,22,0,102
17,1,0,0,102
17,2,0,0,102
17,3,0,0,102
17,4,0,0,102
17,5,0,0,102
17,6,0,0,102
18,1,0,0,102
18,2,0,0,102
1,1,0,0,103
1,2,0,0,103
1,3,0,0,103
1,4,0,0,103
2,1,9,0,103
2,2,0,0,103
2,3,0,0,103
2,4,2,0,103
2,5,5,0,103
2,6,0,0,103
3,1,13,0,103
3,2,0,0,103
3,3,4,0,103
3,4,2,0,103
3,5,2,0,103
3,6,0,0,103
4,1,0,0,103
4,2,0,0,103
4,3,2,0,103
4,4,0,0,103
4,5,0,0,103
4,6,1,0,103
5,1,0,0,103
5,2,60,0,103
5,3,31,0,103
5,4,1,0,103
5,5,2,0,103
5,6,3,0,103
6,1,0,0,103
6,2,0,0,103
6,3,0,0,103
6,4,0,0,103
6,5,0,0,103
6,6,0,0,103
7,1,0,0,103
7,2,0,0,103
7,3,0,0,103
7,4,0,0,103
8,1,2,0,103
8,2,9,0,103
8,3,0,0,103
8,4,70,0,103
8,5,3,0,103
8,6,1,0,103
9,1,3,0,103
9,2,16,0,103
9,3,3,0,103
9,4,15,0,103
9,5,8,0,103
9,6,6,0,103
10,1,5,0,103
10,2,1,0,103
10,3,2,0,103
10,4,0,0,103
10,5,13,0,103
10,6,2,0,103
11,1,1,0,103
11,2,0,0,103
11,3,0,0,103
11,4,0,0,103
11,5,0,0,103
11,6,9,0,103
12,1,7,0,103
12,2,25,0,103
12,3,2,0,103
12,4,35,0,103
12,5,8,0,103
12,6,2,0,103
13,1,0,0,103
13,2,1,0,103
13,3,0,0,103
13,4,2,0,103
13,5,0,0,103
13,6,0,0,103
14,1,12,0,103
14,2,0,0,103
14,3,1,0,103
14,4,0,0,103
14,5,0,0,103
14,6,0,0,103
15,1,1,0,103
15,2,0,0,103
15,3,0,0,103
15,4,0,0,103
15,5,0,0,103
15,6,1,0,103
16,1,0,0,103
16,2,15,0,103
16,3,2,0,103
16,4,16,0,103
16,5,7,0,103
16,6,1,0,103
17,1,2,0,103
17,2,0,0,103
17,3,0,0,103
17,4,0,0,103
17,5,0,0,103
17,6,0,0,103
18,1,0,0,103
18,2,0,0,103
1,1,0,0,104
1,2,0,0,104
1,3,0,0,104
1,4,0,0,104
2,1,0,0,104
2,2,0,0,104
2,3,0,0,104
2,4,0,0,104
2,5,1,0,104
2,6,0,0,104
3,1,1,0,104
3,2,0,0,104
3,3,0,0,104
3,4,0,0,104
3,5,0,0,104
3,6,0,0,104
4,1,0,0,104
4,2,0,0,104
4,3,0,0,104
4,4,0,0,104
4,5,0,0,104
4,6,0,0,104
5,1,0,0,104
5,2,2,0,104
5,3,14,0,104
5,4,0,0,104
5,5,2,0,104
5,6,1,0,104
6,1,0,0,104
6,2,0,0,104
6,3,0,0,104
6,4,0,0,104
6,5,0,0,104
6,6,0,0,104
7,1,0,0,104
7,2,0,0,104
7,3,0,0,104
7,4,0,0,104
8,1,0,0,104
8,2,0,0,104
8,3,0,0,104
8,4,2,0,104
8,5,0,0,104
8,6,0,0,104
9,1,0,0,104
9,2,0,0,104
9,3,0,0,104
9,4,2,0,104
9,5,1,0,104
9,6,0,0,104
10,1,0,0,104
10,2,4,0,104
10,3,1,0,104
10,4,0,0,104
10,5,8,0,104
10,6,0,0,104
11,1,1,0,104
11,2,0,0,104
11,3,0,0,104
11,4,0,0,104
11,5,0,0,104
11,6,0,0,104
12,1,1,0,104
12,2,0,0,104
12,3,1,0,104
12,4,1,0,104
12,5,1,0,104
12,6,0,0,104
13,1,0,0,104
13,2,0,0,104
13,3,3,0,104
13,4,1,0,104
13,5,0,0,104
13,6,0,0,104
14,1,0,0,104
14,2,0,0,104
14,3,0,0,104
14,4,0,0,104
14,5,0,0,104
14,6,0,0,104
15,1,0,0,104
15,2,0,0,104
15,3,0,0,104
15,4,0,0,104
15,5,0,0,104
15,6,0,0,104
16,1,1,0,104
16,2,0,0,104
16,3,0,0,104
16,4,0,0,104
16,5,0,0,104
16,6,0,0,104
17,1,0,0,104
17,2,0,0,104
17,3,0,0,104
17,4,0,0,104
17,5,0,0,104
17,6,0,0,104
18,1,0,0,104
