n,id,voti,voti_nona,idComune
18,2,0,0,104
1,1,0,0,105
1,2,0,0,105
1,3,0,0,105
1,4,0,0,105
2,1,7,0,105
2,2,0,0,105
2,3,0,0,105
2,4,0,0,105
2,5,2,0,105
2,6,2,0,105
3,1,14,0,105
3,2,1,0,105
3,3,4,0,105
3,4,1,0,105
3,5,5,0,105
3,6,0,0,105
4,1,0,0,105
4,2,0,0,105
4,3,0,0,105
4,4,0,0,105
4,5,0,0,105
4,6,0,0,105
5,1,2,0,105
5,2,52,0,105
5,3,97,0,105
5,4,1,0,105
5,5,16,0,105
5,6,1,0,105
6,1,0,0,105
6,2,2,0,105
6,3,0,0,105
6,4,0,0,105
6,5,0,0,105
6,6,0,0,105
7,1,0,0,105
7,2,0,0,105
7,3,0,0,105
7,4,0,0,105
8,1,0,0,105
8,2,3,0,105
8,3,0,0,105
8,4,47,0,105
8,5,4,0,105
8,6,1,0,105
9,1,6,0,105
9,2,7,0,105
9,3,1,0,105
9,4,45,0,105
9,5,9,0,105
9,6,4,0,105
10,1,1,0,105
10,2,2,0,105
10,3,0,0,105
10,4,0,0,105
10,5,17,0,105
10,6,1,0,105
11,1,4,0,105
11,2,0,0,105
11,3,0,0,105
11,4,0,0,105
11,5,0,0,105
11,6,1,0,105
12,1,2,0,105
12,2,15,0,105
12,3,0,0,105
12,4,3,0,105
12,5,2,0,105
12,6,2,0,105
13,1,0,0,105
13,2,10,0,105
13,3,1,0,105
13,4,6,0,105
13,5,0,0,105
13,6,1,0,105
14,1,10,0,105
14,2,0,0,105
14,3,2,0,105
14,4,1,0,105
14,5,0,0,105
14,6,0,0,105
15,1,0,0,105
15,2,0,0,105
15,3,0,0,105
15,4,0,0,105
15,5,0,0,105
15,6,0,0,105
16,1,1,0,105
16,2,16,0,105
16,3,1,0,105
16,4,6,0,105
16,5,5,0,105
16,6,5,0,105
17,1,0,0,105
17,2,0,0,105
17,3,0,0,105
17,4,0,0,105
17,5,0,0,105
17,6,0,0,105
18,1,0,0,105
18,2,0,0,105
1,1,0,0,106
1,2,0,0,106
1,3,0,0,106
1,4,0,0,106
2,1,10,0,106
2,2,0,0,106
2,3,0,0,106
2,4,0,0,106
2,5,107,0,106
2,6,30,0,106
3,1,267,0,106
3,2,2,0,106
3,3,4,0,106
3,4,0,0,106
3,5,8,0,106
3,6,0,0,106
4,1,2,0,106
4,2,0,0,106
4,3,1,0,106
4,4,2,0,106
4,5,2,0,106
4,6,1,0,106
5,1,4,0,106
5,2,18,0,106
5,3,43,0,106
5,4,2,0,106
5,5,16,0,106
5,6,9,0,106
6,1,3,0,106
6,2,1,0,106
6,3,5,0,106
6,4,0,0,106
6,5,1,0,106
6,6,4,0,106
7,1,0,0,106
7,2,0,0,106
7,3,0,0,106
7,4,3,0,106
8,1,1,0,106
8,2,12,0,106
8,3,0,0,106
8,4,5,0,106
8,5,4,0,106
8,6,1,0,106
9,1,18,0,106
9,2,9,0,106
9,3,5,0,106
9,4,236,0,106
9,5,20,0,106
9,6,6,0,106
10,1,9,0,106
10,2,4,0,106
10,3,2,0,106
10,4,41,0,106
10,5,1153,0,106
10,6,15,0,106
11,1,12,0,106
11,2,0,0,106
11,3,0,0,106
11,4,0,0,106
11,5,0,0,106
11,6,6,0,106
12,1,6,0,106
12,2,6,0,106
12,3,2,0,106
12,4,20,0,106
12,5,1,0,106
12,6,0,0,106
13,1,0,0,106
13,2,0,0,106
13,3,9,0,106
13,4,5,0,106
13,5,0,0,106
13,6,2,0,106
14,1,15,0,106
14,2,0,0,106
14,3,0,0,106
14,4,0,0,106
14,5,1,0,106
14,6,1,0,106
15,1,0,0,106
15,2,0,0,106
15,3,0,0,106
15,4,0,0,106
15,5,0,0,106
15,6,0,0,106
16,1,0,0,106
16,2,0,0,106
16,3,0,0,106
16,4,0,0,106
16,5,0,0,106
16,6,1,0,106
17,1,0,0,106
17,2,0,0,106
17,3,0,0,106
17,4,0,0,106
17,5,0,0,106
17,6,0,0,106
18,1,1,0,106
18,2,0,0,106
1,1,0,0,107
1,2,0,0,107
1,3,0,0,107
1,4,0,0,107
2,1,0,0,107
2,2,0,0,107
2,3,0,0,107
2,4,0,0,107
2,5,1,0,107
2,6,0,0,107
3,1,15,0,107
3,2,0,0,107
3,3,2,0,107
3,4,0,0,107
3,5,1,0,107
3,6,0,0,107
4,1,0,0,107
4,2,0,0,107
4,3,0,0,107
4,4,0,0,107
4,5,0,0,107
4,6,0,0,107
5,1,0,0,107
5,2,12,0,107
5,3,8,0,107
5,4,0,0,107
5,5,1,0,107
5,6,2,0,107
6,1,0,0,107
6,2,0,0,107
6,3,1,0,107
6,4,0,0,107
6,5,1,0,107
6,6,0,0,107
7,1,0,0,107
7,2,0,0,107
7,3,0,0,107
7,4,0,0,107
8,1,0,0,107
8,2,4,0,107
8,3,0,0,107
8,4,7,0,107
8,5,1,0,107
8,6,0,0,107
9,1,0,0,107
9,2,1,0,107
9,3,0,0,107
9,4,5,0,107
9,5,0,0,107
9,6,0,0,107
10,1,1,0,107
10,2,0,0,107
10,3,2,0,107
10,4,0,0,107
10,5,4,0,107
10,6,0,0,107
11,1,1,0,107
11,2,0,0,107
11,3,0,0,107
11,4,0,0,107
11,5,0,0,107
11,6,1,0,107
12,1,0,0,107
12,2,4,0,107
12,3,0,0,107
12,4,1,0,107
12,5,0,0,107
12,6,1,0,107
13,1,0,0,107
13,2,0,0,107
13,3,2,0,107
13,4,2,0,107
13,5,0,0,107
13,6,0,0,107
14,1,2,0,107
14,2,0,0,107
14,3,0,0,107
14,4,0,0,107
14,5,0,0,107
14,6,0,0,107
15,1,0,0,107
15,2,0,0,107
15,3,0,0,107
15,4,0,0,107
15,5,0,0,107
15,6,0,0,107
16,1,0,0,107
16,2,5,0,107
16,3,0,0,107
16,4,0,0,107
16,5,0,0,107
16,6,4,0,107
17,1,0,0,107
17,2,0,0,107
17,3,0,0,107
17,4,0,0,107
17,5,0,0,107
17,6,0,0,107
18,1,0,0,107
18,2,0,0,107
1,1,0,0,108
1,2,0,0,108
1,3,0,0,108
1,4,0,0,108
2,1,8,0,108
2,2,0,0,108
2,3,0,0,108
2,4,1,0,108
2,5,15,0,108
2,6,8,0,108
3,1,47,0,108
3,2,0,0,108
3,3,1,0,108
3,4,1,0,108
3,5,1,0,108
3,6,0,0,108
4,1,2,0,108
4,2,0,0,108
4,3,1,0,108
4,4,6,0,108
4,5,4,0,108
4,6,0,0,108
5,1,7,0,108
5,2,28,0,108
5,3,28,0,108
5,4,1,0,108
5,5,15,0,108
5,6,12,0,108
6,1,0,0,108
6,2,0,0,108
6,3,1,0,108
6,4,0,0,108
6,5,2,0,108
6,6,0,0,108
7,1,0,0,108
7,2,1,0,108
7,3,0,0,108
7,4,0,0,108
8,1,0,0,108
8,2,1,0,108
8,3,0,0,108
8,4,3,0,108
8,5,5,0,108
8,6,0,0,108
9,1,30,0,108
9,2,7,0,108
9,3,56,0,108
9,4,1093,0,108
9,5,13,0,108
9,6,7,0,108
10,1,0,0,108
10,2,0,0,108
10,3,2,0,108
10,4,2,0,108
10,5,51,0,108
10,6,0,0,108
11,1,2,0,108
11,2,0,0,108
11,3,0,0,108
11,4,0,0,108
11,5,0,0,108
11,6,0,0,108
12,1,6,0,108
12,2,1,0,108
12,3,18,0,108
12,4,15,0,108
12,5,4,0,108
12,6,0,0,108
13,1,0,0,108
13,2,1,0,108
13,3,5,0,108
13,4,3,0,108
13,5,0,0,108
13,6,0,0,108
14,1,11,0,108
14,2,0,0,108
14,3,0,0,108
14,4,0,0,108
14,5,0,0,108
14,6,0,0,108
15,1,1,0,108
15,2,0,0,108
15,3,0,0,108
15,4,0,0,108
15,5,0,0,108
15,6,1,0,108
16,1,0,0,108
16,2,0,0,108
16,3,1,0,108
16,4,2,0,108
16,5,0,0,108
16,6,1,0,108
17,1,0,0,108
17,2,1,0,108
17,3,0,0,108
17,4,0,0,108
17,5,1,0,108
17,6,0,0,108
18,1,2,0,108
18,2,1,0,108
1,1,0,0,109
1,2,0,0,109
1,3,0,0,109
1,4,0,0,109
2,1,0,0,109
2,2,0,0,109
2,3,0,0,109
2,4,0,0,109
2,5,0,0,109
2,6,0,0,109
3,1,0,0,109
3,2,0,0,109
3,3,0,0,109
3,4,0,0,109
3,5,0,0,109
3,6,0,0,109
4,1,0,0,109
4,2,0,0,109
4,3,0,0,109
4,4,0,0,109
4,5,1,0,109
4,6,0,0,109
5,1,0,0,109
5,2,0,0,109
5,3,1,0,109
5,4,0,0,109
5,5,2,0,109
5,6,2,0,109
6,1,0,0,109
6,2,0,0,109
6,3,0,0,109
6,4,0,0,109
6,5,0,0,109
6,6,0,0,109
7,1,0,0,109
7,2,0,0,109
7,3,0,0,109
7,4,0,0,109
8,1,0,0,109
8,2,4,0,109
8,3,0,0,109
8,4,0,0,109
8,5,0,0,109
8,6,0,0,109
9,1,2,0,109
9,2,14,0,109
9,3,0,0,109
9,4,11,0,109
9,5,2,0,109
9,6,0,0,109
10,1,0,0,109
10,2,1,0,109
10,3,0,0,109
10,4,0,0,109
10,5,1,0,109
10,6,0,0,109
11,1,0,0,109
11,2,0,0,109
11,3,0,0,109
11,4,0,0,109
11,5,0,0,109
11,6,1,0,109
12,1,1,0,109
12,2,0,0,109
12,3,0,0,109
12,4,8,0,109
12,5,1,0,109
12,6,1,0,109
13,1,0,0,109
13,2,0,0,109
13,3,0,0,109
13,4,0,0,109
13,5,0,0,109
13,6,0,0,109
14,1,0,0,109
14,2,0,0,109
14,3,1,0,109
14,4,0,0,109
14,5,0,0,109
14,6,0,0,109
15,1,0,0,109
15,2,0,0,109
15,3,0,0,109
15,4,0,0,109
15,5,0,0,109
15,6,1,0,109
16,1,0,0,109
16,2,0,0,109
16,3,0,0,109
16,4,0,0,109
16,5,0,0,109
16,6,0,0,109
17,1,0,0,109
17,2,0,0,109
17,3,0,0,109
17,4,0,0,109
17,5,0,0,109
17,6,0,0,109
18,1,0,0,109
18,2,0,0,109
1,1,4,0,10
1,2,0,0,10
1,3,0,0,10
1,4,0,0,10
1,5,3,0,10
1,6,8,0,10
1,7,8,0,10
2,1,0,0,10
2,2,0,0,10
2,3,0,0,10
2,4,0,0,10
2,5,0,0,10
3,1,0,0,10
3,2,0,0,10
3,3,1,0,10
3,4,0,0,10
3,5,0,0,10
3,6,0,0,10
3,7,1,0,10
4,1,1,0,10
4,2,19,0,10
4,3,1,0,10
4,4,1,0,10
4,5,0,0,10
4,6,6,0,10
5,1,11,0,10
5,2,1,0,10
5,3,1,0,10
5,4,2,0,10
5,5,0,0,10
5,6,0,0,10
5,7,0,0,10
6,1,25,0,10
6,2,45,0,10
6,3,4,0,10
6,4,2,0,10
6,5,518,0,10
6,6,260,0,10
6,7,12,0,10
7,1,7,0,10
7,2,0,0,10
7,3,0,0,10
7,4,10,0,10
7,5,0,0,10
7,6,0,0,10
7,7,0,0,10
8,1,16,0,10
8,2,2,0,10
8,3,0,0,10
8,4,0,0,10
8,5,0,0,10
8,6,1,0,10
8,7,2,0,10
9,1,4,0,10
9,2,3,0,10
9,3,3,0,10
9,4,0,0,10
9,5,11,0,10
9,6,1,0,10
9,7,0,0,10
10,1,30,0,10
10,2,4,0,10
10,3,1,0,10
10,4,2,0,10
10,5,2,0,10
10,6,0,0,10
10,7,0,0,10
11,1,0,0,10
11,2,0,0,10
11,3,1,0,10
11,4,1,0,10
11,5,1,0,10
11,6,0,0,10
11,7,0,0,10
12,1,4,0,10
12,2,29,0,10
12,3,2,0,10
12,4,0,0,10
12,5,0,0,10
12,6,22,0,10
12,7,0,0,10
13,1,8,0,10
13,2,1,0,10
13,3,27,0,10
13,4,16,0,10
13,5,0,0,10
13,6,17,0,10
13,7,1,0,10
14,1,35,0,10
14,2,1265,0,10
14,3,6,0,10
14,4,69,0,10
14,5,2,0,10
14,6,11,0,10
14,7,6,0,10
15,1,5,0,10
15,2,2,0,10
15,3,0,0,10
15,4,0,0,10
15,5,0,0,10
15,6,0,0,10
15,7,0,0,10
16,1,1,0,10
16,2,6,0,10
16,3,3,0,10
16,4,0,0,10
16,5,0,0,10
16,6,0,0,10
16,7,0,0,10
17,1,7,0,10
17,2,4,0,10
17,3,1,0,10
17,4,1,0,10
17,5,0,0,10
17,6,0,0,10
17,7,0,0,10
18,1,0,0,10
18,2,1,0,10
18,3,0,0,10
18,4,0,0,10
1,1,0,0,110
1,2,0,0,110
1,3,0,0,110
1,4,0,0,110
2,1,0,0,110
2,2,0,0,110
2,3,0,0,110
2,4,0,0,110
2,5,0,0,110
2,6,0,0,110
3,1,2,0,110
3,2,1,0,110
3,3,1,0,110
3,4,0,0,110
3,5,0,0,110
3,6,0,0,110
4,1,0,0,110
4,2,0,0,110
4,3,0,0,110
4,4,0,0,110
4,5,0,0,110
4,6,1,0,110
5,1,0,0,110
5,2,1,0,110
5,3,1,0,110
5,4,0,0,110
5,5,0,0,110
5,6,0,0,110
6,1,0,0,110
6,2,0,0,110
6,3,0,0,110
6,4,0,0,110
6,5,0,0,110
6,6,0,0,110
7,1,0,0,110
7,2,0,0,110
7,3,0,0,110
7,4,0,0,110
8,1,5,0,110
8,2,0,0,110
8,3,0,0,110
8,4,26,0,110
8,5,4,0,110
8,6,0,0,110
9,1,0,0,110
9,2,3,0,110
9,3,0,0,110
9,4,25,0,110
9,5,1,0,110
9,6,0,0,110
10,1,1,0,110
10,2,0,0,110
10,3,0,0,110
10,4,0,0,110
10,5,2,0,110
10,6,0,0,110
11,1,1,0,110
11,2,0,0,110
11,3,0,0,110
11,4,0,0,110
11,5,0,0,110
11,6,1,0,110
12,1,0,0,110
12,2,3,0,110
12,3,0,0,110
12,4,3,0,110
12,5,4,0,110
12,6,0,0,110
13,1,1,0,110
13,2,0,0,110
13,3,0,0,110
13,4,0,0,110
13,5,0,0,110
13,6,0,0,110
14,1,0,0,110
14,2,0,0,110
14,3,0,0,110
14,4,0,0,110
14,5,0,0,110
14,6,0,0,110
15,1,0,0,110
15,2,0,0,110
15,3,0,0,110
15,4,0,0,110
15,5,0,0,110
15,6,0,0,110
16,1,0,0,110
16,2,11,0,110
16,3,0,0,110
16,4,0,0,110
16,5,5,0,110
16,6,1,0,110
17,1,0,0,110
17,2,0,0,110
17,3,0,0,110
17,4,0,0,110
17,5,0,0,110
17,6,0,0,110
18,1,0,0,110
18,2,0,0,110
1,1,0,0,111
1,2,0,0,111
1,3,0,0,111
1,4,0,0,111
2,1,0,0,111
2,2,0,0,111
2,3,0,0,111
2,4,0,0,111
2,5,4,0,111
2,6,1,0,111
3,1,35,0,111
3,2,0,0,111
3,3,16,0,111
3,4,0,0,111
3,5,100,0,111
3,6,2,0,111
4,1,137,0,111
4,2,6,0,111
4,3,1,0,111
4,4,8,0,111
4,5,1,0,111
4,6,0,0,111
5,1,50,0,111
5,2,46,0,111
5,3,7,0,111
5,4,2,0,111
5,5,14,0,111
5,6,20,0,111
6,1,2,0,111
6,2,1,0,111
6,3,1,0,111
6,4,0,0,111
6,5,0,0,111
6,6,0,0,111
7,1,1,0,111
7,2,0,0,111
7,3,0,0,111
7,4,0,0,111
8,1,253,0,111
8,2,2,0,111
8,3,9,0,111
8,4,33,0,111
8,5,1,0,111
8,6,6,0,111
9,1,9,0,111
9,2,6,0,111
9,3,20,0,111
9,4,1,0,111
9,5,31,0,111
9,6,1854,0,111
10,1,10,0,111
10,2,1,0,111
10,3,7,0,111
10,4,0,0,111
10,5,2,0,111
10,6,0,0,111
11,1,7,0,111
11,2,90,0,111
11,3,0,0,111
11,4,0,0,111
11,5,4,0,111
11,6,6,0,111
12,1,3,0,111
12,2,49,0,111
12,3,5,0,111
12,4,4,0,111
12,5,21,0,111
12,6,293,0,111
13,1,0,0,111
13,2,1,0,111
13,3,1,0,111
13,4,4,0,111
13,5,0,0,111
13,6,0,0,111
14,1,6,0,111
14,2,0,0,111
14,3,3,0,111
14,4,0,0,111
14,5,0,0,111
14,6,1,0,111
15,1,0,0,111
15,2,0,0,111
15,3,0,0,111
15,4,0,0,111
15,5,0,0,111
15,6,0,0,111
16,1,1,0,111
16,2,0,0,111
16,3,1,0,111
16,4,3,0,111
16,5,1,0,111
16,6,10,0,111
17,1,2,0,111
17,2,1,0,111
17,3,0,0,111
17,4,1,0,111
17,5,0,0,111
17,6,1,0,111
18,1,0,0,111
18,2,0,0,111
1,1,1,0,112
1,2,1,0,112
1,3,0,0,112
1,4,0,0,112
2,1,20,0,112
2,2,47,0,112
2,3,21,0,112
2,4,11,0,112
2,5,16,0,112
2,6,17,0,112
3,1,138,0,112
3,2,44,0,112
3,3,51,0,112
3,4,18,0,112
3,5,8,0,112
3,6,3,0,112
4,1,5,0,112
4,2,199,0,112
4,3,174,0,112
4,4,20,0,112
4,5,4,0,112
4,6,164,0,112
5,1,1271,0,112
5,2,94,0,112
5,3,10,0,112
5,4,151,0,112
5,5,92,0,112
5,6,52,0,112
