tot_sezio,iscri_maschi,iscri_femm,iscri_totali,tvmas,tvfem,tvotanti,tvotival,tvnonass,tbianche,tnulle,tvnulli,sk_contestate,solosindpres,solosindpres_nona,totale_parz,totale_gen,idComune
2,521,529,1050,337,331,668,569,0,25,10,0,0,64,0,35,668,135
1,483,520,1003,281,259,540,423,0,20,18,0,0,79,0,38,540,136
1,102,111,213,56,65,121,74,0,6,14,0,0,27,0,20,121,137
5,2941,2997,5938,1726,1638,3364,2364,0,141,84,0,0,775,0,225,3364,138
10,5070,5132,10202,2711,2710,5421,4264,0,141,114,0,3,899,0,258,5421,139
1,137,126,263,77,61,138,114,0,5,4,0,0,15,0,9,138,13
15,7155,7558,14713,3846,3844,7690,5304,0,214,186,0,0,1986,0,400,7690,140
19,9627,10314,19941,5386,5492,10878,8180,0,346,322,0,13,2017,0,681,10878,141
1,454,492,946,225,229,454,352,0,27,5,0,0,70,0,32,454,142
4,1686,1777,3463,884,801,1685,1338,0,54,37,0,0,256,0,91,1685,143
13,6004,6433,12437,3256,3163,6419,4910,0,219,162,0,0,1128,0,381,6419,144
2,601,618,1219,347,353,700,569,0,41,23,0,0,67,0,64,700,145
3,1298,1380,2678,821,786,1607,1236,0,68,37,0,0,266,0,105,1607,146
1,179,186,365,113,101,214,182,0,11,0,0,0,21,0,11,214,147
2,464,476,940,276,260,536,400,0,28,10,0,0,98,0,38,536,148
2,429,406,835,276,253,529,464,0,18,10,0,0,37,0,28,529,149
2,568,592,1160,377,366,743,629,0,39,17,0,0,58,0,56,743,14
19,8540,9198,17738,4950,5004,9954,7733,0,318,234,0,0,1669,0,552,9954,150
10,4716,4920,9636,2461,2336,4797,3510,0,197,152,0,0,938,0,349,4797,151
3,1230,1234,2464,776,708,1484,1142,0,69,29,0,0,244,0,98,1484,152
1,163,160,323,136,128,264,199,0,18,11,0,0,36,0,29,264,153
2,425,452,877,281,296,577,443,0,28,24,0,0,82,0,52,577,154
2,400,394,794,265,223,488,404,0,21,10,0,0,53,0,31,488,155
5,1824,1875,3699,726,700,1426,1211,0,73,35,0,0,107,0,108,1426,156
3,1604,1602,3206,889,861,1750,1484,0,80,54,0,0,132,0,134,1750,157
2,830,846,1676,609,610,1219,972,0,106,37,0,0,104,0,143,1219,158
3,660,656,1316,306,253,559,484,0,15,20,0,0,40,0,35,559,159
6,2273,2383,4656,1384,1367,2751,2191,0,123,80,0,0,357,0,203,2751,15
52,20322,21652,41974,12601,12550,25151,21551,0,751,694,0,6,2149,0,1451,25151,160
2,520,563,1083,300,266,566,458,0,25,18,0,0,65,0,43,566,161
7,3425,3499,6924,2118,2066,4184,3508,0,160,117,0,1,398,0,278,4184,162
3,1246,1277,2523,779,699,1478,1237,0,91,26,0,0,124,0,117,1478,163
3,916,950,1866,589,591,1180,946,0,46,47,0,0,141,0,93,1180,164
3,1522,1557,3079,1008,981,1989,1741,0,76,32,0,0,140,0,108,1989,165
4,1292,1321,2613,858,785,1643,1445,0,64,44,0,0,90,0,108,1643,166
1,481,527,1008,328,317,645,532,0,58,8,0,0,47,0,66,645,167
5,2262,2451,4713,1265,1245,2510,1975,0,110,72,0,0,353,0,182,2510,168
8,3916,3951,7867,2321,2275,4596,3873,0,180,122,0,0,421,0,302,4596,169
3,2013,1983,3996,1138,1092,2230,1696,0,109,56,0,0,369,0,165,2230,16
2,647,616,1263,445,413,858,813,0,13,16,0,0,16,0,29,858,170
15,6393,6944,13337,3911,4044,7955,6716,0,246,201,0,0,792,0,447,7955,171
3,1015,1033,2048,688,671,1359,1158,0,55,42,0,0,104,0,97,1359,172
2,728,721,1449,418,378,796,653,0,34,10,0,0,99,0,44,796,173
4,1853,1883,3736,1037,980,2017,1674,0,87,36,0,0,220,0,123,2017,174
2,937,1088,2025,597,617,1214,1085,0,45,18,0,0,66,0,63,1214,175
1,292,275,567,173,130,303,254,0,15,7,0,0,27,0,22,303,176
3,906,927,1833,554,507,1061,845,0,62,17,0,0,137,0,79,1061,177
2,292,239,531,141,94,235,210,0,5,10,0,0,10,0,15,235,178
1,252,243,495,176,137,313,273,0,12,7,0,0,21,0,19,313,179
1,247,235,482,208,185,393,327,0,22,5,0,0,39,0,27,393,17
10,5094,5154,10248,2821,2750,5571,4466,0,254,183,0,0,668,0,437,5571,180
6,2156,2290,4446,1373,1273,2646,2237,0,105,69,0,0,235,0,174,2646,181
1,91,96,187,51,39,90,79,0,5,1,0,0,5,0,6,90,182
5,1912,1912,3824,1105,1012,2117,1845,0,74,64,0,0,134,0,138,2117,183
3,988,958,1946,518,419,937,791,0,33,19,0,0,94,0,52,937,184
1,407,382,789,275,240,515,441,0,28,5,0,0,41,0,33,515,185
43,19090,21121,40211,11132,11559,22691,19232,0,722,519,0,2,2216,0,1243,22691,186
6,2817,2994,5811,1637,1639,3276,2693,0,113,82,0,0,388,0,195,3276,187
3,926,951,1877,539,516,1055,910,0,51,23,0,0,71,0,74,1055,188
2,1427,1459,2886,865,874,1739,1414,0,91,46,0,5,183,0,142,1739,189
1,578,529,1107,398,355,753,654,0,27,14,0,0,58,0,41,753,18
4,1495,1513,3008,1042,954,1996,1705,0,78,46,0,0,167,0,124,1996,190
1,270,282,552,179,168,347,295,0,27,11,0,0,14,0,38,347,191
2,921,920,1841,529,492,1021,801,0,43,34,0,0,143,0,77,1021,192
3,1461,1516,2977,818,760,1578,1242,0,100,40,0,0,196,0,140,1578,193
37,14919,15944,30863,10313,10595,20908,15961,0,1524,614,0,0,2809,0,2138,20908,194
1,460,473,933,277,231,508,427,0,24,11,0,0,46,0,35,508,195
3,1266,1407,2673,800,839,1639,1296,0,80,61,0,0,202,0,141,1639,196
1,553,560,1113,346,313,659,559,0,22,13,0,0,65,0,35,659,197
1,561,607,1168,367,368,735,596,0,42,14,0,0,83,0,56,735,198
1,496,484,980,255,250,505,418,0,32,19,0,0,36,0,51,505,199
3,774,869,1643,525,528,1053,907,0,42,18,0,0,86,0,60,1053,19
4,1777,1815,3592,1186,1134,2320,1945,0,106,83,0,0,186,0,189,2320,1
1,268,263,531,210,192,402,334,0,24,20,0,0,24,0,44,402,200
2,824,872,1696,458,421,879,716,0,49,28,0,0,86,0,77,879,201
1,226,230,456,119,106,225,192,0,8,7,0,0,18,0,15,225,202
2,567,570,1137,397,389,786,656,0,67,13,0,0,50,0,80,786,203
1,352,384,736,198,188,386,331,0,22,3,0,0,30,0,25,386,204
7,3097,3273,6370,1708,1568,3276,2633,0,160,112,0,0,371,0,272,3276,205
1,188,164,352,156,113,269,201,0,31,7,0,0,30,0,38,269,207
1,355,335,690,270,234,504,379,0,51,18,0,0,56,0,69,504,208
1,200,203,403,114,96,210,175,0,14,3,0,0,18,0,17,210,209
2,689,678,1367,410,382,792,661,0,49,20,0,0,62,0,69,792,20
3,996,1072,2068,660,679,1339,1007,0,128,40,0,0,164,0,168,1339,210
2,1187,1207,2394,634,588,1222,936,0,83,33,0,0,170,0,116,1222,211
6,3164,3278,6442,2111,2075,4186,3351,0,250,109,0,0,476,0,359,4186,212
1,232,234,466,121,110,231,188,0,10,4,0,0,29,0,14,231,213
1,389,413,802,214,191,405,330,0,30,7,0,0,38,0,37,405,214
1,440,476,916,317,319,636,530,0,60,17,0,0,29,0,77,636,215
1,243,244,487,153,146,299,245,0,16,8,0,0,30,0,24,299,216
1,322,328,650,237,230,467,414,0,11,5,0,0,37,0,16,467,217
2,1087,1129,2216,696,715,1411,1144,0,56,43,0,0,168,0,99,1411,218
3,1079,1135,2214,629,601,1230,981,0,65,31,0,0,153,0,96,1230,219
1,472,475,947,278,258,536,423,0,36,13,0,0,64,0,49,536,21
2,751,742,1493,489,412,901,710,0,58,34,0,0,99,0,92,901,220
15,6700,7486,14186,4097,4338,8435,6752,0,326,242,0,0,1115,0,568,8435,221
19,9638,10316,19954,5905,6132,12037,9733,0,540,320,0,0,1444,0,860,12037,222
2,816,846,1662,518,507,1025,813,0,70,23,0,0,119,0,93,1025,223
2,558,568,1126,427,420,847,641,0,92,14,0,0,100,0,106,847,224
15,7313,7507,14820,4356,4165,8521,6843,0,407,278,0,0,993,0,685,8521,225
3,961,997,1958,689,649,1338,1135,0,66,26,0,0,111,0,92,1338,226
1,139,143,282,107,95,202,181,0,11,2,0,0,8,0,13,202,227
2,930,986,1916,522,471,993,782,0,59,29,0,0,123,0,88,993,228
2,919,885,1804,542,499,1041,874,0,50,26,0,0,91,0,76,1041,22
4,1613,1598,3211,1124,1066,2190,1759,0,111,63,0,0,257,0,174,2190,23
15,5843,5969,11812,3635,3511,7146,5350,0,260,195,0,0,1341,0,455,7146,24
3,1050,1091,2141,728,719,1447,1259,0,55,21,0,0,112,0,76,1447,25
1,266,287,553,185,177,362,300,0,16,5,0,0,41,0,21,362,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
1,529,492,1021,327,290,617,549,0,23,6,0,0,39,0,29,617,28
3,1136,1152,2288,773,723,1496,1208,0,63,36,0,0,189,0,99,1496,29
3,765,792,1557,517,514,1031,919,0,46,16,0,0,50,0,62,1031,2
2,621,633,1254,329,297,626,522,0,24,18,0,0,62,0,42,626,30
6,2705,2624,5329,1630,1517,3147,2509,0,116,96,0,0,426,0,212,3147,31
2,1124,1152,2276,682,669,1351,1003,0,66,30,0,0,252,0,96,1351,32
1,302,303,605,206,197,403,361,0,12,5,0,0,25,0,17,403,33
12,2708,2830,5538,1734,1696,3430,3017,0,118,83,0,0,212,0,201,3430,34
106,38209,41587,79796,24719,25548,50267,41966,0,1440,1124,0,2,5735,0,2566,50267,35
3,1100,1028,2128,734,669,1403,1221,0,48,27,0,0,107,0,75,1403,36
3,810,824,1634,541,525,1066,890,0,43,43,0,0,90,0,86,1066,37
1,271,252,523,183,171,354,298,0,22,4,0,0,30,0,26,354,38
2,800,824,1624,527,520,1047,896,0,55,21,0,0,75,0,76,1047,39
1,282,292,574,186,193,379,353,0,16,2,0,0,8,0,18,379,3
4,2008,1939,3947,1256,1142,2398,1827,0,113,73,0,0,385,0,186,2398,40
4,1407,1459,2866,892,838,1730,1363,0,64,44,0,0,259,0,108,1730,41
4,1771,1831,3602,1236,1247,2483,2006,0,187,42,0,0,248,0,229,2483,42
3,608,603,1211,404,394,798,678,0,19,18,0,0,83,0,37,798,43
3,716,709,1425,324,302,626,501,0,33,9,0,0,83,0,42,626,44
2,475,500,975,278,239,517,442,0,22,12,0,0,41,0,34,517,45
1,370,394,764,218,225,443,355,0,22,14,0,0,52,0,36,443,46
8,3205,3144,6349,1832,1767,3599,2850,0,164,103,0,0,482,0,267,3599,47
6,2754,2844,5598,1911,1880,3791,3306,0,156,70,0,0,259,0,226,3791,48
20,5980,6180,12160,3959,3893,7852,6591,0,239,203,0,2,817,0,444,7852,49
2,317,301,618,175,146,321,268,0,17,10,0,0,26,0,27,321,4
14,5781,5694,11475,3493,3285,6778,5637,0,257,202,0,0,682,0,459,6778,50
11,4887,4886,9773,3143,2998,6141,5107,0,241,154,0,0,639,0,395,6141,51
8,2399,2377,4776,1504,1390,2894,2244,0,178,79,0,0,393,0,257,2894,52
7,2004,2026,4030,1373,1304,2677,2228,0,107,66,0,0,276,0,173,2677,53
4,2032,2055,4087,1274,1238,2512,1893,0,88,48,0,0,483,0,136,2512,54
100,38112,42190,80302,23146,24258,47404,37799,0,997,780,0,16,7812,0,1793,47404,55
9,2081,2165,4246,1214,1129,2343,1837,0,80,50,0,0,376,0,130,2343,56
2,541,546,1087,385,367,752,530,0,39,19,0,0,164,0,58,752,57
2,972,1026,1998,553,538,1091,809,0,45,26,0,0,211,0,71,1091,58
6,3325,3420,6745,1903,1911,3814,2966,0,113,100,0,0,635,0,213,3814,59
12,3742,3932,7674,2245,2205,4450,3754,0,189,135,0,0,372,0,324,4450,5
2,1073,1071,2144,673,655,1328,1018,0,39,28,0,0,243,0,67,1328,60
4,1872,1982,3854,1270,1262,2532,1915,0,85,60,0,0,472,0,145,2532,61
16,7838,8114,15952,4497,4384,8881,6708,0,320,223,0,1,1629,0,544,8881,62
2,677,703,1380,477,467,944,713,0,51,25,0,0,155,0,76,944,63
4,1371,1435,2806,861,878,1739,1366,0,64,44,0,0,265,0,108,1739,64
3,1607,1625,3232,979,981,1960,1501,0,135,83,0,0,241,0,218,1960,65
13,5667,6379,12046,3680,3872,7552,5914,0,227,129,0,3,1279,0,359,7552,66
5,2077,2173,4250,1388,1354,2742,2068,0,117,51,0,0,506,0,168,2742,67
4,2090,2152,4242,1164,1103,2267,1727,0,105,77,0,0,358,0,182,2267,68
40,12112,12910,25022,7490,7500,14990,12066,0,485,453,0,0,1986,0,938,14990,69
4,1059,1090,2149,650,589,1239,1025,0,63,39,0,0,112,0,102,1239,6
27,10061,10989,21050,6447,6739,13186,10698,0,318,261,0,0,1909,0,579,13186,70
8,4172,4341,8513,2381,2342,4723,3726,0,224,103,0,0,670,0,327,4723,71
2,760,781,1541,505,469,974,857,0,19,18,0,0,80,0,37,974,72
40,15506,16883,32389,10100,10247,20347,15866,0,609,431,0,0,3441,0,1040,20347,73
10,5658,6235,11893,3597,3751,7348,5616,0,424,207,0,0,1101,0,631,7348,74
6,2574,2744,5318,1648,1598,3246,2461,0,106,84,0,0,595,0,190,3246,75
1,413,444,857,279,296,575,469,0,21,11,0,0,74,0,32,575,76
3,1349,1399,2748,949,930,1879,1454,0,55,28,0,0,342,0,83,1879,77
2,923,1017,1940,522,514,1036,822,0,46,15,0,0,153,0,61,1036,78
9,4160,4187,8347,2550,2488,5038,3846,0,117,99,0,0,976,0,216,5038,79
2,660,658,1318,482,435,917,817,0,15,13,0,0,72,0,28,917,7
3,1209,1213,2422,819,783,1602,1237,0,43,25,0,2,295,0,70,1602,80
6,2825,2939,5764,1892,1878,3770,2861,0,120,78,0,0,711,0,198,3770,81
2,788,784,1572,485,450,935,684,0,42,36,0,0,173,0,78,935,82
3,1885,1839,3724,1074,1018,2092,1686,0,53,30,0,0,323,0,83,2092,83
2,979,1002,1981,570,570,1140,897,0,42,34,0,0,167,0,76,1140,84
33,15220,15794,31014,9071,8985,18056,14627,0,503,435,0,10,2481,0,948,18056,85
6,2797,2937,5734,1709,1630,3339,2215,0,127,56,0,0,941,0,183,3339,86
3,1490,1499,2989,945,879,1824,1266,0,82,64,0,0,412,0,146,1824,87
1,314,332,646,190,200,390,287,0,13,13,0,0,77,0,26,390,88
3,1997,2005,4002,1294,1233,2527,1885,0,87,79,0,0,476,0,166,2527,89
7,3247,3272,6519,2083,2022,4105,3288,0,153,125,0,0,539,0,278,4105,8
2,761,777,1538,485,463,948,749,0,38,10,0,0,151,0,48,948,90
2,867,920,1787,563,558,1121,822,0,51,26,0,0,222,0,77,1121,91
1,388,377,765,241,226,467,340,0,26,14,0,0,87,0,40,467,92
4,1839,1941,3780,1137,1070,2207,1650,0,116,53,0,0,388,0,169,2207,93
9,2976,3046,6022,1775,1714,3489,2707,0,189,113,0,0,480,0,302,3489,94
43,18634,20128,38762,12551,13035,25586,18010,0,678,443,0,0,6455,0,1121,25586,95
4,1498,1587,3085,952,931,1883,1369,0,85,39,0,0,390,0,124,1883,96
5,1131,1244,2375,721,705,1426,1085,0,56,39,0,0,246,0,95,1426,97
4,1962,2078,4040,1123,1144,2267,1749,0,78,41,0,0,399,0,119,2267,98
2,1004,1014,2018,561,531,1092,833,0,38,35,0,0,186,0,73,1092,99
67,24601,26378,50979,15613,15990,31603,26424,0,897,779,0,1,3502,0,1677,31603,9
