tot_sezio,iscri_maschi,iscri_femm,iscri_totali,tvmas,tvfem,tvotanti,tvotival,tvnonass,tbianche,tnulle,tvnulli,sk_contestate,solosindpres,solosindpres_nona,totale_parz,totale_gen,idComune
6,3121,3136,6257,1874,1787,3661,2597,0,130,63,0,0,871,0,193,3661,100
2,1091,1217,2308,587,580,1167,875,0,54,27,0,0,211,0,81,1167,101
4,1764,1847,3611,1146,1106,2252,1585,0,107,74,0,0,486,0,181,2252,102
2,788,832,1620,523,507,1030,826,0,47,13,0,0,144,0,60,1030,103
1,70,54,124,46,33,79,68,0,2,2,0,0,7,0,4,79,104
2,723,759,1482,477,474,951,759,0,36,28,0,0,128,0,64,951,105
8,2706,2970,5676,1769,1767,3536,2974,0,116,89,0,0,357,0,205,3536,106
1,228,261,489,133,147,280,214,0,9,6,0,0,51,0,15,280,107
4,2226,2303,4529,1275,1225,2500,2108,0,84,67,0,0,241,0,151,2500,108
1,125,107,232,79,63,142,125,0,5,2,0,0,10,0,7,142,109
7,3272,3332,6604,2214,2171,4385,3812,0,162,94,0,0,317,0,256,4385,10
1,211,218,429,123,106,229,181,0,20,5,0,0,23,0,25,229,110
9,5243,5482,10725,2754,2673,5427,4728,0,148,100,0,0,451,0,248,5427,111
40,17090,18573,35663,9900,10302,20202,15658,0,659,524,0,0,3361,0,1183,20202,112
2,616,638,1254,343,339,682,537,0,25,18,0,0,102,0,43,682,113
15,6631,6850,13481,3806,3768,7574,5747,0,306,169,0,0,1352,0,475,7574,114
2,850,906,1756,540,538,1078,861,0,40,28,0,0,149,0,68,1078,115
2,306,273,579,204,163,367,307,0,8,10,0,2,40,0,20,367,116
2,639,677,1316,398,358,756,625,0,21,22,0,0,88,0,43,756,117
1,390,369,759,164,142,306,243,0,13,7,0,0,43,0,20,306,118
1,332,340,672,213,185,398,319,0,21,11,0,0,47,0,32,398,119
12,3869,3959,7828,2537,2531,5068,4145,0,145,138,0,0,640,0,283,5068,11
3,1090,1167,2257,593,570,1163,867,0,65,23,0,0,208,0,88,1163,120
44,17037,18993,36030,11497,12117,23614,17249,0,849,449,0,5,5062,0,1303,23614,121
10,4307,4543,8850,2478,2472,4950,3703,0,199,137,0,0,911,0,336,4950,122
5,2121,2195,4316,1240,1170,2410,1693,0,156,58,0,0,503,0,214,2410,123
7,3186,3335,6521,1939,1865,3804,2700,0,168,81,0,0,855,0,249,3804,124
1,46,46,92,36,26,62,57,0,3,1,0,0,1,0,4,62,125
5,3089,3152,6241,1789,1770,3559,2699,0,143,95,0,0,622,0,238,3559,126
4,1676,1734,3410,915,849,1764,1233,0,69,35,0,0,427,0,104,1764,127
3,1798,1849,3647,922,877,1799,1295,0,61,56,0,0,387,0,117,1799,128
7,3259,3351,6610,1879,1804,3683,2719,0,158,102,0,0,704,0,260,3683,129
2,406,407,813,242,214,456,377,0,21,9,0,0,49,0,30,456,12
1,296,311,607,209,201,410,324,0,26,5,0,0,55,0,31,410,130
9,4397,4577,8974,2495,2361,4856,3642,0,172,122,0,0,920,0,294,4856,131
1,324,354,678,225,236,461,371,0,11,11,0,0,68,0,22,461,132
1,456,475,931,246,218,464,357,0,29,15,0,0,63,0,44,464,133
2,944,967,1911,647,628,1275,913,0,99,58,0,0,205,0,157,1275,134
