id,voti,voti_nona,idComune
2,13,0,100
3,19,0,100
16,695,0,100
14,68,0,100
15,24,0,100
17,109,0,100
18,79,0,100
13,121,0,100
12,184,0,100
11,63,0,100
4,41,0,100
7,13,0,100
9,100,0,100
6,533,0,100
8,89,0,100
10,8,0,100
5,438,0,100
1,0,0,101
18,20,0,101
14,46,0,101
15,8,0,101
16,175,0,101
17,10,0,101
13,7,0,101
8,16,0,101
6,336,0,101
9,31,0,101
7,25,0,101
5,119,0,101
10,7,0,101
12,44,0,101
2,5,0,101
11,9,0,101
4,14,0,101
3,3,0,101
1,1,0,102
18,19,0,102
14,49,0,102
15,19,0,102
16,351,0,102
17,13,0,102
13,17,0,102
8,19,0,102
6,519,0,102
9,48,0,102
7,21,0,102
5,242,0,102
10,49,0,102
12,129,0,102
2,7,0,102
11,48,0,102
4,30,0,102
3,4,0,102
1,2,0,103
18,25,0,103
14,21,0,103
15,8,0,103
16,168,0,103
17,3,0,103
13,4,0,103
8,87,0,103
6,155,0,103
9,40,0,103
7,14,0,103
5,171,0,103
10,3,0,103
12,63,0,103
2,4,0,103
11,51,0,103
4,6,0,103
3,1,0,103
1,0,0,104
18,1,0,104
14,1,0,104
15,0,0,104
16,18,0,104
17,0,0,104
13,0,0,104
8,2,0,104
6,15,0,104
9,14,0,104
7,1,0,104
5,7,0,104
10,4,0,104
12,4,0,104
2,0,0,104
11,1,0,104
4,0,0,104
3,0,0,104
1,0,0,105
18,23,0,105
14,26,0,105
15,2,0,105
16,210,0,105
17,11,0,105
13,7,0,105
8,54,0,105
6,158,0,105
9,53,0,105
7,12,0,105
5,91,0,105
10,20,0,105
12,50,0,105
2,2,0,105
11,31,0,105
4,7,0,105
3,2,0,105
1,2,0,106
18,165,0,106
14,297,0,106
15,21,0,106
16,365,0,106
17,21,0,106
13,13,0,106
8,23,0,106
6,453,0,106
9,1242,0,106
7,30,0,106
5,198,0,106
10,17,0,106
12,80,0,106
2,5,0,106
11,14,0,106
4,22,0,106
3,6,0,106
1,1,0,107
18,5,0,107
14,20,0,107
15,0,0,107
16,43,0,107
17,2,0,107
13,0,0,107
8,13,0,107
6,48,0,107
9,16,0,107
7,4,0,107
5,30,0,107
10,4,0,107
12,15,0,107
2,0,0,107
11,8,0,107
4,5,0,107
3,0,0,107
1,5,0,108
18,55,0,108
14,59,0,108
15,22,0,108
16,255,0,108
17,4,0,108
13,6,0,108
8,11,0,108
6,1313,0,108
9,83,0,108
7,17,0,108
5,137,0,108
10,10,0,108
12,96,0,108
2,6,0,108
11,9,0,108
4,16,0,108
3,4,0,108
1,0,0,109
18,0,0,109
14,1,0,109
15,1,0,109
16,20,0,109
17,2,0,109
13,0,0,109
8,4,0,109
6,42,0,109
9,7,0,109
7,1,0,109
5,28,0,109
10,0,0,109
12,14,0,109
2,2,0,109
11,1,0,109
4,2,0,109
3,0,0,109
11,29,0,10
1,2,0,10
4,30,0,10
12,177,0,10
14,23,0,10
16,1164,0,10
17,37,0,10
15,34,0,10
13,37,0,10
18,64,0,10
2,13,0,10
5,218,0,10
9,115,0,10
6,1811,0,10
10,17,0,10
8,15,0,10
7,20,0,10
3,6,0,10
1,1,0,110
18,4,0,110
14,2,0,110
15,1,0,110
16,7,0,110
17,0,0,110
13,1,0,110
8,28,0,110
6,63,0,110
9,11,0,110
7,3,0,110
5,32,0,110
10,2,0,110
12,12,0,110
2,1,0,110
11,12,0,110
4,0,0,110
3,1,0,110
1,1,0,111
18,37,0,111
14,140,0,111
15,186,0,111
16,487,0,111
17,22,0,111
13,11,0,111
8,277,0,111
6,2486,0,111
9,109,0,111
7,127,0,111
5,630,0,111
10,10,0,111
12,123,0,111
2,5,0,111
11,31,0,111
4,40,0,111
3,6,0,111
1,27,0,112
18,296,0,112
14,303,0,112
15,578,0,112
16,3135,0,112
17,435,0,112
13,62,0,112
8,129,0,112
6,3232,0,112
9,1876,0,112
7,142,0,112
5,3149,0,112
10,235,0,112
12,1082,0,112
2,84,0,112
11,606,0,112
4,214,0,112
3,73,0,112
1,1,0,113
18,15,0,113
14,33,0,113
15,10,0,113
16,113,0,113
17,8,0,113
13,35,0,113
8,28,0,113
6,118,0,113
9,14,0,113
7,7,0,113
5,109,0,113
10,7,0,113
12,22,0,113
2,0,0,113
11,11,0,113
4,5,0,113
3,1,0,113
1,17,0,114
18,157,0,114
14,151,0,114
15,74,0,114
16,932,0,114
17,91,0,114
13,48,0,114
8,146,0,114
6,1546,0,114
9,320,0,114
7,111,0,114
5,1268,0,114
10,308,0,114
12,423,0,114
2,32,0,114
11,57,0,114
4,58,0,114
3,8,0,114
1,0,0,115
18,21,0,115
14,26,0,115
15,3,0,115
16,148,0,115
17,4,0,115
13,7,0,115
8,15,0,115
6,383,0,115
9,48,0,115
7,6,0,115
5,99,0,115
10,8,0,115
12,67,0,115
2,7,0,115
11,2,0,115
4,15,0,115
3,2,0,115
1,2,0,116
18,12,0,116
14,5,0,116
15,6,0,116
16,124,0,116
17,2,0,116
13,0,0,116
8,4,0,116
6,51,0,116
9,23,0,116
7,4,0,116
5,37,0,116
10,3,0,116
12,17,0,116
2,1,0,116
11,5,0,116
4,11,0,116
3,0,0,116
1,1,0,117
18,23,0,117
14,32,0,117
15,6,0,117
16,110,0,117
17,6,0,117
13,2,0,117
8,0,0,117
6,180,0,117
9,30,0,117
7,90,0,117
5,83,0,117
10,6,0,117
12,37,0,117
2,3,0,117
11,6,0,117
4,9,0,117
3,1,0,117
1,0,0,118
18,16,0,118
14,11,0,118
15,8,0,118
16,38,0,118
17,5,0,118
13,2,0,118
8,0,0,118
6,103,0,118
9,9,0,118
7,4,0,118
5,24,0,118
10,2,0,118
12,14,0,118
2,0,0,118
11,0,0,118
4,5,0,118
3,2,0,118
1,1,0,119
18,6,0,119
14,8,0,119
15,6,0,119
16,31,0,119
17,6,0,119
13,0,0,119
8,56,0,119
6,103,0,119
9,11,0,119
7,9,0,119
5,66,0,119
10,0,0,119
12,10,0,119
2,2,0,119
11,2,0,119
4,2,0,119
3,0,0,119
11,86,0,11
1,3,0,11
4,55,0,11
12,246,0,11
14,176,0,11
16,823,0,11
17,39,0,11
15,21,0,11
13,58,0,11
18,111,0,11
2,32,0,11
5,877,0,11
9,308,0,11
6,1198,0,11
10,17,0,11
8,35,0,11
7,41,0,11
3,19,0,11
1,5,0,120
18,19,0,120
14,15,0,120
15,8,0,120
16,189,0,120
17,5,0,120
13,8,0,120
8,24,0,120
6,254,0,120
9,32,0,120
7,9,0,120
5,157,0,120
10,5,0,120
12,38,0,120
2,13,0,120
11,70,0,120
4,13,0,120
3,3,0,120
1,37,0,121
18,408,0,121
14,593,0,121
15,271,0,121
16,4249,0,121
17,99,0,121
13,168,0,121
8,430,0,121
6,4141,0,121
9,1142,0,121
7,465,0,121
5,3071,0,121
10,570,0,121
12,955,0,121
2,56,0,121
11,308,0,121
4,241,0,121
3,45,0,121
1,7,0,122
18,122,0,122
14,148,0,122
15,105,0,122
16,626,0,122
