nlista,nlistamacro,nrcandi,nome,nome2,blocco_ins,idComune
1,2,1,ROSELLA SBARBATI,ROSELLA SBARBATI,N,100
1,2,2,CLAUDIO PIERSIMONI,CLAUDIO PIERSIMONI,N,100
1,2,3,JONATHAN McCARTHY,JONATHAN McCARTHY,N,100
1,2,4,ENZO D'ADDESA,ENZO D'ADDESA,N,100
1,2,5,IPPOLITA ALTEA NORI,IPPOLITA ALTEA NORI,N,100
1,2,6,SILVANA CARLETTI,SILVANA CARLETTI,N,100
1,2,7,JONATA GIACCHETTA,JONATA GIACCHETTA,N,100
1,2,8,LUIGI SBAFFO,LUIGI SBAFFO,N,100
1,2,9,GIULIANA BIANCHINI,GIULIANA BIANCHINI,N,100
2,3,1,ALESSANDRO TULLI,ALESSANDRO TULLI,N,100
2,3,2,CHIARA BOCCAPIANOLA,CHIARA BOCCAPIANOLA,N,100
2,3,3,ANDREA GIONGO,ANDREA GIONGO,N,100
2,3,4,MARIA DANIELA FERRI,MARIA DANIELA FERRI,N,100
3,16,1,ANTONIO MASTROVINCENZO,ANTONIO MASTROVINCENZO,N,100
3,16,3,EMANUELE LODOLINI,EMANUELE LODOLINI,N,100
3,16,7,MANUELA CARLONI,MANUELA CARLONI,N,100
3,16,9,GIORGIA FABRI,GIORGIA FABRI,N,100
3,16,2,MANUELA BORA,MANUELA BORA,N,100
3,16,5,FABIO STURANI,FABIO STURANI,N,100
3,16,4,MIRELLA GIANGIACOMI detta MIMMI,MIRELLA GIANGIACOMI detta MIMMI,N,100
3,16,6,MAURO PELLEGRINI,MAURO PELLEGRINI,N,100
3,16,8,MICHELA BELLOMARIA,MICHELA BELLOMARIA,N,100
4,14,6,MAURIZIO MARCHIONNI,MAURIZIO MARCHIONNI,N,100
4,14,1,FABIOLA CAPRARI,FABIOLA CAPRARI,N,100
4,14,5,ANTONIO GITTO,ANTONIO GITTO,N,100
4,14,9,PAOLA ZIVCOVICH,PAOLA ZIVCOVICH,N,100
4,14,2,NICOLETTA CELLA,NICOLETTA CELLA,N,100
4,14,3,MARIA TERESA CHECHILE,MARIA TERESA CHECHILE,N,100
4,14,4,FRANCO FEDERICI,FRANCO FEDERICI,N,100
4,14,7,GIACOMO MARINELLI,GIACOMO MARINELLI,N,100
4,14,8,FRANCESCO POSSANZINI,FRANCESCO POSSANZINI,N,100
5,15,4,ELSA FROGIONI,ELSA FROGIONI,N,100
5,15,1,GIOVANNI MAGGI detto GIANNI,GIOVANNI MAGGI detto GIANNI,N,100
5,15,2,SERENA CAVALLETTI,SERENA CAVALLETTI,N,100
5,15,3,MARIA PIA LETIZIA BACCHIELLI,MARIA PIA LETIZIA BACCHIELLI,N,100
5,15,5,RITA GIACCONI,RITA GIACCONI,N,100
5,15,6,GABRIELE MAZZUFERI,GABRIELE MAZZUFERI,N,100
5,15,7,ANDREA MOSCONI,ANDREA MOSCONI,N,100
5,15,8,CARLO SORPINO,CARLO SORPINO,N,100
5,15,9,SALVATORE TARANTINI,SALVATORE TARANTINI,N,100
6,17,4,MASSIMO MARCELLINI,MASSIMO MARCELLINI,N,100
6,17,3,LUISA LATTANZI,LUISA LATTANZI,N,100
6,17,1,SOFIA GIOVANNETTI,SOFIA GIOVANNETTI,N,100
6,17,7,AUGUSTO TACCALITI,AUGUSTO TACCALITI,N,100
6,17,2,MARCO GNOCCHINI,MARCO GNOCCHINI,N,100
6,17,5,MARIA GRAZIA OMBROSI,MARIA GRAZIA OMBROSI,N,100
6,17,6,UGO PESCIARELLI,UGO PESCIARELLI,N,100
6,17,8,ANNA VIRGINIA VINCENZONI,ANNA VIRGINIA VINCENZONI,N,100
6,17,9,MAURIZIO ZANDEGU',MAURIZIO ZANDEGU',N,100
7,18,3,LUCA SANTARELLI,LUCA SANTARELLI,N,100
7,18,1,MATTIA MORBIDONI,MATTIA MORBIDONI,N,100
7,18,5,ROBERTO RUBEGNI,ROBERTO RUBEGNI,N,100
7,18,2,FRANCESCA PETRINI,FRANCESCA PETRINI,N,100
7,18,4,GIANCARLO SAGRAMOLA,GIANCARLO SAGRAMOLA,N,100
7,18,6,GIANNA CAPUZZO,GIANNA CAPUZZO,N,100
7,18,7,DILETTA DOFFO,DILETTA DOFFO,N,100
7,18,8,CORRADO MANZOTTI,CORRADO MANZOTTI,N,100
7,18,9,ROSITA REMINI,ROSITA REMINI,N,100
8,13,1,GRAZIANO FIORETTI,GRAZIANO FIORETTI,N,100
8,13,7,CARLO MARIA PESARESI,CARLO MARIA PESARESI,N,100
8,13,6,ANTONELLA MORETTO,ANTONELLA MORETTO,N,100
8,13,2,ITALO D'ANGELO,ITALO D'ANGELO,N,100
8,13,3,AHMAD AMER DACHAN,AHMAD AMER DACHAN,N,100
8,13,4,ROSSELLA DADEA,ROSSELLA DADEA,N,100
8,13,5,GIAMPIERO-GABRIO MARINELLI,GIAMPIERO-GABRIO MARINELLI,N,100
8,13,8,PAOLA SOVERCHIA,PAOLA SOVERCHIA,N,100
8,13,9,DEBORA VICO,DEBORA VICO,N,100
9,12,1,STEFANIA MARTINANGELI,STEFANIA MARTINANGELI,N,100
9,12,6,IOSELITO ARCIONI,IOSELITO ARCIONI,N,100
9,12,2,ANDREA QUATTRINI,ANDREA QUATTRINI,N,100
9,12,3,STEFANIA PANCIONI,STEFANIA PANCIONI,N,100
