id,voti,voti_nona,voti_solosindpres,idComune
2,22,0,0,100
3,33,0,0,100
8,1532,0,0,100
7,283,0,0,100
6,103,0,0,100
4,61,0,0,100
5,1434,0,0,100
1,1,0,0,101
8,388,0,0,101
5,577,0,0,101
7,75,0,0,101
2,8,0,0,101
6,13,0,0,101
4,20,0,0,101
3,4,0,0,101
1,2,0,0,102
8,662,0,0,102
5,1094,0,0,102
7,179,0,0,102
2,11,0,0,102
6,68,0,0,102
4,45,0,0,102
3,10,0,0,102
1,3,0,0,103
8,276,0,0,103
5,538,0,0,103
7,82,0,0,103
2,5,0,0,103
6,56,0,0,103
4,7,0,0,103
3,3,0,0,103
1,0,0,0,104
8,21,0,0,104
5,49,0,0,104
7,4,0,0,104
2,0,0,0,104
6,1,0,0,104
4,0,0,0,104
3,0,0,0,104
1,1,0,0,105
8,308,0,0,105
5,451,0,0,105
7,75,0,0,105
2,5,0,0,105
6,35,0,0,105
4,9,0,0,105
3,3,0,0,105
1,3,0,0,106
8,1032,0,0,106
5,2090,0,0,106
7,125,0,0,106
2,9,0,0,106
6,31,0,0,106
4,35,0,0,106
3,6,0,0,106
1,1,0,0,107
8,82,0,0,107
5,134,0,0,107
7,29,0,0,107
2,0,0,0,107
6,10,0,0,107
4,6,0,0,107
3,3,0,0,107
1,6,0,0,108
8,495,0,0,108
5,1628,0,0,108
7,162,0,0,108
2,8,0,0,108
6,21,0,0,108
4,21,0,0,108
3,8,0,0,108
1,0,0,0,109
8,27,0,0,109
5,89,0,0,109
7,14,0,0,109
2,2,0,0,109
6,1,0,0,109
4,2,0,0,109
3,0,0,0,109
6,35,0,0,10
1,8,0,0,10
4,33,0,0,10
7,271,0,0,10
8,1514,0,0,10
2,13,0,0,10
5,2248,0,0,10
3,7,0,0,10
1,1,0,0,110
8,16,0,0,110
5,149,0,0,110
7,21,0,0,110
2,3,0,0,110
6,12,0,0,110
4,1,0,0,110
3,1,0,0,110
1,3,0,0,111
8,1070,0,0,111
5,3800,0,0,111
7,183,0,0,111
2,12,0,0,111
6,45,0,0,111
4,47,0,0,111
3,19,0,0,111
1,41,0,0,112
8,5776,0,0,112
5,10069,0,0,112
7,1671,0,0,112
2,124,0,0,112
6,981,0,0,112
4,250,0,0,112
3,107,0,0,112
1,2,0,0,113
8,253,0,0,113
5,319,0,0,113
7,44,0,0,113
2,0,0,0,113
6,13,0,0,113
4,6,0,0,113
3,2,0,0,113
1,30,0,0,114
8,1905,0,0,114
5,4301,0,0,114
7,623,0,0,114
2,44,0,0,114
6,103,0,0,114
4,76,0,0,114
3,17,0,0,114
1,3,0,0,115
8,275,0,0,115
5,595,0,0,115
7,98,0,0,115
2,7,0,0,115
6,10,0,0,115
4,19,0,0,115
3,3,0,0,115
1,2,0,0,116
8,163,0,0,116
5,132,0,0,116
7,27,0,0,116
2,3,0,0,116
6,8,0,0,116
4,12,0,0,116
3,0,0,0,116
1,2,0,0,117
8,205,0,0,117
5,412,0,0,117
7,63,0,0,117
2,4,0,0,117
6,14,0,0,117
4,12,0,0,117
3,1,0,0,117
1,0,0,0,118
8,100,0,0,118
5,151,0,0,118
7,21,0,0,118
2,0,0,0,118
6,3,0,0,118
4,9,0,0,118
3,2,0,0,118
1,3,0,0,119
8,67,0,0,119
5,263,0,0,119
7,23,0,0,119
2,3,0,0,119
6,3,0,0,119
4,4,0,0,119
3,0,0,0,119
6,106,0,0,11
1,7,0,0,11
4,66,0,0,11
7,412,0,0,11
8,1458,0,0,11
2,42,0,0,11
5,2658,0,0,11
3,36,0,0,11
1,6,0,0,120
8,296,0,0,120
5,571,0,0,120
7,73,0,0,120
2,18,0,0,120
6,83,0,0,120
4,22,0,0,120
3,6,0,0,120
1,62,0,0,121
8,7378,0,0,121
5,12251,0,0,121
7,1597,0,0,121
2,81,0,0,121
6,587,0,0,121
4,288,0,0,121
3,67,0,0,121
1,20,0,0,122
8,1451,0,0,122
5,2531,0,0,122
7,446,0,0,122
2,20,0,0,122
6,52,0,0,122
4,78,0,0,122
3,16,0,0,122
1,9,0,0,123
8,566,0,0,123
5,1374,0,0,123
7,149,0,0,123
2,12,0,0,123
6,40,0,0,123
4,40,0,0,123
3,6,0,0,123
1,9,0,0,124
8,988,0,0,124
5,2162,0,0,124
7,208,0,0,124
2,26,0,0,124
6,72,0,0,124
4,62,0,0,124
3,28,0,0,124
1,0,0,0,125
8,6,0,0,125
5,49,0,0,125
7,2,0,0,125
2,0,0,0,125
6,1,0,0,125
4,0,0,0,125
3,0,0,0,125
1,14,0,0,126
8,1193,0,0,126
5,1570,0,0,126
7,381,0,0,126
2,19,0,0,126
6,71,0,0,126
4,39,0,0,126
3,34,0,0,126
1,7,0,0,127
8,558,0,0,127
5,860,0,0,127
7,146,0,0,127
2,9,0,0,127
6,25,0,0,127
4,45,0,0,127
3,10,0,0,127
1,5,0,0,128
8,405,0,0,128
5,1092,0,0,128
7,128,0,0,128
2,7,0,0,128
6,31,0,0,128
4,9,0,0,128
3,5,0,0,128
1,9,0,0,129
8,924,0,0,129
5,2190,0,0,129
7,200,0,0,129
2,17,0,0,129
6,38,0,0,129
4,36,0,0,129
3,9,0,0,129
6,5,0,0,12
1,0,0,0,12
4,4,0,0,12
7,27,0,0,12
8,182,0,0,12
2,0,0,0,12
5,203,0,0,12
3,5,0,0,12
1,1,0,0,130
8,122,0,0,130
5,216,0,0,130
7,20,0,0,130
2,0,0,0,130
6,15,0,0,130
4,3,0,0,130
3,2,0,0,130
1,17,0,0,131
8,1370,0,0,131
5,2648,0,0,131
7,344,0,0,131
2,35,0,0,131
6,88,0,0,131
4,51,0,0,131
3,9,0,0,131
1,2,0,0,132
8,130,0,0,132
5,274,0,0,132
7,18,0,0,132
2,0,0,0,132
6,5,0,0,132
4,8,0,0,132
3,2,0,0,132
1,1,0,0,133
8,111,0,0,133
5,256,0,0,133
7,27,0,0,133
2,3,0,0,133
6,9,0,0,133
4,9,0,0,133
3,4,0,0,133
1,6,0,0,134
8,315,0,0,134
5,644,0,0,134
7,111,0,0,134
2,2,0,0,134
6,14,0,0,134
4,22,0,0,134
3,4,0,0,134
1,0,0,0,135
8,180,0,0,135
5,416,0,0,135
7,19,0,0,135
2,2,0,0,135
6,1,0,0,135
4,15,0,0,135
3,0,0,0,135
1,0,0,0,136
8,150,0,0,136
5,288,0,0,136
7,48,0,0,136
2,2,0,0,136
6,5,0,0,136
4,8,0,0,136
3,1,0,0,136
1,0,0,0,137
8,35,0,0,137
5,47,0,0,137
7,12,0,0,137
2,1,0,0,137
6,5,0,0,137
4,1,0,0,137
3,0,0,0,137
1,8,0,0,138
8,830,0,0,138
5,1828,0,0,138
7,319,0,0,138
2,18,0,0,138
6,66,0,0,138
4,46,0,0,138
3,24,0,0,138
1,7,0,0,139
8,1638,0,0,139
5,2880,0,0,139
7,469,0,0,139
2,30,0,0,139
6,74,0,0,139
4,47,0,0,139
3,18,0,0,139
6,5,0,0,13
1,0,0,0,13
4,2,0,0,13
7,12,0,0,13
8,39,0,0,13
2,6,0,0,13
5,65,0,0,13
3,0,0,0,13
1,24,0,0,140
8,2295,0,0,140
5,4129,0,0,140
7,509,0,0,140
2,48,0,0,140
6,172,0,0,140
4,75,0,0,140
3,38,0,0,140
1,60,0,0,141
8,4074,0,0,141
5,4788,0,0,141
7,844,0,0,141
2,53,0,0,141
6,232,0,0,141
4,100,0,0,141
3,46,0,0,141
1,0,0,0,142
8,83,0,0,142
5,302,0,0,142
7,20,0,0,142
2,1,0,0,142
6,9,0,0,142
4,7,0,0,142
3,0,0,0,142
1,7,0,0,143
8,397,0,0,143
5,1021,0,0,143
7,109,0,0,143
2,10,0,0,143
6,23,0,0,143
4,20,0,0,143
3,7,0,0,143
1,11,0,0,144
8,1496,0,0,144
5,3793,0,0,144
7,485,0,0,144
2,27,0,0,144
6,105,0,0,144
4,90,0,0,144
3,31,0,0,144
1,3,0,0,145
8,142,0,0,145
5,426,0,0,145
7,37,0,0,145
2,2,0,0,145
6,9,0,0,145
4,16,0,0,145
3,1,0,0,145
1,2,0,0,146
8,452,0,0,146
5,930,0,0,146
7,81,0,0,146
2,9,0,0,146
6,8,0,0,146
4,14,0,0,146
3,6,0,0,146
1,0,0,0,147
8,65,0,0,147
5,130,0,0,147
7,3,0,0,147
2,0,0,0,147
6,2,0,0,147
4,2,0,0,147
3,1,0,0,147
1,3,0,0,148
8,131,0,0,148
5,283,0,0,148
7,55,0,0,148
2,3,0,0,148
6,16,0,0,148
4,6,0,0,148
3,1,0,0,148
1,1,0,0,149
8,206,0,0,149
5,266,0,0,149
7,22,0,0,149
2,1,0,0,149
6,2,0,0,149
4,3,0,0,149
3,0,0,0,149
6,13,0,0,14
1,2,0,0,14
4,7,0,0,14
7,53,0,0,14
8,315,0,0,14
2,3,0,0,14
5,293,0,0,14
3,1,0,0,14
1,19,0,0,150
8,2531,0,0,150
5,5010,0,0,150
7,1309,0,0,150
2,54,0,0,150
6,260,0,0,150
4,174,0,0,150
3,45,0,0,150
1,17,0,0,151
8,1116,0,0,151
5,2842,0,0,151
7,325,0,0,151
2,24,0,0,151
6,49,0,0,151
4,55,0,0,151
3,20,0,0,151
1,41,0,0,152
8,521,0,0,152
5,665,0,0,152
7,117,0,0,152
2,6,0,0,152
6,20,0,0,152
4,12,0,0,152
3,4,0,0,152
1,0,0,0,153
8,35,0,0,153
5,172,0,0,153
7,15,0,0,153
2,1,0,0,153
6,7,0,0,153
4,4,0,0,153
3,1,0,0,153
1,0,0,0,154
8,132,0,0,154
5,344,0,0,154
7,30,0,0,154
2,4,0,0,154
6,5,0,0,154
4,9,0,0,154
3,1,0,0,154
1,0,0,0,155
8,80,0,0,155
5,329,0,0,155
7,28,0,0,155
2,4,0,0,155
6,6,0,0,155
4,5,0,0,155
3,5,0,0,155
1,2,0,0,156
2,3,0,0,156
3,9,0,0,156
4,18,0,0,156
5,775,0,0,156
6,6,0,0,156
7,98,0,0,156
8,407,0,0,156
1,2,0,0,157
2,3,0,0,157
3,8,0,0,157
4,23,0,0,157
5,891,0,0,157
6,29,0,0,157
7,157,0,0,157
