nlista,nlistamacro,nrcandi,nome,nome2,blocco_ins,idComune
1,11,6,ALESSANDRO PANARONI,ALESSANDRO PANARONI,N,1
1,11,1,GENNI CERESANI,GENNI CERESANI,N,1
1,11,2,MASSIMO D'AGNILLO,MASSIMO D'AGNILLO,N,1
1,11,3,MARIA GIOVANNA DEPAU,MARIA GIOVANNA DEPAU,N,1
1,11,4,CORRADO FILIPPINI,CORRADO FILIPPINI,N,1
1,11,5,VITTORIO ONDEDEI,VITTORIO ONDEDEI,N,1
1,11,7,LAURA TESTASECCA,LAURA TESTASECCA,N,1
2,1,1,MATTEO ROSSINI,MATTEO ROSSINI,N,1
2,1,2,MARIA CALO',MARIA CALO',N,1
2,1,3,GABRIELE PAIARDINI,GABRIELE PAIARDINI,N,1
2,1,4,ALESSANDRA FINOCCHIO,ALESSANDRA FINOCCHIO,N,1
2,1,5,MONICA RICCI,MONICA RICCI,N,1
3,4,1,GIOVANNI DEL MONTE,GIOVANNI DEL MONTE,N,1
3,4,2,MILENA ROSSI,MILENA ROSSI,N,1
3,4,3,ALEX CASETTA,ALEX CASETTA,N,1
3,4,4,GIANFRANCO MANCINI,GIANFRANCO MANCINI,N,1
3,4,5,CLAUDIO NIGOSANTI,CLAUDIO NIGOSANTI,N,1
3,4,6,SILVIA PANUNZI,SILVIA PANUNZI,N,1
3,4,7,CHIARA PIZZORNO,CHIARA PIZZORNO,N,1
4,12,1,MARTA CARMELA RAIMONDA RUGGERI,MARTA CARMELA RAIMONDA RUGGERI,N,1
4,12,2,PIERLUIGI FERRARO,PIERLUIGI FERRARO,N,1
4,12,3,FILIPPO VILLANELLI,FILIPPO VILLANELLI,N,1
4,12,4,SJEVA SCOZZAFAVA,SJEVA SCOZZAFAVA,N,1
4,12,5,MONICA MELCHIORRI,MONICA MELCHIORRI,N,1
4,12,6,SAMUELA MELINI,SAMUELA MELINI,N,1
5,14,1,FEDERICO TALE',FEDERICO TALE',N,1
5,14,4,MARIA GRAZIA DE CAROLIS,MARIA GRAZIA DE CAROLIS,N,1
5,14,2,BORIS RAPA,BORIS RAPA,N,1
5,14,7,SERENA BIAGINI,SERENA BIAGINI,N,1
5,14,5,LUCIO VENERUCCI,LUCIO VENERUCCI,N,1
5,14,3,SIMONETTA GIUBILARO,SIMONETTA GIUBILARO,N,1
5,14,6,ELZBIETA ALICJA PATANOWSKA detta ELISABETTA,ELZBIETA ALICJA PATANOWSKA detta ELISABETTA,N,1
6,16,6,DANIELE TAGLIOLINI,DANIELE TAGLIOLINI,N,1
6,16,5,MONICA SCARAMUCCI,MONICA SCARAMUCCI,N,1
6,16,2,RENATO CLAUDIO MINARDI,RENATO CLAUDIO MINARDI,N,1
6,16,1,ANDREA BIANCANI,ANDREA BIANCANI,N,1
6,16,7,MICAELA VITRI,MICAELA VITRI,N,1
6,16,4,STEFANO RIDOLFI,STEFANO RIDOLFI,N,1
6,16,3,EMANUELA ORCIARI,EMANUELA ORCIARI,N,1
7,17,1,LORETTA BRAVI,LORETTA BRAVI,N,1
7,17,2,PIETRO ROSSI,PIETRO ROSSI,N,1
7,17,3,MAURIZIO BISELLI,MAURIZIO BISELLI,N,1
7,17,4,SILVIA GELARDI,SILVIA GELARDI,N,1
7,17,5,DANTE PIERINI,DANTE PIERINI,N,1
7,17,6,FRANCESCA FRANCESCONI,FRANCESCA FRANCESCONI,N,1
7,17,7,MICHELE DI PUMPO,MICHELE DI PUMPO,N,1
8,15,1,DANIELA CIARONI,DANIELA CIARONI,N,1
8,15,2,ROBERTO ANTONIUCCI,ROBERTO ANTONIUCCI,N,1
8,15,3,GIAN ALDO COLLINA detto GIANNI,GIAN ALDO COLLINA detto GIANNI,N,1
8,15,4,ANNUNZIATA MANNA,ANNUNZIATA MANNA,N,1
8,15,5,MASSIMO MASSALINI,MASSIMO MASSALINI,N,1
8,15,6,FABIOLA PACASSONI,FABIOLA PACASSONI,N,1
8,15,7,ALESSANDRO VICCHI,ALESSANDRO VICCHI,N,1
9,13,3,GIACOMO PIERI detto ZICO,GIACOMO PIERI detto ZICO,N,1
9,13,5,MAURIZIO MARIA SERGIO SUDANO,MAURIZIO MARIA SERGIO SUDANO,N,1
9,13,1,TIZIANO BUSCA,TIZIANO BUSCA,N,1
9,13,2,EMANUELA GIOVANNELLI,EMANUELA GIOVANNELLI,N,1
9,13,6,MARIA ASSUNTA VALERI,MARIA ASSUNTA VALERI,N,1
9,13,4,PAOLA PORFIRI,PAOLA PORFIRI,N,1
9,13,7,KATJUSCIA VINDICI,KATJUSCIA VINDICI,N,1
10,18,1,GIANLUCA CARRABS,GIANLUCA CARRABS,N,1
10,18,5,SABRINA SANTELLI,SABRINA SANTELLI,N,1
10,18,3,CORA FATTORI,CORA FATTORI,N,1
10,18,2,MARIA - ROSA CONTI,MARIA - ROSA CONTI,N,1
10,18,4,PIERPAOLO LOFFREDA,PIERPAOLO LOFFREDA,N,1
10,18,6,ADRIO MARINI,ADRIO MARINI,N,1
10,18,7,ANNA VALENTINI,ANNA VALENTINI,N,1
11,2,7,MATTEO DRUDA,MATTEO DRUDA,N,1
11,2,1,SABRINA PAOLA BANZATO,SABRINA PAOLA BANZATO,N,1
11,2,2,STEFANO ZIOSI,STEFANO ZIOSI,N,1
11,2,3,LUCIA BOLDRINI,LUCIA BOLDRINI,N,1
11,2,4,STEFANO TONTINI,STEFANO TONTINI,N,1
11,2,5,MARINA MARINI,MARINA MARINI,N,1
11,2,6,PIERLUIGI CARNICELLI,PIERLUIGI CARNICELLI,N,1
12,5,6,GIORGIO MOCHI,GIORGIO MOCHI,N,1
12,5,2,FRANCESCO BALDELLI,FRANCESCO BALDELLI,N,1
12,5,1,NICOLA BAIOCCHI,NICOLA BAIOCCHI,N,1
12,5,5,MARIA MENCARINI detta MARIELLA,MARIA MENCARINI detta MARIELLA,N,1
12,5,7,CARLA NICOLINI,CARLA NICOLINI,N,1
12,5,3,FEDERICA BATTAZZI,FEDERICA BATTAZZI,N,1
12,5,4,FRANCESCO CAVALIERI,FRANCESCO CAVALIERI,N,1
13,9,7,FRANCESCA MAFFEI,FRANCESCA MAFFEI,N,1
13,9,4,PIER UGO BONI,PIER UGO BONI,N,1
13,9,1,STEFANO AGUZZI,STEFANO AGUZZI,N,1
13,9,6,DAVIDE FABBRIZIOLI detto CIOLI,DAVIDE FABBRIZIOLI detto CIOLI,N,1
13,9,3,LARA OTTAVIANI,LARA OTTAVIANI,N,1
13,9,5,RAFFAELLA BENELLI,RAFFAELLA BENELLI,N,1
13,9,2,ELIA ROSSI,ELIA ROSSI,N,1
14,6,1,MIRCO CARLONI,MIRCO CARLONI,N,1
14,6,2,GIORGIO CANCELLIERI,GIORGIO CANCELLIERI,N,1
14,6,7,FRANCESCA TRICCA,FRANCESCA TRICCA,N,1
14,6,6,LUCA SERFILIPPI,LUCA SERFILIPPI,N,1
14,6,4,FRANCESCA FEDELI,FRANCESCA FEDELI,N,1
14,6,5,LORELLA MARCHEGGIANI,LORELLA MARCHEGGIANI,N,1
14,6,3,GIOVANNI DALLASTA,GIOVANNI DALLASTA,N,1
15,10,3,BRUNO BARBIERI,BRUNO BARBIERI,N,1
15,10,1,LORENZO TEMPESTA,LORENZO TEMPESTA,N,1
15,10,2,ANNA MARIA MARINAI,ANNA MARIA MARINAI,N,1
15,10,4,BARBARA BATTISTI,BARBARA BATTISTI,N,1
15,10,5,ELOISA FERRI,ELOISA FERRI,N,1
15,10,6,PAOLO PEDRETTI,PAOLO PEDRETTI,N,1
15,10,7,MAURO RUGGIERI,MAURO RUGGIERI,N,1
16,8,2,GIACOMO ROSSI,GIACOMO ROSSI,N,1
16,8,3,LUCIO POMPILI,LUCIO POMPILI,N,1
16,8,7,GIORGIA GIACOMUZZI,GIORGIA GIACOMUZZI,N,1
16,8,1,LUCIA TARSI,LUCIA TARSI,N,1
16,8,4,GIORGIO CATTO',GIORGIO CATTO',N,1
16,8,5,TATIANA BETONICA,TATIANA BETONICA,N,1
16,8,6,DANIELA FRADELLONI,DANIELA FRADELLONI,N,1
17,7,3,BRUNA CHIUSELLI,BRUNA CHIUSELLI,N,1
17,7,4,LORELLA GALANTE,LORELLA GALANTE,N,1
17,7,5,FABIO GIOVANELLI,FABIO GIOVANELLI,N,1
17,7,6,MARCELLO MEI,MARCELLO MEI,N,1
17,7,1,DAVIDE DELVECCHIO,DAVIDE DELVECCHIO,N,1
17,7,2,FRANCESCA CECCHINI,FRANCESCA CECCHINI,N,1
17,7,7,DOMENICO PALOMBARO detto NICO,DOMENICO PALOMBARO detto NICO,N,1
18,3,1,ANNA RITA IANNETTI,ANNA RITA IANNETTI,N,1
18,3,2,ENRICO GENNARI,ENRICO GENNARI,N,1
18,3,3,SARA BURESTI,SARA BURESTI,N,1
18,3,4,MIRKO MARIGHELLA,MIRKO MARIGHELLA,N,1
