tipo,desc,cod,ele_m,ele_f,ele_t,ced,ric,novot_naz,novot_cons,com_vot:0:com,com_vot:0:dt_com,com_vot:0:scheda,com_vot:0:enti_p,com_vot:0:enti_t,com_vot:0:perc,com_vot:0:vot_m,com_vot:0:vot_f,com_vot:0:vot_t,com_vot:0:perc_r
NAZIONE,SVIZZERA,250,,,508847,N,N,N,N,1,20200921150000,1,23,63,"27,91",,,51341,
NAZIONE,TURCHIA,333,,,4126,N,N,N,N,1,20200921150000,1,3,3,"27,90",,,1151,
NAZIONE,UCRAINA,258,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,UNGHERIA,251,,,3270,N,N,N,N,1,20200921150000,1,1,1,"33,58",,,1098,
NAZIONE,ARGENTINA,260,,,745696,N,N,N,N,1,20200921150000,1,5,90,"23,48",,,9314,
NAZIONE,BOLIVIA,262,,,3015,N,N,N,N,1,20200921150000,1,0,1,0,,,0,
NAZIONE,BRASILE,263,,,399251,N,S,N,N,1,20200921150000,1,8,50,"14,87",,,9191,
NAZIONE,CILE,265,,,52688,N,N,N,N,1,20200921150000,1,6,6,"14,55",,,7667,
NAZIONE,COLOMBIA,266,,,17145,N,N,N,N,1,20200921150000,1,2,2,"32,14",,,5510,
NAZIONE,ECUADOR,271,,,14764,N,N,N,N,1,20200921150000,1,2,2,"24,03",,,3548,
NAZIONE,GUYANA,285,,,2,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,PARAGUAY,279,,,9673,N,N,N,N,1,20200921150000,1,2,2,"26,12",,,2527,
NAZIONE,PERU',280,,,28259,N,N,N,N,1,20200921150000,1,4,4,"27,10",,,7658,
NAZIONE,TRINIDAD E TOBAGO,282,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,URUGUAY,283,,,90993,N,N,N,N,1,20200921150000,1,11,11,"23,31",,,21209,
NAZIONE,VENEZUELA,284,,,89191,N,N,N,N,1,20200921150000,1,9,11,"15,80",,,12048,
NAZIONE,ANTIGUA E BARBUDA,294,,,117,N,N,N,N,1,20200921150000,1,1,1,"29,06",,,34,
NAZIONE,BAHAMAS,261,,,229,N,S,N,N,1,20200921150000,1,1,1,"15,28",,,35,
NAZIONE,BARBADOS,286,,,40,N,N,N,N,1,20200921150000,1,1,1,"70,00",,,28,
NAZIONE,BELIZE,287,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,CANADA,264,,,118996,N,S,N,N,1,20200921150000,1,17,17,"24,20",,,28794,
NAZIONE,COSTA RICA,267,,,4902,N,N,N,N,1,20200921150000,1,1,1,"7,71",,,378,
NAZIONE,CUBA,268,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,GIAMAICA,272,,,83,N,N,N,N,1,20200921150000,1,0,1,0,,,0,
NAZIONE,GRENADA,289,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,GUATEMALA,273,,,4483,N,N,N,N,1,20200921150000,1,0,1,0,,,0,
NAZIONE,HAITI,274,,,108,N,N,N,N,1,20200921150000,1,1,1,"37,96",,,41,
NAZIONE,HONDURAS,275,,,1061,N,N,N,N,1,20200921150000,1,1,1,"56,74",,,602,
NAZIONE,MESSICO,276,,,15937,N,N,N,N,1,20200921150000,1,2,2,"24,40",,,3889,
NAZIONE,NICARAGUA,277,,,1050,N,N,N,N,1,20200921150000,1,1,1,"46,10",,,484,
NAZIONE,PANAMA,278,,,7331,N,N,N,N,1,20200921150000,1,1,1,"16,14",,,1183,
NAZIONE,REPUBBLICA DOMINICANA,269,,,6397,N,N,N,N,1,20200921150000,1,1,1,"30,86",,,1974,
NAZIONE,SAINT KITTS E NEVIS,297,,,6,N,N,N,N,1,20200921150000,1,0,1,0,,,0,
NAZIONE,SAINT LUCIA,295,,,19,N,N,N,N,1,20200921150000,1,0,1,0,,,0,
NAZIONE,SAINT VINCENT E GRENADINE,296,,,18,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,STATI UNITI D'AMERICA,281,,,237779,N,S,N,N,1,20200921150000,1,18,31,"20,01",,,27819,
NAZIONE,ALGERIA,350,,,565,N,N,N,N,1,20200921150000,1,1,1,"42,83",,,242,
NAZIONE,ANGOLA,393,,,206,N,S,N,N,1,20200921150000,1,1,1,"39,32",,,81,
NAZIONE,ARABIA SAUDITA,301,,,932,N,N,N,N,1,20200921150000,1,2,2,"16,42",,,153,
NAZIONE,ARMENIA,454,,,56,N,N,N,N,1,20200921150000,1,1,1,"39,29",,,22,
NAZIONE,AUSTRALIA,302,,,133195,N,S,N,N,1,20200921150000,1,28,28,"14,88",,,19824,
NAZIONE,AZERBAIGIAN,455,,,93,N,N,N,N,1,20200921150000,1,1,1,"30,11",,,28,
NAZIONE,BAHREIN,341,,,299,N,N,N,N,1,20200921150000,1,1,1,"32,78",,,98,
NAZIONE,BANGLADESH,338,,,319,N,N,N,N,1,20200921150000,1,1,1,"27,27",,,87,
NAZIONE,BENIN,358,,,48,N,N,N,N,1,20200921150000,1,1,1,"50,00",,,24,
NAZIONE,BOTSWANA,389,,,67,N,S,N,N,1,20200921150000,1,1,1,"37,31",,,25,
NAZIONE,BRUNEI,461,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,BURKINA FASO,351,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,BURUNDI,352,,,49,N,N,N,N,1,20200921150000,1,1,1,"44,90",,,22,
NAZIONE,CAMBOGIA,305,,,143,N,N,N,N,1,20200921150000,1,1,1,"38,46",,,55,
NAZIONE,CAMERUN,353,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,CAPO VERDE,397,,,318,N,S,N,N,1,20200921150000,1,1,1,"36,48",,,116,
NAZIONE,CIRCOSCRIZIONE AUTONOMA,888,,,2471,N,N,N,N,1,20200921150000,1,1,1,"5,87",,,145,
NAZIONE,CONGO,355,,,171,N,N,N,N,1,20200921150000,1,1,1,"66,08",,,113,
NAZIONE,COSTA D'AVORIO,357,,,10,N,N,N,N,1,20200921150000,1,0,1,0,,,0,
NAZIONE,EGITTO,374,,,4046,N,N,N,N,1,20200921150000,1,1,1,"24,96",,,1010,
NAZIONE,EMIRATI ARABI UNITI,340,,,8021,N,N,N,N,1,20200921150000,1,2,2,"10,32",,,828,
NAZIONE,ESWATINI,399,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,ETIOPIA,359,,,1030,N,N,N,N,1,20200921150000,1,1,1,"7,67",,,79,
NAZIONE,FIGI,339,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,FILIPPINE,310,,,1298,N,N,N,N,1,20200921150000,1,1,1,"21,73",,,282,
NAZIONE,GABON,360,,,137,N,N,N,N,1,20200921150000,1,1,1,"36,50",,,50,
NAZIONE,GAMBIA,361,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,GEORGIA,456,,,128,N,N,N,N,1,20200921150000,1,1,1,"43,75",,,56,
NAZIONE,GHANA,362,,,452,N,N,N,N,1,20200921150000,1,1,1,"18,58",,,84,
NAZIONE,GIAPPONE,311,,,3773,N,S,N,N,1,20200921150000,1,2,2,"49,32",,,1861,
NAZIONE,GIORDANIA,312,,,871,N,N,N,N,1,20200921150000,1,1,1,"9,07",,,79,
NAZIONE,GUINEA,363,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,GUINEA BISSAU,398,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,INDIA,313,,,826,S,S,N,N,1,20200921150000,1,3,3,"18,77",,,155,
NAZIONE,INDONESIA,314,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,IRAN,315,,,318,N,N,N,N,1,20200921150000,1,1,1,"26,73",,,85,
NAZIONE,ISOLE MARSHALL,463,,,3,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,ISOLE SALOMONE,344,,,1,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,ISRAELE,317,,,11990,N,N,N,N,1,20200921150000,1,2,2,"5,20",,,623,
NAZIONE,KAZAKHSTAN,348,,,207,N,N,N,N,1,20200921150000,1,1,1,"18,36",,,38,
NAZIONE,KENYA,364,,,1232,N,N,N,N,1,20200921150000,1,1,1,"17,94",,,221,
NAZIONE,KIRGHIZISTAN,457,,,19,N,N,N,N,1,20200921150000,1,0,1,0,,,0,
NAZIONE,KUWAIT,318,,,456,N,N,N,N,1,20200921150000,1,1,1,"36,84",,,168,
NAZIONE,LAOS,319,,,74,N,N,N,N,1,20200921150000,1,1,1,"50,00",,,37,
NAZIONE,LESOTHO,401,,,3,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,LIBANO,320,,,2002,N,N,N,N,1,20200921150000,1,1,1,"40,71",,,815,
NAZIONE,MADAGASCAR,367,,,361,N,N,N,N,1,20200921150000,1,1,1,"18,56",,,67,
NAZIONE,MALAWI,368,,,101,N,N,N,N,1,20200921150000,1,1,1,"25,74",,,26,
NAZIONE,MALAYSIA,321,,,702,N,N,N,N,1,20200921150000,1,1,1,"33,19",,,233,
NAZIONE,MALDIVE,342,,,84,N,N,N,N,1,20200921150000,1,0,1,0,,,0,
NAZIONE,MALI,369,,,56,N,N,N,N,1,20200921150000,1,0,1,0,,,0,
NAZIONE,MAROCCO,370,,,3402,N,S,N,N,1,20200921150000,1,2,2,"25,40",,,864,
NAZIONE,MAURITANIA,371,,,29,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,MAURITIUS,390,,,467,N,N,N,N,1,20200921150000,1,1,1,"35,76",,,167,
NAZIONE,MONGOLIA,322,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,MOZAMBICO,392,,,431,N,N,N,N,1,20200921150000,1,1,1,"46,64",,,201,
NAZIONE,MYANMAR,304,,,118,N,N,N,N,1,20200921150000,1,1,1,"22,03",,,26,
NAZIONE,NAMIBIA,388,,,174,N,N,N,N,1,20200921150000,1,1,1,"25,86",,,45,
NAZIONE,NEPAL,323,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,NIGERIA,373,,,661,N,N,N,N,1,20200921150000,1,2,2,"34,19",,,226,
NAZIONE,NUOVA ZELANDA,324,,,4136,N,N,N,N,1,20200921150000,1,1,1,"13,44",,,556,
NAZIONE,OMAN,325,,,344,N,N,N,N,1,20200921150000,1,1,1,"20,64",,,71,
NAZIONE,PAKISTAN,326,,,193,N,N,N,N,1,20200921150000,1,2,2,"45,08",,,87,
NAZIONE,PALAU,466,,,6,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,PAPUA NUOVA GUINEA,343,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,QATAR,327,,,1327,N,N,N,N,1,20200921150000,1,1,1,"32,10",,,426,
NAZIONE,REPUBBLICA CENTRAFRICANA,375,,,2,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,REPUBBLICA DEMOCRATICA DEL CONGO,356,,,400,N,N,N,N,1,20200921150000,1,1,1,"30,25",,,121,
NAZIONE,REPUBBLICA DI COREA,309,,,440,N,N,N,N,1,20200921150000,1,1,1,"39,09",,,172,
NAZIONE,REPUBBLICA POPOLARE CINESE,307,,,6794,N,N,N,N,1,20200921150000,1,5,5,"34,53",,,2346,
NAZIONE,RUANDA,377,,,104,N,N,N,N,1,20200921150000,1,1,1,"32,69",,,34,
NAZIONE,SAMOA,290,,,7,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,SAO TOME' E PRINCIPE,400,,,9,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,SENEGAL,378,,,865,N,N,N,N,1,20200921150000,1,1,1,"31,79",,,275,
NAZIONE,SEYCHELLES,396,,,204,N,N,N,N,1,20200921150000,1,1,1,"25,49",,,52,
NAZIONE,SINGAPORE,329,,,2691,N,N,N,N,1,20200921150000,1,1,1,"28,09",,,756,
NAZIONE,SRI LANKA,306,,,207,N,N,N,N,1,20200921150000,1,1,1,"48,79",,,101,
NAZIONE,STATI FEDERATI DI MICRONESIA,464,,,1,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,SUD AFRICA,381,,,28937,N,S,N,N,1,20200921150000,1,2,5,"27,95",,,3026,
NAZIONE,SUDAN,382,,,93,N,N,N,N,1,20200921150000,1,1,1,"34,41",,,32,
NAZIONE,TAGIKISTAN,459,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,TAIWAN,345,,,546,N,N,N,N,1,20200921150000,1,0,1,0,,,0,
NAZIONE,TANZANIA,383,,,357,N,N,N,N,1,20200921150000,1,1,1,"57,42",,,205,
NAZIONE,THAILANDIA,331,,,3973,N,S,N,N,1,20200921150000,1,1,1,"35,19",,,1398,
NAZIONE,TOGO,384,,,67,N,N,N,N,1,20200921150000,1,1,1,"77,61",,,52,
NAZIONE,TONGA,291,,,17,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,TUNISIA,385,,,4876,N,N,N,N,1,20200921150000,1,1,1,"21,64",,,1055,
NAZIONE,TURKMENISTAN,460,,,8,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,UGANDA,386,,,239,N,N,N,N,1,20200921150000,1,1,1,"47,28",,,113,
NAZIONE,UZBEKISTAN,349,,,32,N,N,N,N,1,20200921150000,1,1,1,"62,50",,,20,
NAZIONE,VANUATU,292,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,VIETNAM,337,,,654,N,N,N,N,1,20200921150000,1,2,2,"32,42",,,212,
NAZIONE,ZAMBIA,387,,,384,N,N,N,N,1,20200921150000,1,1,1,"41,15",,,158,
NAZIONE,ZIMBABWE,376,,,2,N,N,S,N,1,20200921150000,1,1,1,0,,,0,
