tipo,desc,cod,ele_m,ele_f,ele_t,ced,ric,novot_naz,novot_cons,com_vot:0:com,com_vot:0:dt_com,com_vot:0:scheda,com_vot:0:enti_p,com_vot:0:enti_t,com_vot:0:perc,com_vot:0:vot_m,com_vot:0:vot_f,com_vot:0:vot_t,com_vot:0:perc_r
NAZIONE,ALBANIA,220,,,1327,N,N,N,N,1,20200921150000,1,2,2,"29,01",,,385,
NAZIONE,ANDORRA,221,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,AUSTRIA,222,,,28508,N,S,N,N,1,20200921150000,1,4,4,"30,62",,,8728,
NAZIONE,BELGIO,223,,,236372,N,N,N,N,1,20200921150000,1,28,28,"14,04",,,33184,
NAZIONE,BIELORUSSIA,257,,,190,N,N,N,N,1,20200921150000,1,1,1,"76,84",,,146,
NAZIONE,BOSNIA-ERZEGOVINA,451,,,736,N,N,N,N,1,20200921150000,1,1,1,"51,36",,,378,
NAZIONE,BULGARIA,224,,,2306,N,N,N,N,1,20200921150000,1,1,1,"27,71",,,639,
NAZIONE,CIPRO,308,,,1037,N,N,N,N,1,20200921150000,1,1,1,"34,52",,,358,
NAZIONE,CROAZIA,259,,,14325,N,N,N,N,1,20200921150000,1,3,3,"28,96",,,4148,
NAZIONE,DANIMARCA,227,,,7899,N,N,N,N,1,20200921150000,1,1,1,"28,60",,,2259,
NAZIONE,ESTONIA,256,,,469,N,N,N,N,1,20200921150000,1,1,1,"22,60",,,106,
NAZIONE,FEDERAZIONE RUSSA,252,,,2953,N,N,N,N,1,20200921150000,1,2,2,"9,08",,,268,
NAZIONE,FINLANDIA,228,,,3160,N,N,N,N,1,20200921150000,1,1,1,"35,16",,,1111,
NAZIONE,FRANCIA,229,,,344106,N,N,N,N,1,20200921150000,1,44,44,"22,18",,,76311,
NAZIONE,GERMANIA,230,,,647750,N,S,N,N,1,20200921150000,1,80,80,"20,86",,,135141,
NAZIONE,GRECIA,232,,,10122,N,N,N,N,1,20200921150000,1,2,2,"27,51",,,2785,
NAZIONE,IRLANDA,233,,,16893,N,N,N,N,1,20200921150000,1,2,2,"29,14",,,4922,
NAZIONE,ISLANDA,234,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,LETTONIA,255,,,325,N,N,N,N,1,20200921150000,1,1,1,"47,08",,,153,
NAZIONE,LIECHTENSTEIN,237,,,1357,N,N,N,N,1,20200921150000,1,1,1,"35,08",,,476,
NAZIONE,LITUANIA,254,,,385,N,N,N,N,1,20200921150000,1,1,1,"44,68",,,172,
NAZIONE,LUSSEMBURGO,238,,,24390,N,N,N,N,1,20200921150000,1,0,3,0,,,0,
NAZIONE,MACEDONIA DEL NORD,453,,,315,N,N,N,N,1,20200921150000,1,1,1,"22,22",,,70,
NAZIONE,MALTA,239,,,6891,N,N,N,N,1,20200921150000,1,1,1,"32,54",,,2242,
NAZIONE,MOLDOVA,458,,,381,N,N,N,N,1,20200921150000,1,1,1,"39,90",,,152,
NAZIONE,MONACO,240,,,6628,N,N,N,N,1,20200921150000,1,1,1,"40,13",,,2660,
NAZIONE,MONTENEGRO,471,,,282,N,N,N,N,1,20200921150000,1,1,1,"40,78",,,115,
NAZIONE,NORVEGIA,241,,,5125,N,N,N,N,1,20200921150000,1,1,1,"29,64",,,1519,
NAZIONE,PAESI BASSI,242,,,42561,N,N,N,N,1,20200921150000,1,7,7,"19,56",,,8323,
NAZIONE,POLONIA,243,,,5449,N,N,N,N,1,20200921150000,1,1,1,"37,95",,,2068,
NAZIONE,PORTOGALLO,244,,,12506,N,N,N,N,1,20200921150000,1,2,2,"30,73",,,3843,
NAZIONE,REGNO UNITO,231,,,311373,S,N,N,N,1,20200921150000,1,6,41,"26,83",,,4542,
NAZIONE,REPUBBLICA CECA,225,,,5132,N,N,N,N,1,20200921150000,1,1,1,"31,37",,,1610,
NAZIONE,ROMANIA,245,,,6173,N,N,N,N,1,20200921150000,1,1,1,"22,70",,,1401,
NAZIONE,SAN MARINO,246,,,10890,N,N,N,N,1,20200921150000,1,2,2,"50,12",,,5458,
NAZIONE,SERBIA,236,,,1361,N,N,N,N,1,20200921150000,1,1,1,"35,78",,,487,
NAZIONE,SLOVACCHIA,452,,,1312,N,N,N,N,1,20200921150000,1,1,1,"30,03",,,394,
NAZIONE,SLOVENIA,450,,,4265,N,S,N,N,1,20200921150000,1,2,2,"35,36",,,1508,
NAZIONE,SPAGNA,248,,,153968,N,N,N,N,1,20200921150000,1,19,19,"17,59",,,27089,
NAZIONE,STATO CITTA' DEL VATICANO,226,,,0,S,N,N,N,1,20200921150000,1,1,1,0,,,0,
NAZIONE,SVEZIA,249,,,12280,N,N,N,N,1,20200921150000,1,2,2,"28,74",,,3529,
