tipo,desc,cod,ele_m,ele_f,ele_t,com_vot:0:com,com_vot:0:dt_com,com_vot:0:scheda,com_vot:0:enti_p,com_vot:0:enti_t,com_vot:0:perc,com_vot:0:vot_m,com_vot:0:vot_f,com_vot:0:vot_t,com_vot:0:perc_r
RIPARTIZIONE,AFRICA ASIA OCEANIA ANTARTIDE,4,,,240330,1,20200921150000,1,66,139,"19,03",,,10843,
RIPARTIZIONE,AMERICA MERIDIONALE,2,,,1450677,1,20200921150000,1,18,181,"20,01",,,24931,
RIPARTIZIONE,AMERICA SETTENTRIONALE E CENTRALE,3,,,398556,1,20200921150000,1,25,67,"18,86",,,24845,
RIPARTIZIONE,EUROPA,1,,,2447745,1,20200921150000,1,151,337,"20,44",,,200284,
