CODICE ISTAT,cogn,nome,a_nome,d_nasc,l_nasc,posC,desc_lis_r,img_lis_r,voti,perc,tot_vot_lis,perc_lis,IDPROVINCIAISTAT,IDREGIONE,Denominazione Regione,Denominazione dell'Unità territoriale sovracomunale (valida a fini statistici)
023005,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,3,0.22,3,0.24,023,05,Veneto,Verona
023005,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,3,0.22,3,0.24,023,05,Veneto,Verona
023006,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,2684,80.36,2221,80.47,023,05,Veneto,Verona
023006,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,437,13.08,396,14.35,023,05,Veneto,Verona
023006,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,129,3.86,84,3.04,023,05,Veneto,Verona
023006,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,26,0.78,18,0.65,023,05,Veneto,Verona
023006,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,24,0.72,14,0.51,023,05,Veneto,Verona
023006,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,17,0.51,10,0.36,023,05,Veneto,Verona
023006,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,14,0.42,14,0.51,023,05,Veneto,Verona
023006,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,9,0.27,3,0.11,023,05,Veneto,Verona
023007,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,1325,83.70,1141,83.77,023,05,Veneto,Verona
023007,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,176,11.12,161,11.82,023,05,Veneto,Verona
023007,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,46,2.91,31,2.28,023,05,Veneto,Verona
023007,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,11,0.69,8,0.59,023,05,Veneto,Verona
023007,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,8,0.51,7,0.51,023,05,Veneto,Verona
023007,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,8,0.51,6,0.44,023,05,Veneto,Verona
023007,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,6,0.38,4,0.29,023,05,Veneto,Verona
023007,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,3,0.19,4,0.29,023,05,Veneto,Verona
023008,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,655,81.37,539,82.42,023,05,Veneto,Verona
023008,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,110,13.66,91,13.91,023,05,Veneto,Verona
023008,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,17,2.11,10,1.53,023,05,Veneto,Verona
023008,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,9,1.12,4,0.61,023,05,Veneto,Verona
023008,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,6,0.75,3,0.46,023,05,Veneto,Verona
023008,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,4,0.50,4,0.61,023,05,Veneto,Verona
023008,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,3,0.37,2,0.31,023,05,Veneto,Verona
023008,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,1,0.12,1,0.15,023,05,Veneto,Verona
023009,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,940,84.46,823,85.37,023,05,Veneto,Verona
023009,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,110,9.88,92,9.54,023,05,Veneto,Verona
023009,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,29,2.61,20,2.07,023,05,Veneto,Verona
023009,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,16,1.44,15,1.56,023,05,Veneto,Verona
023009,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,8,0.72,4,0.41,023,05,Veneto,Verona
023009,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,6,0.54,6,0.62,023,05,Veneto,Verona
023009,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,4,0.36,4,0.41,023,05,Veneto,Verona
023009,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,0,0,0,0,023,05,Veneto,Verona
023010,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,656,86.54,570,88.10,023,05,Veneto,Verona
023010,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,58,7.65,47,7.26,023,05,Veneto,Verona
023010,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,24,3.17,16,2.47,023,05,Veneto,Verona
023010,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,6,0.79,4,0.62,023,05,Veneto,Verona
023010,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,5,0.66,5,0.77,023,05,Veneto,Verona
023010,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,4,0.53,0,0,023,05,Veneto,Verona
023010,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,4,0.53,4,0.62,023,05,Veneto,Verona
023010,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,1,0.13,1,0.15,023,05,Veneto,Verona
023011,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,1712,87.75,1604,89.11,023,05,Veneto,Verona
023011,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,153,7.84,136,7.56,023,05,Veneto,Verona
023011,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,49,2.51,29,1.61,023,05,Veneto,Verona
023011,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,12,0.62,10,0.56,023,05,Veneto,Verona
023011,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,9,0.46,8,0.44,023,05,Veneto,Verona
023011,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,9,0.46,7,0.39,023,05,Veneto,Verona
023011,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,6,0.31,5,0.28,023,05,Veneto,Verona
023011,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,1,0.05,1,0.06,023,05,Veneto,Verona
023012,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,5810,81.26,4982,81.19,023,05,Veneto,Verona
023012,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,569,7.96,514,8.38,023,05,Veneto,Verona
023012,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,353,4.94,352,5.74,023,05,Veneto,Verona
023012,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,307,4.29,220,3.59,023,05,Veneto,Verona
023012,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,40,0.56,21,0.34,023,05,Veneto,Verona
023012,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,39,0.55,31,0.51,023,05,Veneto,Verona
023012,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,19,0.27,13,0.21,023,05,Veneto,Verona
023012,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,13,0.18,3,0.05,023,05,Veneto,Verona
023013,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,537,82.36,466,82.48,023,05,Veneto,Verona
023013,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,77,11.81,74,13.10,023,05,Veneto,Verona
023013,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,20,3.07,13,2.30,023,05,Veneto,Verona
023013,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,7,1.07,3,0.53,023,05,Veneto,Verona
023013,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,5,0.77,5,0.88,023,05,Veneto,Verona
023013,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,3,0.46,3,0.53,023,05,Veneto,Verona
023013,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,3,0.46,1,0.18,023,05,Veneto,Verona
023013,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,0,0,0,0,023,05,Veneto,Verona
023014,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,969,78.40,877,79.15,023,05,Veneto,Verona
023014,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,189,15.29,173,15.61,023,05,Veneto,Verona
023014,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,45,3.64,29,2.62,023,05,Veneto,Verona
023014,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,13,1.05,12,1.08,023,05,Veneto,Verona
023014,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,9,0.73,9,0.81,023,05,Veneto,Verona
023014,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,7,0.57,4,0.36,023,05,Veneto,Verona
023014,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,3,0.24,3,0.27,023,05,Veneto,Verona
023014,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,1,0.08,1,0.09,023,05,Veneto,Verona
023015,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,7544,79.77,6290,80.38,023,05,Veneto,Verona
023015,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,1196,12.65,1080,13.80,023,05,Veneto,Verona
023015,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,394,4.17,203,2.59,023,05,Veneto,Verona
023015,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,135,1.43,144,1.84,023,05,Veneto,Verona
023015,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,69,0.73,38,0.49,023,05,Veneto,Verona
023015,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,54,0.57,40,0.51,023,05,Veneto,Verona
023015,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,53,0.56,20,0.26,023,05,Veneto,Verona
023015,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,12,0.13,10,0.13,023,05,Veneto,Verona
023016,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,2793,81.91,2290,82.31,023,05,Veneto,Verona
023016,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,371,10.88,331,11.90,023,05,Veneto,Verona
023016,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,155,4.55,92,3.31,023,05,Veneto,Verona
023016,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,25,0.73,22,0.79,023,05,Veneto,Verona
023016,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,21,0.62,11,0.40,023,05,Veneto,Verona
023016,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,21,0.62,19,0.68,023,05,Veneto,Verona
023016,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,19,0.56,12,0.43,023,05,Veneto,Verona
023016,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,5,0.15,5,0.18,023,05,Veneto,Verona
023017,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,2869,81.46,2361,81.95,023,05,Veneto,Verona
023017,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,382,10.85,332,11.52,023,05,Veneto,Verona
023017,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,150,4.26,93,3.23,023,05,Veneto,Verona
023017,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,51,1.45,49,1.70,023,05,Veneto,Verona
