CODICE ISTAT,cogn,nome,a_nome,d_nasc,l_nasc,posC,desc_lis_r,img_lis_r,voti,perc,tot_vot_lis,perc_lis,IDPROVINCIAISTAT,IDREGIONE,Denominazione Regione,Denominazione dell'Unità territoriale sovracomunale (valida a fini statistici)
023001,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,964,81.14,799,82.37,023,05,Veneto,Verona
023001,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,154,12.96,127,13.09,023,05,Veneto,Verona
023001,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,40,3.37,24,2.47,023,05,Veneto,Verona
023001,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,11,0.93,9,0.93,023,05,Veneto,Verona
023001,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,8,0.67,4,0.41,023,05,Veneto,Verona
023001,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,6,0.51,3,0.31,023,05,Veneto,Verona
023001,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,4,0.34,3,0.31,023,05,Veneto,Verona
023001,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,1,0.08,1,0.10,023,05,Veneto,Verona
023002,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,2395,86.90,2072,87.13,023,05,Veneto,Verona
023002,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,241,8.74,208,8.75,023,05,Veneto,Verona
023002,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,56,2.03,41,1.72,023,05,Veneto,Verona
023002,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,31,1.12,31,1.30,023,05,Veneto,Verona
023002,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,15,0.54,9,0.38,023,05,Veneto,Verona
023002,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,10,0.36,10,0.42,023,05,Veneto,Verona
023002,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,8,0.29,7,0.29,023,05,Veneto,Verona
023002,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,0,0,0,0,023,05,Veneto,Verona
023003,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,989,80.54,807,80.46,023,05,Veneto,Verona
023003,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,143,11.64,125,12.46,023,05,Veneto,Verona
023003,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,48,3.91,35,3.49,023,05,Veneto,Verona
023003,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,19,1.55,19,1.89,023,05,Veneto,Verona
023003,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,10,0.81,9,0.90,023,05,Veneto,Verona
023003,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,9,0.73,4,0.40,023,05,Veneto,Verona
023003,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,6,0.49,2,0.20,023,05,Veneto,Verona
023003,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,4,0.33,2,0.20,023,05,Veneto,Verona
023004,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,2500,82.07,2324,82.53,023,05,Veneto,Verona
023004,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,311,10.21,282,10.01,023,05,Veneto,Verona
023004,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,136,4.46,122,4.33,023,05,Veneto,Verona
023004,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,56,1.84,54,1.92,023,05,Veneto,Verona
023004,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,22,0.72,13,0.46,023,05,Veneto,Verona
023004,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,11,0.36,8,0.28,023,05,Veneto,Verona
023004,RUBINATO,SIMONETTA,,19631222000000,TREVISO,2,CONSULTAZIONE ELETTORALE REGIONALE 20-21 SETTEMBRE 2020,7-20200920000000-2-05R.png,5,0.16,4,0.14,023,05,Veneto,Verona
023004,BENVEGNU',PAOLO,,19520318000000,CESSALTO TV,4,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-4-05R.png,5,0.16,9,0.32,023,05,Veneto,Verona
023005,ZAIA,LUCA,,19680327000000,CONEGLIANO TV,3,ELEZIONI REGIONALI VENETO 2020,7-20200920000000-3-05R.png,1266,91.28,1176,92.38,023,05,Veneto,Verona
023005,LORENZONI,ARTURO,,19660919000000,PADOVA,5,VENETO 2020 LORENZONI IL PRESIDENTE,7-20200920000000-5-05R.png,75,5.41,64,5.03,023,05,Veneto,Verona
023005,CAPPELLETTI,ENRICO,,19680205000000,PADOVA,6,MOVIMENTO 5 STELLE,7-20200920000000-6-05R.png,25,1.80,17,1.34,023,05,Veneto,Verona
023005,BARTELLE,PATRIZIA,,19610226000000,CAVARZERE (VE),7,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-7-05R.png,6,0.43,2,0.16,023,05,Veneto,Verona
023005,GUADAGNINI,ANTONIO,,19660825000000,BASSANO DEL GRAPPA (VI),8,ANTONIO GUADAGNINI PER IL VENETO PRESIDENTE,7-20200920000000-8-05R.png,5,0.36,5,0.39,023,05,Veneto,Verona
023005,SBROLLINI,DANIELA,,19710930000000,LATIANO BR,9,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-9-05R.png,4,0.29,3,0.24,023,05,Veneto,Verona
