CODICE ISTAT,COMUNE,ln,posC,desc_lis_c,voti
043006,Caldarola,15,7,CIVITAS CIVICI,54
043006,Caldarola,14,7,LEGA SALVINI MARCHE,158
043006,Caldarola,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,53
043006,Caldarola,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,12
043006,Caldarola,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,91
043006,Caldarola,16,7,MOVIMENTO PER LE MARCHE,20
043006,Caldarola,9,4,MOVIMENTO 5 STELLE,50
043006,Caldarola,1,1,VOX ITALIA MARCHE,2
043006,Caldarola,10,5,DIPENDE DA NOI,31
043006,Caldarola,11,6,COMUNISTA!,7
043006,Caldarola,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,2
043007,Camerino,,,,2
043007,Camerino,7,3,RINASCI MARCHE,165
043007,Camerino,4,3,ITALIA VIVA,297
043007,Camerino,5,3,MARCHE CORAGGIOSE,21
043007,Camerino,3,3,PARTITO DEMOCRATICO,365
043007,Camerino,6,3,LE NOSTRE MARCHE e IL CENTRO,21
043007,Camerino,8,3,MANGIALARDI PRESIDENTE,13
043007,Camerino,15,7,CIVITAS CIVICI,23
043007,Camerino,14,7,LEGA SALVINI MARCHE,453
043007,Camerino,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,1242
043007,Camerino,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,30
043007,Camerino,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,198
043007,Camerino,16,7,MOVIMENTO PER LE MARCHE,17
043007,Camerino,9,4,MOVIMENTO 5 STELLE,80
043007,Camerino,1,1,VOX ITALIA MARCHE,5
043007,Camerino,10,5,DIPENDE DA NOI,14
043007,Camerino,11,6,COMUNISTA!,22
043007,Camerino,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,6
043008,Camporotondo di Fiastrone,,,,1
043008,Camporotondo di Fiastrone,7,3,RINASCI MARCHE,5
043008,Camporotondo di Fiastrone,4,3,ITALIA VIVA,20
043008,Camporotondo di Fiastrone,5,3,MARCHE CORAGGIOSE,0
043008,Camporotondo di Fiastrone,3,3,PARTITO DEMOCRATICO,43
043008,Camporotondo di Fiastrone,6,3,LE NOSTRE MARCHE e IL CENTRO,2
043008,Camporotondo di Fiastrone,8,3,MANGIALARDI PRESIDENTE,0
043008,Camporotondo di Fiastrone,15,7,CIVITAS CIVICI,13
043008,Camporotondo di Fiastrone,14,7,LEGA SALVINI MARCHE,48
043008,Camporotondo di Fiastrone,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,16
043008,Camporotondo di Fiastrone,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,4
043008,Camporotondo di Fiastrone,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,30
043008,Camporotondo di Fiastrone,16,7,MOVIMENTO PER LE MARCHE,4
043008,Camporotondo di Fiastrone,9,4,MOVIMENTO 5 STELLE,15
043008,Camporotondo di Fiastrone,1,1,VOX ITALIA MARCHE,0
043008,Camporotondo di Fiastrone,10,5,DIPENDE DA NOI,8
043008,Camporotondo di Fiastrone,11,6,COMUNISTA!,5
043008,Camporotondo di Fiastrone,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,0
043009,Castelraimondo,,,,5
043009,Castelraimondo,7,3,RINASCI MARCHE,55
043009,Castelraimondo,4,3,ITALIA VIVA,59
043009,Castelraimondo,5,3,MARCHE CORAGGIOSE,22
043009,Castelraimondo,3,3,PARTITO DEMOCRATICO,255
043009,Castelraimondo,6,3,LE NOSTRE MARCHE e IL CENTRO,4
043009,Castelraimondo,8,3,MANGIALARDI PRESIDENTE,6
043009,Castelraimondo,15,7,CIVITAS CIVICI,11
043009,Castelraimondo,14,7,LEGA SALVINI MARCHE,1313
043009,Castelraimondo,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,83
043009,Castelraimondo,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,17
043009,Castelraimondo,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,137
043009,Castelraimondo,16,7,MOVIMENTO PER LE MARCHE,10
043009,Castelraimondo,9,4,MOVIMENTO 5 STELLE,96
043009,Castelraimondo,1,1,VOX ITALIA MARCHE,6
043009,Castelraimondo,10,5,DIPENDE DA NOI,9
043009,Castelraimondo,11,6,COMUNISTA!,16
043009,Castelraimondo,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,4
043010,Castelsantangelo sul Nera,,,,0
043010,Castelsantangelo sul Nera,7,3,RINASCI MARCHE,0
043010,Castelsantangelo sul Nera,4,3,ITALIA VIVA,1
043010,Castelsantangelo sul Nera,5,3,MARCHE CORAGGIOSE,1
043010,Castelsantangelo sul Nera,3,3,PARTITO DEMOCRATICO,20
043010,Castelsantangelo sul Nera,6,3,LE NOSTRE MARCHE e IL CENTRO,2
043010,Castelsantangelo sul Nera,8,3,MANGIALARDI PRESIDENTE,0
043010,Castelsantangelo sul Nera,15,7,CIVITAS CIVICI,4
043010,Castelsantangelo sul Nera,14,7,LEGA SALVINI MARCHE,42
043010,Castelsantangelo sul Nera,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,7
043010,Castelsantangelo sul Nera,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,1
043010,Castelsantangelo sul Nera,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,28
043010,Castelsantangelo sul Nera,16,7,MOVIMENTO PER LE MARCHE,0
043010,Castelsantangelo sul Nera,9,4,MOVIMENTO 5 STELLE,14
043010,Castelsantangelo sul Nera,1,1,VOX ITALIA MARCHE,2
043010,Castelsantangelo sul Nera,10,5,DIPENDE DA NOI,1
043010,Castelsantangelo sul Nera,11,6,COMUNISTA!,2
043010,Castelsantangelo sul Nera,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,0
041014,Fermignano,10,5,DIPENDE DA NOI,29
041014,Fermignano,,,,2
041014,Fermignano,11,6,COMUNISTA!,30
041014,Fermignano,9,4,MOVIMENTO 5 STELLE,177
041014,Fermignano,4,3,ITALIA VIVA,23
041014,Fermignano,3,3,PARTITO DEMOCRATICO,1164
041014,Fermignano,6,3,LE NOSTRE MARCHE e IL CENTRO,37
041014,Fermignano,5,3,MARCHE CORAGGIOSE,34
041014,Fermignano,8,3,MANGIALARDI PRESIDENTE,37
041014,Fermignano,7,3,RINASCI MARCHE,64
041014,Fermignano,1,1,VOX ITALIA MARCHE,13
041014,Fermignano,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,218
041014,Fermignano,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,115
041014,Fermignano,14,7,LEGA SALVINI MARCHE,1811
041014,Fermignano,16,7,MOVIMENTO PER LE MARCHE,17
041014,Fermignano,15,7,CIVITAS CIVICI,15
041014,Fermignano,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,20
041014,Fermignano,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,6
043011,Cessapalombo,,,,1
043011,Cessapalombo,7,3,RINASCI MARCHE,4
043011,Cessapalombo,4,3,ITALIA VIVA,2
043011,Cessapalombo,5,3,MARCHE CORAGGIOSE,1
043011,Cessapalombo,3,3,PARTITO DEMOCRATICO,7
043011,Cessapalombo,6,3,LE NOSTRE MARCHE e IL CENTRO,0
043011,Cessapalombo,8,3,MANGIALARDI PRESIDENTE,1
043011,Cessapalombo,15,7,CIVITAS CIVICI,28
043011,Cessapalombo,14,7,LEGA SALVINI MARCHE,63
043011,Cessapalombo,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,11
043011,Cessapalombo,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,3
043011,Cessapalombo,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,32
043011,Cessapalombo,16,7,MOVIMENTO PER LE MARCHE,2
043011,Cessapalombo,9,4,MOVIMENTO 5 STELLE,12
043011,Cessapalombo,1,1,VOX ITALIA MARCHE,1
043011,Cessapalombo,10,5,DIPENDE DA NOI,12
043011,Cessapalombo,11,6,COMUNISTA!,0
043011,Cessapalombo,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,1
043012,Cingoli,,,,1
043012,Cingoli,7,3,RINASCI MARCHE,37
043012,Cingoli,4,3,ITALIA VIVA,140
043012,Cingoli,5,3,MARCHE CORAGGIOSE,186
043012,Cingoli,3,3,PARTITO DEMOCRATICO,487
043012,Cingoli,6,3,LE NOSTRE MARCHE e IL CENTRO,22
043012,Cingoli,8,3,MANGIALARDI PRESIDENTE,11
043012,Cingoli,15,7,CIVITAS CIVICI,277
043012,Cingoli,14,7,LEGA SALVINI MARCHE,2486
043012,Cingoli,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,109
043012,Cingoli,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,127
043012,Cingoli,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,630
043012,Cingoli,16,7,MOVIMENTO PER LE MARCHE,10
043012,Cingoli,9,4,MOVIMENTO 5 STELLE,123
043012,Cingoli,1,1,VOX ITALIA MARCHE,5
043012,Cingoli,10,5,DIPENDE DA NOI,31
043012,Cingoli,11,6,COMUNISTA!,40
043012,Cingoli,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,6
043013,Civitanova Marche,,,,27
043013,Civitanova Marche,7,3,RINASCI MARCHE,296
043013,Civitanova Marche,4,3,ITALIA VIVA,303
043013,Civitanova Marche,5,3,MARCHE CORAGGIOSE,578
043013,Civitanova Marche,3,3,PARTITO DEMOCRATICO,3135
043013,Civitanova Marche,6,3,LE NOSTRE MARCHE e IL CENTRO,435
043013,Civitanova Marche,8,3,MANGIALARDI PRESIDENTE,62
043013,Civitanova Marche,15,7,CIVITAS CIVICI,129
043013,Civitanova Marche,14,7,LEGA SALVINI MARCHE,3232
043013,Civitanova Marche,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,1876
043013,Civitanova Marche,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,142
043013,Civitanova Marche,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,3149
043013,Civitanova Marche,16,7,MOVIMENTO PER LE MARCHE,235
043013,Civitanova Marche,9,4,MOVIMENTO 5 STELLE,1082
043013,Civitanova Marche,1,1,VOX ITALIA MARCHE,84
043013,Civitanova Marche,10,5,DIPENDE DA NOI,606
043013,Civitanova Marche,11,6,COMUNISTA!,214
043013,Civitanova Marche,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,73
043014,Colmurano,,,,1
043014,Colmurano,7,3,RINASCI MARCHE,15
043014,Colmurano,4,3,ITALIA VIVA,33
043014,Colmurano,5,3,MARCHE CORAGGIOSE,10
043014,Colmurano,3,3,PARTITO DEMOCRATICO,113
043014,Colmurano,6,3,LE NOSTRE MARCHE e IL CENTRO,8
043014,Colmurano,8,3,MANGIALARDI PRESIDENTE,35
043014,Colmurano,15,7,CIVITAS CIVICI,28
043014,Colmurano,14,7,LEGA SALVINI MARCHE,118
043014,Colmurano,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,14
043014,Colmurano,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,7
043014,Colmurano,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,109
043014,Colmurano,16,7,MOVIMENTO PER LE MARCHE,7
043014,Colmurano,9,4,MOVIMENTO 5 STELLE,22
043014,Colmurano,1,1,VOX ITALIA MARCHE,0
043014,Colmurano,10,5,DIPENDE DA NOI,11
043014,Colmurano,11,6,COMUNISTA!,5
043014,Colmurano,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,1
043015,Corridonia,,,,17
043015,Corridonia,7,3,RINASCI MARCHE,157
043015,Corridonia,4,3,ITALIA VIVA,151
043015,Corridonia,5,3,MARCHE CORAGGIOSE,74
043015,Corridonia,3,3,PARTITO DEMOCRATICO,932
043015,Corridonia,6,3,LE NOSTRE MARCHE e IL CENTRO,91
043015,Corridonia,8,3,MANGIALARDI PRESIDENTE,48
043015,Corridonia,15,7,CIVITAS CIVICI,146
043015,Corridonia,14,7,LEGA SALVINI MARCHE,1546
043015,Corridonia,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,320
043015,Corridonia,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,111
043015,Corridonia,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,1268
043015,Corridonia,16,7,MOVIMENTO PER LE MARCHE,308
043015,Corridonia,9,4,MOVIMENTO 5 STELLE,423
043015,Corridonia,1,1,VOX ITALIA MARCHE,32
043015,Corridonia,10,5,DIPENDE DA NOI,57
043015,Corridonia,11,6,COMUNISTA!,58
043015,Corridonia,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,8
043016,Esanatoglia,,,,0
043016,Esanatoglia,7,3,RINASCI MARCHE,21
043016,Esanatoglia,4,3,ITALIA VIVA,26
043016,Esanatoglia,5,3,MARCHE CORAGGIOSE,3
043016,Esanatoglia,3,3,PARTITO DEMOCRATICO,148
043016,Esanatoglia,6,3,LE NOSTRE MARCHE e IL CENTRO,4
043016,Esanatoglia,8,3,MANGIALARDI PRESIDENTE,7
043016,Esanatoglia,15,7,CIVITAS CIVICI,15
043016,Esanatoglia,14,7,LEGA SALVINI MARCHE,383
043016,Esanatoglia,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,48
043016,Esanatoglia,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,6
043016,Esanatoglia,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,99
043016,Esanatoglia,16,7,MOVIMENTO PER LE MARCHE,8
043016,Esanatoglia,9,4,MOVIMENTO 5 STELLE,67
043016,Esanatoglia,1,1,VOX ITALIA MARCHE,7
043016,Esanatoglia,10,5,DIPENDE DA NOI,2
043016,Esanatoglia,11,6,COMUNISTA!,15
043016,Esanatoglia,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,2
043017,Fiastra,,,,2
043017,Fiastra,7,3,RINASCI MARCHE,12
043017,Fiastra,4,3,ITALIA VIVA,5
043017,Fiastra,5,3,MARCHE CORAGGIOSE,6
043017,Fiastra,3,3,PARTITO DEMOCRATICO,124
043017,Fiastra,6,3,LE NOSTRE MARCHE e IL CENTRO,2
043017,Fiastra,8,3,MANGIALARDI PRESIDENTE,0
043017,Fiastra,15,7,CIVITAS CIVICI,4
043017,Fiastra,14,7,LEGA SALVINI MARCHE,51
043017,Fiastra,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,23
043017,Fiastra,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,4
043017,Fiastra,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,37
043017,Fiastra,16,7,MOVIMENTO PER LE MARCHE,3
043017,Fiastra,9,4,MOVIMENTO 5 STELLE,17
043017,Fiastra,1,1,VOX ITALIA MARCHE,1
043017,Fiastra,10,5,DIPENDE DA NOI,5
043017,Fiastra,11,6,COMUNISTA!,11
043017,Fiastra,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,0
043019,Fiuminata,,,,1
043019,Fiuminata,7,3,RINASCI MARCHE,23
043019,Fiuminata,4,3,ITALIA VIVA,32
043019,Fiuminata,5,3,MARCHE CORAGGIOSE,6
043019,Fiuminata,3,3,PARTITO DEMOCRATICO,110
043019,Fiuminata,6,3,LE NOSTRE MARCHE e IL CENTRO,6
043019,Fiuminata,8,3,MANGIALARDI PRESIDENTE,2
043019,Fiuminata,15,7,CIVITAS CIVICI,0
043019,Fiuminata,14,7,LEGA SALVINI MARCHE,180
043019,Fiuminata,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,30
043019,Fiuminata,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,90
043019,Fiuminata,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,83
043019,Fiuminata,16,7,MOVIMENTO PER LE MARCHE,6
043019,Fiuminata,9,4,MOVIMENTO 5 STELLE,37
043019,Fiuminata,1,1,VOX ITALIA MARCHE,3
043019,Fiuminata,10,5,DIPENDE DA NOI,6
043019,Fiuminata,11,6,COMUNISTA!,9
043019,Fiuminata,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,1
043020,Gagliole,,,,0
043020,Gagliole,7,3,RINASCI MARCHE,16
043020,Gagliole,4,3,ITALIA VIVA,11
043020,Gagliole,5,3,MARCHE CORAGGIOSE,8
043020,Gagliole,3,3,PARTITO DEMOCRATICO,38
043020,Gagliole,6,3,LE NOSTRE MARCHE e IL CENTRO,5
043020,Gagliole,8,3,MANGIALARDI PRESIDENTE,2
043020,Gagliole,15,7,CIVITAS CIVICI,0
043020,Gagliole,14,7,LEGA SALVINI MARCHE,103
043020,Gagliole,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,9
043020,Gagliole,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,4
043020,Gagliole,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,24
043020,Gagliole,16,7,MOVIMENTO PER LE MARCHE,2
043020,Gagliole,9,4,MOVIMENTO 5 STELLE,14
043020,Gagliole,1,1,VOX ITALIA MARCHE,0
043020,Gagliole,10,5,DIPENDE DA NOI,0
043020,Gagliole,11,6,COMUNISTA!,5
043020,Gagliole,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,2
043021,Gualdo,,,,1
043021,Gualdo,7,3,RINASCI MARCHE,6
043021,Gualdo,4,3,ITALIA VIVA,8
043021,Gualdo,5,3,MARCHE CORAGGIOSE,6
043021,Gualdo,3,3,PARTITO DEMOCRATICO,31
043021,Gualdo,6,3,LE NOSTRE MARCHE e IL CENTRO,6
043021,Gualdo,8,3,MANGIALARDI PRESIDENTE,0
043021,Gualdo,15,7,CIVITAS CIVICI,56
043021,Gualdo,14,7,LEGA SALVINI MARCHE,103
043021,Gualdo,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,11
043021,Gualdo,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,9
043021,Gualdo,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,66
043021,Gualdo,16,7,MOVIMENTO PER LE MARCHE,0
043021,Gualdo,9,4,MOVIMENTO 5 STELLE,10
043021,Gualdo,1,1,VOX ITALIA MARCHE,2
043021,Gualdo,10,5,DIPENDE DA NOI,2
043021,Gualdo,11,6,COMUNISTA!,2
043021,Gualdo,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,0
041015,Fossombrone,10,5,DIPENDE DA NOI,86
041015,Fossombrone,,,,3
041015,Fossombrone,11,6,COMUNISTA!,55
041015,Fossombrone,9,4,MOVIMENTO 5 STELLE,246
041015,Fossombrone,4,3,ITALIA VIVA,176
041015,Fossombrone,3,3,PARTITO DEMOCRATICO,823
041015,Fossombrone,6,3,LE NOSTRE MARCHE e IL CENTRO,39
041015,Fossombrone,5,3,MARCHE CORAGGIOSE,21
041015,Fossombrone,8,3,MANGIALARDI PRESIDENTE,58
041015,Fossombrone,7,3,RINASCI MARCHE,111
041015,Fossombrone,1,1,VOX ITALIA MARCHE,32
041015,Fossombrone,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,877
041015,Fossombrone,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,308
041015,Fossombrone,14,7,LEGA SALVINI MARCHE,1198
041015,Fossombrone,16,7,MOVIMENTO PER LE MARCHE,17
041015,Fossombrone,15,7,CIVITAS CIVICI,35
041015,Fossombrone,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,41
041015,Fossombrone,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,19
043022,Loro Piceno,,,,5
043022,Loro Piceno,7,3,RINASCI MARCHE,19
043022,Loro Piceno,4,3,ITALIA VIVA,15
043022,Loro Piceno,5,3,MARCHE CORAGGIOSE,8
043022,Loro Piceno,3,3,PARTITO DEMOCRATICO,189
043022,Loro Piceno,6,3,LE NOSTRE MARCHE e IL CENTRO,5
043022,Loro Piceno,8,3,MANGIALARDI PRESIDENTE,8
043022,Loro Piceno,15,7,CIVITAS CIVICI,24
043022,Loro Piceno,14,7,LEGA SALVINI MARCHE,254
043022,Loro Piceno,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,32
043022,Loro Piceno,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,9
043022,Loro Piceno,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,157
043022,Loro Piceno,16,7,MOVIMENTO PER LE MARCHE,5
043022,Loro Piceno,9,4,MOVIMENTO 5 STELLE,38
043022,Loro Piceno,1,1,VOX ITALIA MARCHE,13
043022,Loro Piceno,10,5,DIPENDE DA NOI,70
043022,Loro Piceno,11,6,COMUNISTA!,13
043022,Loro Piceno,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,3
043023,Macerata,,,,37
043023,Macerata,7,3,RINASCI MARCHE,408
043023,Macerata,4,3,ITALIA VIVA,593
043023,Macerata,5,3,MARCHE CORAGGIOSE,271
043023,Macerata,3,3,PARTITO DEMOCRATICO,4249
043023,Macerata,6,3,LE NOSTRE MARCHE e IL CENTRO,99
