CODICE ISTAT,COMUNE,ln,posC,desc_lis_c,voti
042050,Trecastelli,1,1,VOX ITALIA MARCHE,13
042050,Trecastelli,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,19
042050,Trecastelli,3,3,PARTITO DEMOCRATICO,695
042050,Trecastelli,4,3,ITALIA VIVA,68
042050,Trecastelli,5,3,MARCHE CORAGGIOSE,24
042050,Trecastelli,6,3,LE NOSTRE MARCHE e IL CENTRO,109
042050,Trecastelli,7,3,RINASCI MARCHE,79
042050,Trecastelli,8,3,MANGIALARDI PRESIDENTE,121
042050,Trecastelli,9,4,MOVIMENTO 5 STELLE,184
042050,Trecastelli,10,5,DIPENDE DA NOI,63
042050,Trecastelli,11,6,COMUNISTA!,41
042050,Trecastelli,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,13
042050,Trecastelli,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,100
042050,Trecastelli,14,7,LEGA SALVINI MARCHE,533
042050,Trecastelli,15,7,CIVITAS CIVICI,89
042050,Trecastelli,16,7,MOVIMENTO PER LE MARCHE,8
042050,Trecastelli,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,438
043002,Apiro,,,,0
043002,Apiro,7,3,RINASCI MARCHE,20
043002,Apiro,4,3,ITALIA VIVA,46
043002,Apiro,5,3,MARCHE CORAGGIOSE,8
043002,Apiro,3,3,PARTITO DEMOCRATICO,175
043002,Apiro,6,3,LE NOSTRE MARCHE e IL CENTRO,10
043002,Apiro,8,3,MANGIALARDI PRESIDENTE,7
043002,Apiro,15,7,CIVITAS CIVICI,16
043002,Apiro,14,7,LEGA SALVINI MARCHE,336
043002,Apiro,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,31
043002,Apiro,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,25
043002,Apiro,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,119
043002,Apiro,16,7,MOVIMENTO PER LE MARCHE,7
043002,Apiro,9,4,MOVIMENTO 5 STELLE,44
043002,Apiro,1,1,VOX ITALIA MARCHE,5
043002,Apiro,10,5,DIPENDE DA NOI,9
043002,Apiro,11,6,COMUNISTA!,14
043002,Apiro,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,3
043003,Appignano,,,,1
043003,Appignano,7,3,RINASCI MARCHE,19
043003,Appignano,4,3,ITALIA VIVA,49
043003,Appignano,5,3,MARCHE CORAGGIOSE,19
043003,Appignano,3,3,PARTITO DEMOCRATICO,351
043003,Appignano,6,3,LE NOSTRE MARCHE e IL CENTRO,13
043003,Appignano,8,3,MANGIALARDI PRESIDENTE,17
043003,Appignano,15,7,CIVITAS CIVICI,19
043003,Appignano,14,7,LEGA SALVINI MARCHE,519
043003,Appignano,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,48
043003,Appignano,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,21
043003,Appignano,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,242
043003,Appignano,16,7,MOVIMENTO PER LE MARCHE,49
043003,Appignano,9,4,MOVIMENTO 5 STELLE,129
043003,Appignano,1,1,VOX ITALIA MARCHE,7
043003,Appignano,10,5,DIPENDE DA NOI,48
043003,Appignano,11,6,COMUNISTA!,30
043003,Appignano,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,4
043004,Belforte del Chienti,,,,2
043004,Belforte del Chienti,7,3,RINASCI MARCHE,25
043004,Belforte del Chienti,4,3,ITALIA VIVA,21
043004,Belforte del Chienti,5,3,MARCHE CORAGGIOSE,8
043004,Belforte del Chienti,3,3,PARTITO DEMOCRATICO,168
043004,Belforte del Chienti,6,3,LE NOSTRE MARCHE e IL CENTRO,3
043004,Belforte del Chienti,8,3,MANGIALARDI PRESIDENTE,4
043004,Belforte del Chienti,15,7,CIVITAS CIVICI,87
043004,Belforte del Chienti,14,7,LEGA SALVINI MARCHE,155
043004,Belforte del Chienti,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,40
043004,Belforte del Chienti,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,14
043004,Belforte del Chienti,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,171
043004,Belforte del Chienti,16,7,MOVIMENTO PER LE MARCHE,3
043004,Belforte del Chienti,9,4,MOVIMENTO 5 STELLE,63
043004,Belforte del Chienti,1,1,VOX ITALIA MARCHE,4
043004,Belforte del Chienti,10,5,DIPENDE DA NOI,51
043004,Belforte del Chienti,11,6,COMUNISTA!,6
043004,Belforte del Chienti,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,1
043005,Bolognola,,,,0
043005,Bolognola,7,3,RINASCI MARCHE,1
043005,Bolognola,4,3,ITALIA VIVA,1
043005,Bolognola,5,3,MARCHE CORAGGIOSE,0
043005,Bolognola,3,3,PARTITO DEMOCRATICO,18
043005,Bolognola,6,3,LE NOSTRE MARCHE e IL CENTRO,0
043005,Bolognola,8,3,MANGIALARDI PRESIDENTE,0
043005,Bolognola,15,7,CIVITAS CIVICI,2
043005,Bolognola,14,7,LEGA SALVINI MARCHE,15
043005,Bolognola,13,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,14
043005,Bolognola,12,7,POPOLARI MARCHE - UNIONE DI CENTRO,1
043005,Bolognola,17,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,7
043005,Bolognola,16,7,MOVIMENTO PER LE MARCHE,4
043005,Bolognola,9,4,MOVIMENTO 5 STELLE,4
043005,Bolognola,1,1,VOX ITALIA MARCHE,0
043005,Bolognola,10,5,DIPENDE DA NOI,1
043005,Bolognola,11,6,COMUNISTA!,0
043005,Bolognola,2,2,MOVIMENTO 3V LIBERTA' DI SCELTA,0
043006,Caldarola,,,,0
043006,Caldarola,7,3,RINASCI MARCHE,23
043006,Caldarola,4,3,ITALIA VIVA,26
043006,Caldarola,5,3,MARCHE CORAGGIOSE,2
043006,Caldarola,3,3,PARTITO DEMOCRATICO,210
043006,Caldarola,6,3,LE NOSTRE MARCHE e IL CENTRO,11
043006,Caldarola,8,3,MANGIALARDI PRESIDENTE,7
