CODICE ISTAT,posC,ln,pos,desc_lis_c,img_lis_c,voti,perc,IDPROVINCIAISTAT,IDREGIONE,Denominazione Regione,Denominazione dell'Unità territoriale sovracomunale (valida a fini statistici)
023002,5,1,14,EUROPA VERDE,7-20200920000000-14-089.png,27,1.14,023,05,Veneto,Verona
023002,5,2,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,11,0.46,023,05,Veneto,Verona
023002,5,3,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,7,0.29,023,05,Veneto,Verona
023002,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,3,0.13,023,05,Veneto,Verona
023002,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,41,1.72,023,05,Veneto,Verona
023002,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,31,1.30,023,05,Veneto,Verona
023002,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,9,0.38,023,05,Veneto,Verona
023002,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,10,0.42,023,05,Veneto,Verona
023002,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,7,0.29,023,05,Veneto,Verona
023002,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,0,0,023,05,Veneto,Verona
023003,3,0,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,389,38.78,023,05,Veneto,Verona
023003,3,1,11,LEGA SALVINI,7-20200920000000-11-089.png,241,24.03,023,05,Veneto,Verona
023003,3,2,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,151,15.05,023,05,Veneto,Verona
023003,3,3,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,15,1.50,023,05,Veneto,Verona
023003,3,4,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,11,1.10,023,05,Veneto,Verona
023003,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,93,9.27,023,05,Veneto,Verona
023003,5,1,14,EUROPA VERDE,7-20200920000000-14-089.png,14,1.40,023,05,Veneto,Verona
023003,5,2,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,10,1.00,023,05,Veneto,Verona
023003,5,3,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,8,0.80,023,05,Veneto,Verona
023003,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,0,0,023,05,Veneto,Verona
023003,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,35,3.49,023,05,Veneto,Verona
023003,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,19,1.89,023,05,Veneto,Verona
023003,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,9,0.90,023,05,Veneto,Verona
023003,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,4,0.40,023,05,Veneto,Verona
023003,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,2,0.20,023,05,Veneto,Verona
023003,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,2,0.20,023,05,Veneto,Verona
023004,3,0,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,838,29.76,023,05,Veneto,Verona
023004,3,1,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,680,24.15,023,05,Veneto,Verona
023004,3,2,11,LEGA SALVINI,7-20200920000000-11-089.png,486,17.26,023,05,Veneto,Verona
023004,3,3,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,192,6.82,023,05,Veneto,Verona
023004,3,4,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,128,4.55,023,05,Veneto,Verona
023004,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,207,7.35,023,05,Veneto,Verona
023004,5,1,14,EUROPA VERDE,7-20200920000000-14-089.png,25,0.89,023,05,Veneto,Verona
023004,5,2,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,22,0.78,023,05,Veneto,Verona
023004,5,3,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,18,0.64,023,05,Veneto,Verona
023004,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,10,0.36,023,05,Veneto,Verona
023004,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,122,4.33,023,05,Veneto,Verona
023004,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,54,1.92,023,05,Veneto,Verona
023004,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,13,0.46,023,05,Veneto,Verona
023004,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,8,0.28,023,05,Veneto,Verona
023004,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,4,0.14,023,05,Veneto,Verona
023004,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,9,0.32,023,05,Veneto,Verona
023005,3,0,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,888,69.76,023,05,Veneto,Verona
023005,3,1,11,LEGA SALVINI,7-20200920000000-11-089.png,154,12.10,023,05,Veneto,Verona
023005,3,2,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,90,7.07,023,05,Veneto,Verona
023005,3,3,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,28,2.20,023,05,Veneto,Verona
023005,3,4,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,16,1.26,023,05,Veneto,Verona
023005,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,39,3.06,023,05,Veneto,Verona
023005,5,1,14,EUROPA VERDE,7-20200920000000-14-089.png,12,0.94,023,05,Veneto,Verona
023005,5,2,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,7,0.55,023,05,Veneto,Verona
023005,5,3,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,4,0.31,023,05,Veneto,Verona
023005,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,2,0.16,023,05,Veneto,Verona
023005,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,17,1.34,023,05,Veneto,Verona
023005,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,2,0.16,023,05,Veneto,Verona
023005,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,5,0.39,023,05,Veneto,Verona
023005,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,3,0.24,023,05,Veneto,Verona
023005,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,3,0.24,023,05,Veneto,Verona
023005,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,3,0.24,023,05,Veneto,Verona
023006,3,0,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,907,32.86,023,05,Veneto,Verona
023006,3,1,11,LEGA SALVINI,7-20200920000000-11-089.png,617,22.36,023,05,Veneto,Verona
023006,3,2,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,543,19.67,023,05,Veneto,Verona
023006,3,3,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,111,4.02,023,05,Veneto,Verona
023006,3,4,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,43,1.56,023,05,Veneto,Verona
023006,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,309,11.20,023,05,Veneto,Verona
023006,5,1,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,31,1.12,023,05,Veneto,Verona
023006,5,2,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,29,1.05,023,05,Veneto,Verona
023006,5,3,14,EUROPA VERDE,7-20200920000000-14-089.png,24,0.87,023,05,Veneto,Verona
023006,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,3,0.11,023,05,Veneto,Verona
023006,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,84,3.04,023,05,Veneto,Verona
023006,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,18,0.65,023,05,Veneto,Verona
023006,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,14,0.51,023,05,Veneto,Verona
023006,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,10,0.36,023,05,Veneto,Verona
023006,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,14,0.51,023,05,Veneto,Verona
023006,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,3,0.11,023,05,Veneto,Verona
023007,3,0,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,500,36.71,023,05,Veneto,Verona
023007,3,1,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,322,23.64,023,05,Veneto,Verona
023007,3,2,11,LEGA SALVINI,7-20200920000000-11-089.png,236,17.33,023,05,Veneto,Verona
023007,3,3,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,46,3.38,023,05,Veneto,Verona
023007,3,4,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,37,2.72,023,05,Veneto,Verona
023007,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,128,9.40,023,05,Veneto,Verona
023007,5,1,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,19,1.40,023,05,Veneto,Verona
023007,5,2,14,EUROPA VERDE,7-20200920000000-14-089.png,10,0.73,023,05,Veneto,Verona
023007,5,3,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,4,0.29,023,05,Veneto,Verona
023007,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,0,0,023,05,Veneto,Verona
023007,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,31,2.28,023,05,Veneto,Verona
023007,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,8,0.59,023,05,Veneto,Verona
023007,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,7,0.51,023,05,Veneto,Verona
023007,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,6,0.44,023,05,Veneto,Verona
023007,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,4,0.29,023,05,Veneto,Verona
023007,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,4,0.29,023,05,Veneto,Verona
023008,3,0,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,254,38.84,023,05,Veneto,Verona
023008,3,1,11,LEGA SALVINI,7-20200920000000-11-089.png,176,26.91,023,05,Veneto,Verona
023008,3,2,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,86,13.15,023,05,Veneto,Verona
023008,3,3,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,14,2.14,023,05,Veneto,Verona
023008,3,4,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,9,1.38,023,05,Veneto,Verona
023008,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,72,11.01,023,05,Veneto,Verona
023008,5,1,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,9,1.38,023,05,Veneto,Verona
023008,5,2,14,EUROPA VERDE,7-20200920000000-14-089.png,6,0.92,023,05,Veneto,Verona
023008,5,3,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,4,0.61,023,05,Veneto,Verona
023008,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,0,0,023,05,Veneto,Verona
023008,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,10,1.53,023,05,Veneto,Verona
023008,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,4,0.61,023,05,Veneto,Verona
023008,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,3,0.46,023,05,Veneto,Verona
023008,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,4,0.61,023,05,Veneto,Verona
023008,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,2,0.31,023,05,Veneto,Verona
023008,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,1,0.15,023,05,Veneto,Verona
023009,3,0,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,372,38.59,023,05,Veneto,Verona
023009,3,1,11,LEGA SALVINI,7-20200920000000-11-089.png,258,26.76,023,05,Veneto,Verona
023009,3,2,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,167,17.32,023,05,Veneto,Verona
023009,3,3,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,14,1.45,023,05,Veneto,Verona
023009,3,4,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,12,1.24,023,05,Veneto,Verona
023009,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,71,7.37,023,05,Veneto,Verona
023009,5,1,14,EUROPA VERDE,7-20200920000000-14-089.png,15,1.56,023,05,Veneto,Verona
023009,5,2,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,5,0.52,023,05,Veneto,Verona
023009,5,3,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,1,0.10,023,05,Veneto,Verona
023009,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,0,0,023,05,Veneto,Verona
023009,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,20,2.07,023,05,Veneto,Verona
023009,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,15,1.56,023,05,Veneto,Verona
023009,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,4,0.41,023,05,Veneto,Verona
023009,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,6,0.62,023,05,Veneto,Verona
023009,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,4,0.41,023,05,Veneto,Verona
023009,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,0,0,023,05,Veneto,Verona
023010,3,0,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,292,45.13,023,05,Veneto,Verona
023010,3,1,11,LEGA SALVINI,7-20200920000000-11-089.png,152,23.49,023,05,Veneto,Verona
023010,3,2,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,107,16.54,023,05,Veneto,Verona
023010,3,3,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,10,1.55,023,05,Veneto,Verona
023010,3,4,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,9,1.39,023,05,Veneto,Verona
023010,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,37,5.72,023,05,Veneto,Verona
023010,5,1,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,6,0.93,023,05,Veneto,Verona
023010,5,2,14,EUROPA VERDE,7-20200920000000-14-089.png,2,0.31,023,05,Veneto,Verona
023010,5,3,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,2,0.31,023,05,Veneto,Verona
023010,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,0,0,023,05,Veneto,Verona
023010,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,16,2.47,023,05,Veneto,Verona
023010,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,4,0.62,023,05,Veneto,Verona
023010,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,5,0.77,023,05,Veneto,Verona
023010,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,0,0,023,05,Veneto,Verona
023010,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,4,0.62,023,05,Veneto,Verona
023010,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,1,0.15,023,05,Veneto,Verona
023011,3,0,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,789,43.83,023,05,Veneto,Verona
023011,3,1,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,432,24.00,023,05,Veneto,Verona
023011,3,2,11,LEGA SALVINI,7-20200920000000-11-089.png,193,10.72,023,05,Veneto,Verona
023011,3,3,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,171,9.50,023,05,Veneto,Verona
023011,3,4,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,19,1.06,023,05,Veneto,Verona
023011,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,97,5.39,023,05,Veneto,Verona
023011,5,1,14,EUROPA VERDE,7-20200920000000-14-089.png,21,1.17,023,05,Veneto,Verona
023011,5,2,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,8,0.44,023,05,Veneto,Verona
023011,5,3,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,7,0.39,023,05,Veneto,Verona
023011,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,3,0.17,023,05,Veneto,Verona
023011,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,29,1.61,023,05,Veneto,Verona
023011,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,10,0.56,023,05,Veneto,Verona
023011,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,8,0.44,023,05,Veneto,Verona
023011,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,7,0.39,023,05,Veneto,Verona
023011,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,5,0.28,023,05,Veneto,Verona
023011,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,1,0.06,023,05,Veneto,Verona
023012,3,0,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,2271,37.01,023,05,Veneto,Verona
023012,3,1,11,LEGA SALVINI,7-20200920000000-11-089.png,1542,25.13,023,05,Veneto,Verona
023012,3,2,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,925,15.07,023,05,Veneto,Verona
023012,3,3,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,139,2.27,023,05,Veneto,Verona
023012,3,4,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,105,1.71,023,05,Veneto,Verona
023012,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,378,6.16,023,05,Veneto,Verona
023012,5,1,14,EUROPA VERDE,7-20200920000000-14-089.png,65,1.06,023,05,Veneto,Verona
023012,5,2,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,42,0.68,023,05,Veneto,Verona
023012,5,3,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,25,0.41,023,05,Veneto,Verona
023012,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,4,0.07,023,05,Veneto,Verona
023012,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,352,5.74,023,05,Veneto,Verona
023012,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,220,3.59,023,05,Veneto,Verona
023012,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,21,0.34,023,05,Veneto,Verona
023012,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,31,0.51,023,05,Veneto,Verona
023012,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,13,0.21,023,05,Veneto,Verona
023012,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,3,0.05,023,05,Veneto,Verona
023013,3,0,11,LEGA SALVINI,7-20200920000000-11-089.png,214,37.88,023,05,Veneto,Verona
023013,3,1,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,145,25.66,023,05,Veneto,Verona
023013,3,2,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,76,13.45,023,05,Veneto,Verona
023013,3,3,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,18,3.19,023,05,Veneto,Verona
023013,3,4,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,13,2.30,023,05,Veneto,Verona
023013,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,49,8.67,023,05,Veneto,Verona
023013,5,1,14,EUROPA VERDE,7-20200920000000-14-089.png,19,3.36,023,05,Veneto,Verona
023013,5,2,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,3,0.53,023,05,Veneto,Verona
023013,5,3,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,2,0.35,023,05,Veneto,Verona
023013,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,1,0.18,023,05,Veneto,Verona
023013,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,13,2.30,023,05,Veneto,Verona
023013,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,3,0.53,023,05,Veneto,Verona
023013,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,5,0.88,023,05,Veneto,Verona
023013,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,3,0.53,023,05,Veneto,Verona
023013,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,1,0.18,023,05,Veneto,Verona
023013,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,0,0,023,05,Veneto,Verona
023014,3,0,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,434,39.17,023,05,Veneto,Verona
023014,3,1,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,250,22.56,023,05,Veneto,Verona
023014,3,2,11,LEGA SALVINI,7-20200920000000-11-089.png,152,13.72,023,05,Veneto,Verona
023014,3,3,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,25,2.26,023,05,Veneto,Verona
023014,3,4,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,16,1.44,023,05,Veneto,Verona
023014,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,147,13.27,023,05,Veneto,Verona
023014,5,1,14,EUROPA VERDE,7-20200920000000-14-089.png,12,1.08,023,05,Veneto,Verona
023014,5,2,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,8,0.72,023,05,Veneto,Verona
023014,5,3,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,6,0.54,023,05,Veneto,Verona
023014,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,0,0,023,05,Veneto,Verona
023014,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,29,2.62,023,05,Veneto,Verona
023014,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,12,1.08,023,05,Veneto,Verona
023014,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,9,0.81,023,05,Veneto,Verona
023014,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,4,0.36,023,05,Veneto,Verona
023014,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,3,0.27,023,05,Veneto,Verona
023014,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,1,0.09,023,05,Veneto,Verona
023015,3,0,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,2539,32.45,023,05,Veneto,Verona
023015,3,1,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,1679,21.46,023,05,Veneto,Verona
023015,3,2,11,LEGA SALVINI,7-20200920000000-11-089.png,1402,17.92,023,05,Veneto,Verona
023015,3,3,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,510,6.52,023,05,Veneto,Verona
023015,3,4,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,160,2.04,023,05,Veneto,Verona
