CODICE ISTAT,posC,ln,pos,desc_lis_c,img_lis_c,voti,perc,IDPROVINCIAISTAT,IDREGIONE,Denominazione Regione,Denominazione dell'Unità territoriale sovracomunale (valida a fini statistici)
023001,3,0,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,344,35.46,023,05,Veneto,Verona
023001,3,1,11,LEGA SALVINI,7-20200920000000-11-089.png,212,21.86,023,05,Veneto,Verona
023001,3,2,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,177,18.25,023,05,Veneto,Verona
023001,3,3,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,53,5.46,023,05,Veneto,Verona
023001,3,4,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,13,1.34,023,05,Veneto,Verona
023001,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,81,8.35,023,05,Veneto,Verona
023001,5,1,14,EUROPA VERDE,7-20200920000000-14-089.png,30,3.09,023,05,Veneto,Verona
023001,5,2,4,IL VENETO CHE VOGLIAMO,7-20200920000000-4-089.png,9,0.93,023,05,Veneto,Verona
023001,5,3,3,+VENETO IN EUROPA - VOLT,7-20200920000000-3-089.png,7,0.72,023,05,Veneto,Verona
023001,5,4,2,SANCA AUTONOMIA,7-20200920000000-2-089.png,0,0,023,05,Veneto,Verona
023001,6,0,7,MOVIMENTO 5 STELLE,7-20200920000000-7-089.png,24,2.47,023,05,Veneto,Verona
023001,8,0,6,PARTITO DEI VENETI,7-20200920000000-6-089.png,9,0.93,023,05,Veneto,Verona
023001,4,0,13,SOLIDARIETA' AMBIENTE LAVORO - RIFONDAZIONE PCI,7-20200920000000-13-089.png,4,0.41,023,05,Veneto,Verona
023001,7,0,17,VENETO ECOLOGIA SOLIDARIETA',7-20200920000000-17-089.png,3,0.31,023,05,Veneto,Verona
023001,9,0,8,ITALIA VIVA - CIVICA PER IL VENETO - PRI - PSI,7-20200920000000-8-089.png,3,0.31,023,05,Veneto,Verona
023001,2,0,15,VENETO PER LE AUTONOMIE,7-20200920000000-15-089.png,1,0.10,023,05,Veneto,Verona
023002,3,0,9,ZAIA PRESIDENTE,7-20200920000000-9-089.png,1047,44.03,023,05,Veneto,Verona
023002,3,1,11,LEGA SALVINI,7-20200920000000-11-089.png,541,22.75,023,05,Veneto,Verona
023002,3,2,12,FRATELLI D'ITALIA,7-20200920000000-12-089.png,348,14.63,023,05,Veneto,Verona
023002,3,3,16,LISTA VENETA AUTONOMIA,7-20200920000000-16-089.png,88,3.70,023,05,Veneto,Verona
023002,3,4,10,FORZA ITALIA - AUTONOMIA PER IL VENETO,7-20200920000000-10-089.png,48,2.02,023,05,Veneto,Verona
023002,5,0,5,PARTITO DEMOCRATICO,7-20200920000000-5-089.png,160,6.73,023,05,Veneto,Verona
