CODICE ISTAT,COMUNE,cogn,nome,d_nasc_cand,l_nasc,voti
042050,Trecastelli,Banzato,Sabrina Paola,21/02/1964,Castellanza,22
042050,Trecastelli,Iannetti,Anna Rita,26/08/1953,Brittoli,33
042050,Trecastelli,Mangialardi,Maurizio,17/11/1964,Ancona,1532
042050,Trecastelli,Mercorelli,Gian-Mario,06/02/1973,Macerata,283
042050,Trecastelli,Mancini,Roberto,,,103
042050,Trecastelli,Pasquinelli,Fabio,10/01/1981,Osimo,61
042050,Trecastelli,Acquaroli,Francesco,25/09/1974,Macerata,1434
043002,Apiro,Contigiani,Alessandra,05/04/1982,Macerata,1
043002,Apiro,Mangialardi,Maurizio,17/11/1964,Ancona,388
043002,Apiro,Acquaroli,Francesco,25/09/1974,Macerata,577
043002,Apiro,Mercorelli,Gian-Mario,06/02/1973,Macerata,75
043002,Apiro,Banzato,Sabrina Paola,21/02/1964,Castellanza,8
043002,Apiro,Mancini,Roberto,,,13
043002,Apiro,Pasquinelli,Fabio,10/01/1981,Osimo,20
043002,Apiro,Iannetti,Anna Rita,26/08/1953,Brittoli,4
043003,Appignano,Contigiani,Alessandra,05/04/1982,Macerata,2
043003,Appignano,Mangialardi,Maurizio,17/11/1964,Ancona,662
043003,Appignano,Acquaroli,Francesco,25/09/1974,Macerata,1094
043003,Appignano,Mercorelli,Gian-Mario,06/02/1973,Macerata,179
043003,Appignano,Banzato,Sabrina Paola,21/02/1964,Castellanza,11
043003,Appignano,Mancini,Roberto,,,68
043003,Appignano,Pasquinelli,Fabio,10/01/1981,Osimo,45
043003,Appignano,Iannetti,Anna Rita,26/08/1953,Brittoli,10
043004,Belforte del Chienti,Contigiani,Alessandra,05/04/1982,Macerata,3
043004,Belforte del Chienti,Mangialardi,Maurizio,17/11/1964,Ancona,276
043004,Belforte del Chienti,Acquaroli,Francesco,25/09/1974,Macerata,538
043004,Belforte del Chienti,Mercorelli,Gian-Mario,06/02/1973,Macerata,82
043004,Belforte del Chienti,Banzato,Sabrina Paola,21/02/1964,Castellanza,5
043004,Belforte del Chienti,Mancini,Roberto,,,56
043004,Belforte del Chienti,Pasquinelli,Fabio,10/01/1981,Osimo,7
043004,Belforte del Chienti,Iannetti,Anna Rita,26/08/1953,Brittoli,3
043005,Bolognola,Contigiani,Alessandra,05/04/1982,Macerata,0
043005,Bolognola,Mangialardi,Maurizio,17/11/1964,Ancona,21
043005,Bolognola,Acquaroli,Francesco,25/09/1974,Macerata,49
043005,Bolognola,Mercorelli,Gian-Mario,06/02/1973,Macerata,4
043005,Bolognola,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
043005,Bolognola,Mancini,Roberto,,,1
043005,Bolognola,Pasquinelli,Fabio,10/01/1981,Osimo,0
043005,Bolognola,Iannetti,Anna Rita,26/08/1953,Brittoli,0
043006,Caldarola,Contigiani,Alessandra,05/04/1982,Macerata,1
043006,Caldarola,Mangialardi,Maurizio,17/11/1964,Ancona,308
043006,Caldarola,Acquaroli,Francesco,25/09/1974,Macerata,451
043006,Caldarola,Mercorelli,Gian-Mario,06/02/1973,Macerata,75
043006,Caldarola,Banzato,Sabrina Paola,21/02/1964,Castellanza,5
043006,Caldarola,Mancini,Roberto,,,35
043006,Caldarola,Pasquinelli,Fabio,10/01/1981,Osimo,9
043006,Caldarola,Iannetti,Anna Rita,26/08/1953,Brittoli,3
043007,Camerino,Contigiani,Alessandra,05/04/1982,Macerata,3
043007,Camerino,Mangialardi,Maurizio,17/11/1964,Ancona,1032
043007,Camerino,Acquaroli,Francesco,25/09/1974,Macerata,2090
043007,Camerino,Mercorelli,Gian-Mario,06/02/1973,Macerata,125
043007,Camerino,Banzato,Sabrina Paola,21/02/1964,Castellanza,9
043007,Camerino,Mancini,Roberto,,,31
043007,Camerino,Pasquinelli,Fabio,10/01/1981,Osimo,35
043007,Camerino,Iannetti,Anna Rita,26/08/1953,Brittoli,6
043008,Camporotondo di Fiastrone,Contigiani,Alessandra,05/04/1982,Macerata,1
043008,Camporotondo di Fiastrone,Mangialardi,Maurizio,17/11/1964,Ancona,82
043008,Camporotondo di Fiastrone,Acquaroli,Francesco,25/09/1974,Macerata,134
043008,Camporotondo di Fiastrone,Mercorelli,Gian-Mario,06/02/1973,Macerata,29
043008,Camporotondo di Fiastrone,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
043008,Camporotondo di Fiastrone,Mancini,Roberto,,,10
043008,Camporotondo di Fiastrone,Pasquinelli,Fabio,10/01/1981,Osimo,6
043008,Camporotondo di Fiastrone,Iannetti,Anna Rita,26/08/1953,Brittoli,3
043009,Castelraimondo,Contigiani,Alessandra,05/04/1982,Macerata,6
043009,Castelraimondo,Mangialardi,Maurizio,17/11/1964,Ancona,495
043009,Castelraimondo,Acquaroli,Francesco,25/09/1974,Macerata,1628
043009,Castelraimondo,Mercorelli,Gian-Mario,06/02/1973,Macerata,162
043009,Castelraimondo,Banzato,Sabrina Paola,21/02/1964,Castellanza,8
043009,Castelraimondo,Mancini,Roberto,,,21
043009,Castelraimondo,Pasquinelli,Fabio,10/01/1981,Osimo,21
043009,Castelraimondo,Iannetti,Anna Rita,26/08/1953,Brittoli,8
043010,Castelsantangelo sul Nera,Contigiani,Alessandra,05/04/1982,Macerata,0
043010,Castelsantangelo sul Nera,Mangialardi,Maurizio,17/11/1964,Ancona,27
043010,Castelsantangelo sul Nera,Acquaroli,Francesco,25/09/1974,Macerata,89
043010,Castelsantangelo sul Nera,Mercorelli,Gian-Mario,06/02/1973,Macerata,14
043010,Castelsantangelo sul Nera,Banzato,Sabrina Paola,21/02/1964,Castellanza,2
043010,Castelsantangelo sul Nera,Mancini,Roberto,,,1
043010,Castelsantangelo sul Nera,Pasquinelli,Fabio,10/01/1981,Osimo,2
043010,Castelsantangelo sul Nera,Iannetti,Anna Rita,26/08/1953,Brittoli,0
041014,Fermignano,Mancini,Roberto,,,35
041014,Fermignano,Contigiani,Alessandra,05/04/1982,Macerata,8
041014,Fermignano,Pasquinelli,Fabio,10/01/1981,Osimo,33
041014,Fermignano,Mercorelli,Gian-Mario,06/02/1973,Macerata,271
041014,Fermignano,Mangialardi,Maurizio,17/11/1964,Ancona,1514
041014,Fermignano,Banzato,Sabrina Paola,21/02/1964,Castellanza,13
041014,Fermignano,Acquaroli,Francesco,25/09/1974,Macerata,2248
041014,Fermignano,Iannetti,Anna Rita,26/08/1953,Brittoli,7
043011,Cessapalombo,Contigiani,Alessandra,05/04/1982,Macerata,1
043011,Cessapalombo,Mangialardi,Maurizio,17/11/1964,Ancona,16
043011,Cessapalombo,Acquaroli,Francesco,25/09/1974,Macerata,149
043011,Cessapalombo,Mercorelli,Gian-Mario,06/02/1973,Macerata,21
043011,Cessapalombo,Banzato,Sabrina Paola,21/02/1964,Castellanza,3
043011,Cessapalombo,Mancini,Roberto,,,12
043011,Cessapalombo,Pasquinelli,Fabio,10/01/1981,Osimo,1
043011,Cessapalombo,Iannetti,Anna Rita,26/08/1953,Brittoli,1
