CODICE ISTAT,COMUNE,cogn,nome,d_nasc_cand,l_nasc,voti
043012,Cingoli,Contigiani,Alessandra,05/04/1982,Macerata,3
043012,Cingoli,Mangialardi,Maurizio,17/11/1964,Ancona,1070
043012,Cingoli,Acquaroli,Francesco,25/09/1974,Macerata,3800
043012,Cingoli,Mercorelli,Gian-Mario,06/02/1973,Macerata,183
043012,Cingoli,Banzato,Sabrina Paola,21/02/1964,Castellanza,12
043012,Cingoli,Mancini,Roberto,,,45
043012,Cingoli,Pasquinelli,Fabio,10/01/1981,Osimo,47
043012,Cingoli,Iannetti,Anna Rita,26/08/1953,Brittoli,19
043013,Civitanova Marche,Contigiani,Alessandra,05/04/1982,Macerata,41
043013,Civitanova Marche,Mangialardi,Maurizio,17/11/1964,Ancona,5776
043013,Civitanova Marche,Acquaroli,Francesco,25/09/1974,Macerata,10069
043013,Civitanova Marche,Mercorelli,Gian-Mario,06/02/1973,Macerata,1671
043013,Civitanova Marche,Banzato,Sabrina Paola,21/02/1964,Castellanza,124
043013,Civitanova Marche,Mancini,Roberto,,,981
043013,Civitanova Marche,Pasquinelli,Fabio,10/01/1981,Osimo,250
043013,Civitanova Marche,Iannetti,Anna Rita,26/08/1953,Brittoli,107
043014,Colmurano,Contigiani,Alessandra,05/04/1982,Macerata,2
043014,Colmurano,Mangialardi,Maurizio,17/11/1964,Ancona,253
043014,Colmurano,Acquaroli,Francesco,25/09/1974,Macerata,319
043014,Colmurano,Mercorelli,Gian-Mario,06/02/1973,Macerata,44
043014,Colmurano,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
043014,Colmurano,Mancini,Roberto,,,13
043014,Colmurano,Pasquinelli,Fabio,10/01/1981,Osimo,6
043014,Colmurano,Iannetti,Anna Rita,26/08/1953,Brittoli,2
043015,Corridonia,Contigiani,Alessandra,05/04/1982,Macerata,30
043015,Corridonia,Mangialardi,Maurizio,17/11/1964,Ancona,1905
043015,Corridonia,Acquaroli,Francesco,25/09/1974,Macerata,4301
043015,Corridonia,Mercorelli,Gian-Mario,06/02/1973,Macerata,623
043015,Corridonia,Banzato,Sabrina Paola,21/02/1964,Castellanza,44
043015,Corridonia,Mancini,Roberto,,,103
043015,Corridonia,Pasquinelli,Fabio,10/01/1981,Osimo,76
043015,Corridonia,Iannetti,Anna Rita,26/08/1953,Brittoli,17
043016,Esanatoglia,Contigiani,Alessandra,05/04/1982,Macerata,3
043016,Esanatoglia,Mangialardi,Maurizio,17/11/1964,Ancona,275
043016,Esanatoglia,Acquaroli,Francesco,25/09/1974,Macerata,595
043016,Esanatoglia,Mercorelli,Gian-Mario,06/02/1973,Macerata,98
043016,Esanatoglia,Banzato,Sabrina Paola,21/02/1964,Castellanza,7
043016,Esanatoglia,Mancini,Roberto,,,10
043016,Esanatoglia,Pasquinelli,Fabio,10/01/1981,Osimo,19
043016,Esanatoglia,Iannetti,Anna Rita,26/08/1953,Brittoli,3
043017,Fiastra,Contigiani,Alessandra,05/04/1982,Macerata,2
043017,Fiastra,Mangialardi,Maurizio,17/11/1964,Ancona,163
043017,Fiastra,Acquaroli,Francesco,25/09/1974,Macerata,132
043017,Fiastra,Mercorelli,Gian-Mario,06/02/1973,Macerata,27
043017,Fiastra,Banzato,Sabrina Paola,21/02/1964,Castellanza,3
043017,Fiastra,Mancini,Roberto,,,8
043017,Fiastra,Pasquinelli,Fabio,10/01/1981,Osimo,12
043017,Fiastra,Iannetti,Anna Rita,26/08/1953,Brittoli,0
043019,Fiuminata,Contigiani,Alessandra,05/04/1982,Macerata,2
043019,Fiuminata,Mangialardi,Maurizio,17/11/1964,Ancona,205
043019,Fiuminata,Acquaroli,Francesco,25/09/1974,Macerata,412
043019,Fiuminata,Mercorelli,Gian-Mario,06/02/1973,Macerata,63
043019,Fiuminata,Banzato,Sabrina Paola,21/02/1964,Castellanza,4
043019,Fiuminata,Mancini,Roberto,,,14
043019,Fiuminata,Pasquinelli,Fabio,10/01/1981,Osimo,12
043019,Fiuminata,Iannetti,Anna Rita,26/08/1953,Brittoli,1
043020,Gagliole,Contigiani,Alessandra,05/04/1982,Macerata,0
043020,Gagliole,Mangialardi,Maurizio,17/11/1964,Ancona,100
043020,Gagliole,Acquaroli,Francesco,25/09/1974,Macerata,151
043020,Gagliole,Mercorelli,Gian-Mario,06/02/1973,Macerata,21
043020,Gagliole,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
043020,Gagliole,Mancini,Roberto,,,3
043020,Gagliole,Pasquinelli,Fabio,10/01/1981,Osimo,9
043020,Gagliole,Iannetti,Anna Rita,26/08/1953,Brittoli,2
043021,Gualdo,Contigiani,Alessandra,05/04/1982,Macerata,3
043021,Gualdo,Mangialardi,Maurizio,17/11/1964,Ancona,67
043021,Gualdo,Acquaroli,Francesco,25/09/1974,Macerata,263
043021,Gualdo,Mercorelli,Gian-Mario,06/02/1973,Macerata,23
043021,Gualdo,Banzato,Sabrina Paola,21/02/1964,Castellanza,3
043021,Gualdo,Mancini,Roberto,,,3
043021,Gualdo,Pasquinelli,Fabio,10/01/1981,Osimo,4
043021,Gualdo,Iannetti,Anna Rita,26/08/1953,Brittoli,0
041015,Fossombrone,Mancini,Roberto,,,106
041015,Fossombrone,Contigiani,Alessandra,05/04/1982,Macerata,7
041015,Fossombrone,Pasquinelli,Fabio,10/01/1981,Osimo,66
041015,Fossombrone,Mercorelli,Gian-Mario,06/02/1973,Macerata,412
041015,Fossombrone,Mangialardi,Maurizio,17/11/1964,Ancona,1458
041015,Fossombrone,Banzato,Sabrina Paola,21/02/1964,Castellanza,42
041015,Fossombrone,Acquaroli,Francesco,25/09/1974,Macerata,2658
041015,Fossombrone,Iannetti,Anna Rita,26/08/1953,Brittoli,36
043022,Loro Piceno,Contigiani,Alessandra,05/04/1982,Macerata,6
043022,Loro Piceno,Mangialardi,Maurizio,17/11/1964,Ancona,296
043022,Loro Piceno,Acquaroli,Francesco,25/09/1974,Macerata,571
043022,Loro Piceno,Mercorelli,Gian-Mario,06/02/1973,Macerata,73
043022,Loro Piceno,Banzato,Sabrina Paola,21/02/1964,Castellanza,18
043022,Loro Piceno,Mancini,Roberto,,,83
043022,Loro Piceno,Pasquinelli,Fabio,10/01/1981,Osimo,22
043022,Loro Piceno,Iannetti,Anna Rita,26/08/1953,Brittoli,6
043023,Macerata,Contigiani,Alessandra,05/04/1982,Macerata,62
043023,Macerata,Mangialardi,Maurizio,17/11/1964,Ancona,7378
043023,Macerata,Acquaroli,Francesco,25/09/1974,Macerata,12251
043023,Macerata,Mercorelli,Gian-Mario,06/02/1973,Macerata,1597
043023,Macerata,Banzato,Sabrina Paola,21/02/1964,Castellanza,81
043023,Macerata,Mancini,Roberto,,,587
043023,Macerata,Pasquinelli,Fabio,10/01/1981,Osimo,288
043023,Macerata,Iannetti,Anna Rita,26/08/1953,Brittoli,67
043024,Matelica,Contigiani,Alessandra,05/04/1982,Macerata,20
043024,Matelica,Mangialardi,Maurizio,17/11/1964,Ancona,1451
043024,Matelica,Acquaroli,Francesco,25/09/1974,Macerata,2531
043024,Matelica,Mercorelli,Gian-Mario,06/02/1973,Macerata,446
043024,Matelica,Banzato,Sabrina Paola,21/02/1964,Castellanza,20
043024,Matelica,Mancini,Roberto,,,52
043024,Matelica,Pasquinelli,Fabio,10/01/1981,Osimo,78
043024,Matelica,Iannetti,Anna Rita,26/08/1953,Brittoli,16
043025,Mogliano,Contigiani,Alessandra,05/04/1982,Macerata,9
043025,Mogliano,Mangialardi,Maurizio,17/11/1964,Ancona,566
043025,Mogliano,Acquaroli,Francesco,25/09/1974,Macerata,1374
043025,Mogliano,Mercorelli,Gian-Mario,06/02/1973,Macerata,149
043025,Mogliano,Banzato,Sabrina Paola,21/02/1964,Castellanza,12
043025,Mogliano,Mancini,Roberto,,,40
043025,Mogliano,Pasquinelli,Fabio,10/01/1981,Osimo,40
043025,Mogliano,Iannetti,Anna Rita,26/08/1953,Brittoli,6
043026,Montecassiano,Contigiani,Alessandra,05/04/1982,Macerata,9
043026,Montecassiano,Mangialardi,Maurizio,17/11/1964,Ancona,988
043026,Montecassiano,Acquaroli,Francesco,25/09/1974,Macerata,2162
043026,Montecassiano,Mercorelli,Gian-Mario,06/02/1973,Macerata,208
043026,Montecassiano,Banzato,Sabrina Paola,21/02/1964,Castellanza,26
043026,Montecassiano,Mancini,Roberto,,,72
043026,Montecassiano,Pasquinelli,Fabio,10/01/1981,Osimo,62
043026,Montecassiano,Iannetti,Anna Rita,26/08/1953,Brittoli,28
043027,Monte Cavallo,Contigiani,Alessandra,05/04/1982,Macerata,0
043027,Monte Cavallo,Mangialardi,Maurizio,17/11/1964,Ancona,6
043027,Monte Cavallo,Acquaroli,Francesco,25/09/1974,Macerata,49
043027,Monte Cavallo,Mercorelli,Gian-Mario,06/02/1973,Macerata,2
043027,Monte Cavallo,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
043027,Monte Cavallo,Mancini,Roberto,,,1
043027,Monte Cavallo,Pasquinelli,Fabio,10/01/1981,Osimo,0
043027,Monte Cavallo,Iannetti,Anna Rita,26/08/1953,Brittoli,0
043028,Montecosaro,Contigiani,Alessandra,05/04/1982,Macerata,14
043028,Montecosaro,Mangialardi,Maurizio,17/11/1964,Ancona,1193
043028,Montecosaro,Acquaroli,Francesco,25/09/1974,Macerata,1570
043028,Montecosaro,Mercorelli,Gian-Mario,06/02/1973,Macerata,381
043028,Montecosaro,Banzato,Sabrina Paola,21/02/1964,Castellanza,19
043028,Montecosaro,Mancini,Roberto,,,71
043028,Montecosaro,Pasquinelli,Fabio,10/01/1981,Osimo,39
043028,Montecosaro,Iannetti,Anna Rita,26/08/1953,Brittoli,34
043029,Montefano,Contigiani,Alessandra,05/04/1982,Macerata,7
043029,Montefano,Mangialardi,Maurizio,17/11/1964,Ancona,558
043029,Montefano,Acquaroli,Francesco,25/09/1974,Macerata,860
043029,Montefano,Mercorelli,Gian-Mario,06/02/1973,Macerata,146
043029,Montefano,Banzato,Sabrina Paola,21/02/1964,Castellanza,9
043029,Montefano,Mancini,Roberto,,,25
043029,Montefano,Pasquinelli,Fabio,10/01/1981,Osimo,45
043029,Montefano,Iannetti,Anna Rita,26/08/1953,Brittoli,10
043030,Montelupone,Contigiani,Alessandra,05/04/1982,Macerata,5
043030,Montelupone,Mangialardi,Maurizio,17/11/1964,Ancona,405
043030,Montelupone,Acquaroli,Francesco,25/09/1974,Macerata,1092
043030,Montelupone,Mercorelli,Gian-Mario,06/02/1973,Macerata,128
043030,Montelupone,Banzato,Sabrina Paola,21/02/1964,Castellanza,7
043030,Montelupone,Mancini,Roberto,,,31
043030,Montelupone,Pasquinelli,Fabio,10/01/1981,Osimo,9
043030,Montelupone,Iannetti,Anna Rita,26/08/1953,Brittoli,5
043031,Monte San Giusto,Contigiani,Alessandra,05/04/1982,Macerata,9
043031,Monte San Giusto,Mangialardi,Maurizio,17/11/1964,Ancona,924
043031,Monte San Giusto,Acquaroli,Francesco,25/09/1974,Macerata,2190
043031,Monte San Giusto,Mercorelli,Gian-Mario,06/02/1973,Macerata,200
043031,Monte San Giusto,Banzato,Sabrina Paola,21/02/1964,Castellanza,17
043031,Monte San Giusto,Mancini,Roberto,,,38
043031,Monte San Giusto,Pasquinelli,Fabio,10/01/1981,Osimo,36
043031,Monte San Giusto,Iannetti,Anna Rita,26/08/1953,Brittoli,9
041016,Fratte Rosa,Mancini,Roberto,,,5
041016,Fratte Rosa,Contigiani,Alessandra,05/04/1982,Macerata,0
041016,Fratte Rosa,Pasquinelli,Fabio,10/01/1981,Osimo,4
041016,Fratte Rosa,Mercorelli,Gian-Mario,06/02/1973,Macerata,27
041016,Fratte Rosa,Mangialardi,Maurizio,17/11/1964,Ancona,182
041016,Fratte Rosa,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
041016,Fratte Rosa,Acquaroli,Francesco,25/09/1974,Macerata,203
041016,Fratte Rosa,Iannetti,Anna Rita,26/08/1953,Brittoli,5
043032,Monte San Martino,Contigiani,Alessandra,05/04/1982,Macerata,1
043032,Monte San Martino,Mangialardi,Maurizio,17/11/1964,Ancona,122
043032,Monte San Martino,Acquaroli,Francesco,25/09/1974,Macerata,216
043032,Monte San Martino,Mercorelli,Gian-Mario,06/02/1973,Macerata,20
043032,Monte San Martino,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
043032,Monte San Martino,Mancini,Roberto,,,15
043032,Monte San Martino,Pasquinelli,Fabio,10/01/1981,Osimo,3
043032,Monte San Martino,Iannetti,Anna Rita,26/08/1953,Brittoli,2
043033,Morrovalle,Contigiani,Alessandra,05/04/1982,Macerata,17
043033,Morrovalle,Mangialardi,Maurizio,17/11/1964,Ancona,1370
043033,Morrovalle,Acquaroli,Francesco,25/09/1974,Macerata,2648
043033,Morrovalle,Mercorelli,Gian-Mario,06/02/1973,Macerata,344
043033,Morrovalle,Banzato,Sabrina Paola,21/02/1964,Castellanza,35
043033,Morrovalle,Mancini,Roberto,,,88
043033,Morrovalle,Pasquinelli,Fabio,10/01/1981,Osimo,51
043033,Morrovalle,Iannetti,Anna Rita,26/08/1953,Brittoli,9
043034,Muccia,Contigiani,Alessandra,05/04/1982,Macerata,2
043034,Muccia,Mangialardi,Maurizio,17/11/1964,Ancona,130
043034,Muccia,Acquaroli,Francesco,25/09/1974,Macerata,274
043034,Muccia,Mercorelli,Gian-Mario,06/02/1973,Macerata,18
043034,Muccia,Banzato,Sabrina Paola,21/02/1964,Castellanza,0
043034,Muccia,Mancini,Roberto,,,5
043034,Muccia,Pasquinelli,Fabio,10/01/1981,Osimo,8
043034,Muccia,Iannetti,Anna Rita,26/08/1953,Brittoli,2
043035,Penna San Giovanni,Contigiani,Alessandra,05/04/1982,Macerata,1
043035,Penna San Giovanni,Mangialardi,Maurizio,17/11/1964,Ancona,111
043035,Penna San Giovanni,Acquaroli,Francesco,25/09/1974,Macerata,256
043035,Penna San Giovanni,Mercorelli,Gian-Mario,06/02/1973,Macerata,27
043035,Penna San Giovanni,Banzato,Sabrina Paola,21/02/1964,Castellanza,3
043035,Penna San Giovanni,Mancini,Roberto,,,9
043035,Penna San Giovanni,Pasquinelli,Fabio,10/01/1981,Osimo,9
043035,Penna San Giovanni,Iannetti,Anna Rita,26/08/1953,Brittoli,4
043036,Petriolo,Contigiani,Alessandra,05/04/1982,Macerata,6
043036,Petriolo,Mangialardi,Maurizio,17/11/1964,Ancona,315
043036,Petriolo,Acquaroli,Francesco,25/09/1974,Macerata,644
043036,Petriolo,Mercorelli,Gian-Mario,06/02/1973,Macerata,111
043036,Petriolo,Banzato,Sabrina Paola,21/02/1964,Castellanza,2
043036,Petriolo,Mancini,Roberto,,,14
043036,Petriolo,Pasquinelli,Fabio,10/01/1981,Osimo,22
043036,Petriolo,Iannetti,Anna Rita,26/08/1953,Brittoli,4
043038,Pieve Torina,Contigiani,Alessandra,05/04/1982,Macerata,0
043038,Pieve Torina,Mangialardi,Maurizio,17/11/1964,Ancona,180
043038,Pieve Torina,Acquaroli,Francesco,25/09/1974,Macerata,416
043038,Pieve Torina,Mercorelli,Gian-Mario,06/02/1973,Macerata,19
043038,Pieve Torina,Banzato,Sabrina Paola,21/02/1964,Castellanza,2
043038,Pieve Torina,Mancini,Roberto,,,1
043038,Pieve Torina,Pasquinelli,Fabio,10/01/1981,Osimo,15
043038,Pieve Torina,Iannetti,Anna Rita,26/08/1953,Brittoli,0
043039,Pioraco,Contigiani,Alessandra,05/04/1982,Macerata,0
043039,Pioraco,Mangialardi,Maurizio,17/11/1964,Ancona,150
043039,Pioraco,Acquaroli,Francesco,25/09/1974,Macerata,288
043039,Pioraco,Mercorelli,Gian-Mario,06/02/1973,Macerata,48
043039,Pioraco,Banzato,Sabrina Paola,21/02/1964,Castellanza,2
043039,Pioraco,Mancini,Roberto,,,5
043039,Pioraco,Pasquinelli,Fabio,10/01/1981,Osimo,8
043039,Pioraco,Iannetti,Anna Rita,26/08/1953,Brittoli,1
043040,Poggio San Vicino,Contigiani,Alessandra,05/04/1982,Macerata,0
043040,Poggio San Vicino,Mangialardi,Maurizio,17/11/1964,Ancona,35
043040,Poggio San Vicino,Acquaroli,Francesco,25/09/1974,Macerata,47
043040,Poggio San Vicino,Mercorelli,Gian-Mario,06/02/1973,Macerata,12
043040,Poggio San Vicino,Banzato,Sabrina Paola,21/02/1964,Castellanza,1
043040,Poggio San Vicino,Mancini,Roberto,,,5
043040,Poggio San Vicino,Pasquinelli,Fabio,10/01/1981,Osimo,1
043040,Poggio San Vicino,Iannetti,Anna Rita,26/08/1953,Brittoli,0
043041,Pollenza,Contigiani,Alessandra,05/04/1982,Macerata,8
043041,Pollenza,Mangialardi,Maurizio,17/11/1964,Ancona,830
043041,Pollenza,Acquaroli,Francesco,25/09/1974,Macerata,1828
043041,Pollenza,Mercorelli,Gian-Mario,06/02/1973,Macerata,319
043041,Pollenza,Banzato,Sabrina Paola,21/02/1964,Castellanza,18
043041,Pollenza,Mancini,Roberto,,,66
043041,Pollenza,Pasquinelli,Fabio,10/01/1981,Osimo,46
043041,Pollenza,Iannetti,Anna Rita,26/08/1953,Brittoli,24
043042,Porto Recanati,Contigiani,Alessandra,05/04/1982,Macerata,7
043042,Porto Recanati,Mangialardi,Maurizio,17/11/1964,Ancona,1638
043042,Porto Recanati,Acquaroli,Francesco,25/09/1974,Macerata,2880
043042,Porto Recanati,Mercorelli,Gian-Mario,06/02/1973,Macerata,469
043042,Porto Recanati,Banzato,Sabrina Paola,21/02/1964,Castellanza,30
043042,Porto Recanati,Mancini,Roberto,,,74
043042,Porto Recanati,Pasquinelli,Fabio,10/01/1981,Osimo,47
043042,Porto Recanati,Iannetti,Anna Rita,26/08/1953,Brittoli,18
041017,Frontino,Mancini,Roberto,,,5
041017,Frontino,Contigiani,Alessandra,05/04/1982,Macerata,0
041017,Frontino,Pasquinelli,Fabio,10/01/1981,Osimo,2
041017,Frontino,Mercorelli,Gian-Mario,06/02/1973,Macerata,12
041017,Frontino,Mangialardi,Maurizio,17/11/1964,Ancona,39
041017,Frontino,Banzato,Sabrina Paola,21/02/1964,Castellanza,6
041017,Frontino,Acquaroli,Francesco,25/09/1974,Macerata,65
041017,Frontino,Iannetti,Anna Rita,26/08/1953,Brittoli,0
043043,Potenza Picena,Contigiani,Alessandra,05/04/1982,Macerata,24
043043,Potenza Picena,Mangialardi,Maurizio,17/11/1964,Ancona,2295
043043,Potenza Picena,Acquaroli,Francesco,25/09/1974,Macerata,4129
043043,Potenza Picena,Mercorelli,Gian-Mario,06/02/1973,Macerata,509
043043,Potenza Picena,Banzato,Sabrina Paola,21/02/1964,Castellanza,48
043043,Potenza Picena,Mancini,Roberto,,,172
043043,Potenza Picena,Pasquinelli,Fabio,10/01/1981,Osimo,75
043043,Potenza Picena,Iannetti,Anna Rita,26/08/1953,Brittoli,38
043044,Recanati,Contigiani,Alessandra,05/04/1982,Macerata,60
043044,Recanati,Mangialardi,Maurizio,17/11/1964,Ancona,4074
043044,Recanati,Acquaroli,Francesco,25/09/1974,Macerata,4788
043044,Recanati,Mercorelli,Gian-Mario,06/02/1973,Macerata,844
043044,Recanati,Banzato,Sabrina Paola,21/02/1964,Castellanza,53
043044,Recanati,Mancini,Roberto,,,232
043044,Recanati,Pasquinelli,Fabio,10/01/1981,Osimo,100
043044,Recanati,Iannetti,Anna Rita,26/08/1953,Brittoli,46
043045,Ripe San Ginesio,Contigiani,Alessandra,05/04/1982,Macerata,0
043045,Ripe San Ginesio,Mangialardi,Maurizio,17/11/1964,Ancona,83
043045,Ripe San Ginesio,Acquaroli,Francesco,25/09/1974,Macerata,302
043045,Ripe San Ginesio,Mercorelli,Gian-Mario,06/02/1973,Macerata,20
043045,Ripe San Ginesio,Banzato,Sabrina Paola,21/02/1964,Castellanza,1
043045,Ripe San Ginesio,Mancini,Roberto,,,9
043045,Ripe San Ginesio,Pasquinelli,Fabio,10/01/1981,Osimo,7
043045,Ripe San Ginesio,Iannetti,Anna Rita,26/08/1953,Brittoli,0
043046,San Ginesio,Contigiani,Alessandra,05/04/1982,Macerata,7
043046,San Ginesio,Mangialardi,Maurizio,17/11/1964,Ancona,397
043046,San Ginesio,Acquaroli,Francesco,25/09/1974,Macerata,1021
043046,San Ginesio,Mercorelli,Gian-Mario,06/02/1973,Macerata,109
043046,San Ginesio,Banzato,Sabrina Paola,21/02/1964,Castellanza,10
043046,San Ginesio,Mancini,Roberto,,,23
043046,San Ginesio,Pasquinelli,Fabio,10/01/1981,Osimo,20
043046,San Ginesio,Iannetti,Anna Rita,26/08/1953,Brittoli,7
043047,San Severino Marche,Contigiani,Alessandra,05/04/1982,Macerata,11
043047,San Severino Marche,Mangialardi,Maurizio,17/11/1964,Ancona,1496
