CODICE ISTAT,desc_com,tot_sezio,ele_m,ele_f,ele_t,vot_m,vot_f,vot_t,tot_vot_val,tot_vot_noass,sk_bianche,sk_nulle,tot_vot_nulli,sk_contestate,solosindpres,solosindpres_nona,totale_parz,totale_gen,idComune
042050,Trecastelli,6,3121,3136,6257,1874,1787,3661,2597,0,130,63,0,0,871,0,193,3661,100
043002,Apiro,2,1091,1217,2308,587,580,1167,875,0,54,27,0,0,211,0,81,1167,101
043003,Appignano,4,1764,1847,3611,1146,1106,2252,1585,0,107,74,0,0,486,0,181,2252,102
043004,Belforte del Chienti,2,788,832,1620,523,507,1030,826,0,47,13,0,0,144,0,60,1030,103
043005,Bolognola,1,70,54,124,46,33,79,68,0,2,2,0,0,7,0,4,79,104
043006,Caldarola,2,723,759,1482,477,474,951,759,0,36,28,0,0,128,0,64,951,105
043007,Camerino,8,2706,2970,5676,1769,1767,3536,2974,0,116,89,0,0,357,0,205,3536,106
043008,Camporotondo di Fiastrone,1,228,261,489,133,147,280,214,0,9,6,0,0,51,0,15,280,107
043009,Castelraimondo,4,2226,2303,4529,1275,1225,2500,2108,0,84,67,0,0,241,0,151,2500,108
043010,Castelsantangelo sul Nera,1,125,107,232,79,63,142,125,0,5,2,0,0,10,0,7,142,109
041014,Fermignano,7,3272,3332,6604,2214,2171,4385,3812,0,162,94,0,0,317,0,256,4385,10
043011,Cessapalombo,1,211,218,429,123,106,229,181,0,20,5,0,0,23,0,25,229,110
043012,Cingoli,9,5243,5482,10725,2754,2673,5427,4728,0,148,100,0,0,451,0,248,5427,111
043013,Civitanova Marche,40,17090,18573,35663,9900,10302,20202,15658,0,659,524,0,0,3361,0,1183,20202,112
043014,Colmurano,2,616,638,1254,343,339,682,537,0,25,18,0,0,102,0,43,682,113
043015,Corridonia,15,6631,6850,13481,3806,3768,7574,5747,0,306,169,0,0,1352,0,475,7574,114
043016,Esanatoglia,2,850,906,1756,540,538,1078,861,0,40,28,0,0,149,0,68,1078,115
043017,Fiastra,2,306,273,579,204,163,367,307,0,8,10,0,2,40,0,20,367,116
043019,Fiuminata,2,639,677,1316,398,358,756,625,0,21,22,0,0,88,0,43,756,117
043020,Gagliole,1,390,369,759,164,142,306,243,0,13,7,0,0,43,0,20,306,118
043021,Gualdo,1,332,340,672,213,185,398,319,0,21,11,0,0,47,0,32,398,119
041015,Fossombrone,12,3869,3959,7828,2537,2531,5068,4145,0,145,138,0,0,640,0,283,5068,11
043022,Loro Piceno,3,1090,1167,2257,593,570,1163,867,0,65,23,0,0,208,0,88,1163,120
043023,Macerata,44,17037,18993,36030,11497,12117,23614,17249,0,849,449,0,5,5062,0,1303,23614,121
043024,Matelica,10,4307,4543,8850,2478,2472,4950,3703,0,199,137,0,0,911,0,336,4950,122
043025,Mogliano,5,2121,2195,4316,1240,1170,2410,1693,0,156,58,0,0,503,0,214,2410,123
043026,Montecassiano,7,3186,3335,6521,1939,1865,3804,2700,0,168,81,0,0,855,0,249,3804,124
043027,Monte Cavallo,1,46,46,92,36,26,62,57,0,3,1,0,0,1,0,4,62,125
043028,Montecosaro,5,3089,3152,6241,1789,1770,3559,2699,0,143,95,0,0,622,0,238,3559,126
043029,Montefano,4,1676,1734,3410,915,849,1764,1233,0,69,35,0,0,427,0,104,1764,127
043030,Montelupone,3,1798,1849,3647,922,877,1799,1295,0,61,56,0,0,387,0,117,1799,128
043031,Monte San Giusto,7,3259,3351,6610,1879,1804,3683,2719,0,158,102,0,0,704,0,260,3683,129
041016,Fratte Rosa,2,406,407,813,242,214,456,377,0,21,9,0,0,49,0,30,456,12
043032,Monte San Martino,1,296,311,607,209,201,410,324,0,26,5,0,0,55,0,31,410,130
043033,Morrovalle,9,4397,4577,8974,2495,2361,4856,3642,0,172,122,0,0,920,0,294,4856,131
043034,Muccia,1,324,354,678,225,236,461,371,0,11,11,0,0,68,0,22,461,132
043035,Penna San Giovanni,1,456,475,931,246,218,464,357,0,29,15,0,0,63,0,44,464,133
043036,Petriolo,2,944,967,1911,647,628,1275,913,0,99,58,0,0,205,0,157,1275,134
043038,Pieve Torina,2,521,529,1050,337,331,668,569,0,25,10,0,0,64,0,35,668,135
043039,Pioraco,1,483,520,1003,281,259,540,423,0,20,18,0,0,79,0,38,540,136
043040,Poggio San Vicino,1,102,111,213,56,65,121,74,0,6,14,0,0,27,0,20,121,137
043041,Pollenza,5,2941,2997,5938,1726,1638,3364,2364,0,141,84,0,0,775,0,225,3364,138
043042,Porto Recanati,10,5070,5132,10202,2711,2710,5421,4264,0,141,114,0,3,899,0,258,5421,139
041017,Frontino,1,137,126,263,77,61,138,114,0,5,4,0,0,15,0,9,138,13
043043,Potenza Picena,15,7155,7558,14713,3846,3844,7690,5304,0,214,186,0,0,1986,0,400,7690,140
043044,Recanati,19,9627,10314,19941,5386,5492,10878,8180,0,346,322,0,13,2017,0,681,10878,141
043045,Ripe San Ginesio,1,454,492,946,225,229,454,352,0,27,5,0,0,70,0,32,454,142
043046,San Ginesio,4,1686,1777,3463,884,801,1685,1338,0,54,37,0,0,256,0,91,1685,143
043047,San Severino Marche,13,6004,6433,12437,3256,3163,6419,4910,0,219,162,0,0,1128,0,381,6419,144
043048,Sant'Angelo in Pontano,2,601,618,1219,347,353,700,569,0,41,23,0,0,67,0,64,700,145
043049,Sarnano,3,1298,1380,2678,821,786,1607,1236,0,68,37,0,0,266,0,105,1607,146
043050,Sefro,1,179,186,365,113,101,214,182,0,11,0,0,0,21,0,11,214,147
043051,Serrapetrona,2,464,476,940,276,260,536,400,0,28,10,0,0,98,0,38,536,148
043052,Serravalle di Chienti,2,429,406,835,276,253,529,464,0,18,10,0,0,37,0,28,529,149
041018,Frontone,2,568,592,1160,377,366,743,629,0,39,17,0,0,58,0,56,743,14
043053,Tolentino,19,8540,9198,17738,4950,5004,9954,7733,0,318,234,0,0,1669,0,552,9954,150
043054,Treia,10,4716,4920,9636,2461,2336,4797,3510,0,197,152,0,0,938,0,349,4797,151
043055,Urbisaglia,3,1230,1234,2464,776,708,1484,1142,0,69,29,0,0,244,0,98,1484,152
043056,Ussita,1,163,160,323,136,128,264,199,0,18,11,0,0,36,0,29,264,153
043057,Visso,2,425,452,877,281,296,577,443,0,28,24,0,0,82,0,52,577,154
043058,Valfornace,2,400,394,794,265,223,488,404,0,21,10,0,0,53,0,31,488,155
044001,Acquasanta Terme,5,1824,1875,3699,726,700,1426,1211,0,73,35,0,0,107,0,108,1426,156
044002,Acquaviva Picena,3,1604,1602,3206,889,861,1750,1484,0,80,54,0,0,132,0,134,1750,157
044005,Appignano del Tronto,2,830,846,1676,609,610,1219,972,0,106,37,0,0,104,0,143,1219,158
